initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Dimanche 25,18h30,Le Pilier Rouge,,au chapeau,c,,FANNY MARCON + EDDA BEL ABYSSE,Incantations sonores Hypnotiques,,,,,,,,,,,,,
zz,,,Dimanche 4,14h,Musée de Tessé,,0 €,sv,balade musicale,élèves du conservatoire,,,,,,,,,,,,,,
ce,,,Jeudi 1,21h,Blue Zinc,,au chapeau,c,,,Musique irlandaise acoustique,,,,,,,,,,,,,
tu,Finale du Tremplin Éclosion,concours rap/hip-hop,Jeudi 1,19h,Le Barouf,,0 €,c,,Open mic by Hunterz ,,,,,,,,,,,,,,
ba,"Scène ouverte toutes disciplines du lundi au jeudi 17h, du vendredi au dimanche 20h",,Jeudi 1,17H-23h,Le Café de la Gare,Chenu,0 €,c,,,,,,,,,,,,,,,,
ce,Le Mans Afterwork,,Jeudi 1,19h,Le Local a Bières,,tnc,c,,Rowena & Annabelle,dj set,,LVK,DJ,,,,,,,,,,
ce,,,Jeudi 15,21h,Blue Zinc,,au chapeau,c,,,Musique irlandaise acoustique,,,,,,,,,,,,,
tu,,,Jeudi 15,20h30,Brasserie Septante Deux,,prix libre,c,,Jim Ballon,psych pop/tours,,,,,,,,,,,,,
tu,Orga cortex,,Jeudi 15,21h,Le Lézard,,prix libre,c,,POLEVAULTER,duo noise punk/UK,,,,,,,,,,,https://www.youtube.com/watch?v=3fKMpEVQgVM,,
tu,Superforma,,Jeudi 15,20h30,Les Saulnières ,,6 €,c,,Molto Morbidi,alt pop,,MACHINE ET MOI,trap pop,,,,,,,,https://superforma.fr/agenda/molto-morbidi-machine-moi-double-release-party?fbclid=IwAR1YxJTbWZUc68xiL_AMO3oXKbBBPmzf5rxJjj1Puy1Eh1TSBZfSTs6mMAo,,
tu,,,Jeudi 22,19h,Brasserie Septante Deux,,prix libre,c,,Dan beyond the clouds,alt folk + Flash tattoo Nuit des temps,,,,,,,,,,,,,
jlb,,,Jeudi 22,20h30,La Castélorienne,Montval-sur-Loir,7 à 14€,c,,Tarmac Rodéo d'Angers,"swing, dixieland, rock, jazz punk",,,,,,,,,,,,,
tu,Superforma,,Jeudi 22,20h30,Les Saulnières ,,0 à 13 €,c,,ISHKERO,jazz rock,,LÉON PHAL,jazz,,,,,,,,,,
tu,Soirée Electric campus,,Jeudi 8,20h30,Brasserie Septante Deux,,prix libre,c,,Sept ,pop/soul,,Wuu Jia,Rap old School,,Bétïses,Hard Techno/ Trance,,Hiddentitie ,hard techno,,,,
tu,,,Jeudi 8,19h,La Chicane,,tnc,c,,SOLINCA & Anja Loma,folk et guitare,,,,,,,,,,,,,
tu,Pint Of Science,Conférence + Concert,Jeudi 8,20h,Le Barouf,,0 €,c,,,,,,,,,,,,,,,,
tu,Garage5,,Jeudi 8,21h,Le Lézard,,prix libre,c,,Guilhem All,Turnabilist,,Le diable dégoutant,transe médiévale,,,,,,,,,,
tu,Les Jeudis de Panurge,,Jeudi 8,19h,Le Rabelais,Changé,0 €,c,,Leather Wings,glam rock,,,,,,,,,,,,,
tu,Audition iNOUïS du Printemps de Bourges,,Jeudi 8,19h30,Les Saulnières ,,0€ sur résa,c,,BASIC PARTNER,alt rock,,hyper jacuzzi,acid tech instrumental,,ÎLE DE GARDE + PAULVITESSE! + TREAKS,,,NOUVEAU MONICA,électro,,https://superforma.fr/agenda/auditions-pays-de-la-loire-des-inouis-du-printemps-de-bourges-2024?fbclid=IwAR0W8XbTvs2DhUt94gXSGY5CwFFlprNTD5bUzpk98Z9g4kIRo4sCHSzBnfA,,
