initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
jlb,Indé*Rama #3 / Superforma,,Dimanche 17,15h,L’Alambik MJC Ronceray,,4 à 6€,c,,Francky goes to point à pitre,,,,,,,,,,,,,,
jlb,,,Dimanche 17,17h,Le Rabelais,Changé,6 à 10€,sv,J'ai dormi près d'un arbre,Manu Galure,chanson,,,,,,,,,,,,,
pl,Superforma,,Dimanche 24,16h30,Théâtre de Chaoué,Allonnes,6€ à 8€,c,,ARMAN MÉLIÈS,Chanson Folk,,,,,,,,,,,,,
jlb,,,Jeudi 14,20h30,La Castélorienne,Montval-sur-Loir,7 à 14€,c,,Nico Marjo,chanson française,,,,,,,,,,,,,
ce,,,Jeudi 21,21h,Blue Zinc,,au chapeau,c,,,musique irlandaise acoustique,,,,,,,,,,,,,
pl,Carte blanche à Moth Frequency,,Jeudi 21,20h30,Théâtre de Chaoué,Allonnes,5€ à 12€,c,,Mütterlein ,black/indus/dark ambient,,sonic Area,Electro expé,,,,,,,,,,
jlb,Pianodays / Pianoctambule,,Jeudi 28,20h30,Les Saulnières ,,15 à 20€,c,,Mammal Hands,Blues jazz,,Dorian dumont plays aphex twin,piano jazz,,,,,,,,,,
ce,,,Jeudi 7,21h,Blue Zinc,,au chapeau,c,,,musique irlandaise acoustique,,,,,,,,,,,,,
tu,,,Jeudi 7,20h30,Brasserie Septante Deux,,prix libre,c,Pint of Acoustics,RamDam,conf.,,francis lung,indie pop/uk,,mackenzie leighton,indie folk/us,,,,,,,
jlb,,,Mardi 19,20h30,Bistro Broc Café,Changé,inc,c,,Joelia,musique,,,,,,,,,,,,,
jlb,Le Mans pop festival,,Mardi 26,20h30,Les Saulnières ,,17 à 22€,c,,LOMBRE,spoken world,, TOAN’CO,beat box,,,,,,,,,,
jlb,,,Mardi 5,20h30,Bistro Broc Café,Changé,au chapeau,c,,David Bonneville & Anne Marie Pellisse,musique,,,,,,,,,,,,,
jlb,,,Mercredi 13,20h30,Bistro Broc Café,Changé,au chapeau,c,,Louis,musique,,,,,,,,,,,,,
Jlb,,,Mercredi 13,20h30,Bistro Broc Café,Changé,au chapeau,c,,,Scène ouverte avec Antoine Louis,,,,,,,,,,,,,
ce,,,Mercredi 20,20h30,Blue Zinc,,au chapeau,c,,relecture premier je,Scène ouverte + Jam,,,,,,,,,,,,,
bl,,,Mercredi 20,20h30,L'Austral,Le Mans,prix libre,c,,Attic Ted,Synth punk cabaret performance,,,,,,,,,,,,,
ce,Apéro chansons,,Mercredi 27,19h30,Blue Zinc,,au chapeau,c,,,Scène ouverte ,,,,,,,,,,,,,
ce,Boeuf Bal Folk,,Mercredi 6,20h,Blue Zinc,,au chapeau,c,,,Musique & danse,,,,,,,,,,,,,
jlb,,,Samedi 16,20h30,Bistro Broc Café,Changé,au chapeau,c,,Did & Friends,musique,,,,,,,,,,,,,
ce,Saint Patrick,,Samedi 16,20h30,Blue Zinc,,au chapeau,c,,Sea's friends,blues,,,,,,,,,,,,,
zz,,,Samedi 16,20h,Boire du bon,Saint-Pavace,15 €,c,,the chamber quartet,jazz,,,,,,,,,,,,,
jlb,Saint Patrick,,Samedi 16,11h,différents endroits dans la ville,Mamers,,c,,parceQue,,,,,,,,,,,,,,
jlb,,,Samedi 16,20h30,Espace Henri Salvador,Coulaines,14 à 22,c,,Hélène Piris,Chanson française,,Karpatt,musique du monde,,,,,,,,,,
jlb,Indé*Rama #3 / Superforma,,Samedi 16,20h30,Les Saulnières ,,10à 15€,c,,BIRDS IN ROW,indie punk,,MARUJA,jazz punk,,UNSCHOOLING,indie rock,,,,,,,
zz,,,Samedi 16,20h,Restaurant l'eternel,La Fontaine-Saint-Martin,au chapeau,c,,scène ouverte,,,jam session,,,,,,,,,,,
jlb,,,Samedi 16,18h,Salle jean de la Fontaine,Marolles-les-Braults,tnc,sv,Concert des orchestres et ensembles intrumentaus de l' EMD,,,,,,,,,,,,,,,
jlb,,,Samedi 2,20h30,Bistro Broc Café,Changé,inc,c,,Follow The Withe Rabbit,Pop Folk Blues,,,,,,,,,,,,,
ce,,,Samedi 2,19h,Blue Zinc,,au chapeau,c,,Olivia Deschamps,ch.fr.,,,,,,,,,,,,,
zz,,,Samedi 2,20h,Boire du bon,Saint-Pavace,15 €,c,,boire du bon All stars quintet,concert anniversaire,,,,,,,,,,,,,
zz,Fièvre du samedi matin n°137,,Samedi 2,11h,La Fonderie,,0 €,sv,Dans l'atelier de Jin Xue,Ensemble offrandes,,,,,,,,,,,,,,
zz,,,Samedi 2,20h,La Fonderie,,5 €,sv,Traverser & Solo pour violoncelle,Jin Xue,,,,,,,,,,,,,,
jlb,,,Samedi 23,20h30,Bistro Broc Café,Changé,inc,c,,Five Fingers More,musique,,,,,,,,,,,,,
zz,,,Samedi 23,20h,Boire du bon,Saint-Pavace,15 €,c,,jean pierre derouard quartet,jazz,,,,,,,,,,,,,
jlb,,,Samedi 23,20h30,Espace Ronsard,Le Lude,"4,5 à 7e",c,,Nicolas Jules Trio,rock musette,,,,,,,,,,,,,
jlb,,,Samedi 23,20h30,Les Quinconces,,28 à 36€ complet,c,,Avisha Cohen,jazz blues,,,,,,,,,,,,,
jlb,,,Samedi 30,20h30,Bistro Broc Café,Changé,au chapeau,c,,Stolen,musique,,,,,,,,,,,,,
ce,Blue 3310,DJ set 90's-2000's,Samedi 30,20h,Blue Zinc,,au chapeau,c,,,one man show,,,,,,,,,,,,,
zz,,,Samedi 30,20h,Boire du bon,Saint-Pavace,15 €,c,,philippe duchemin trio,jazz,,,,,,,,,,,,,
jlb,Semaine d’éducation contre les discriminations,,Samedi 30,19h,Le Rabelais,Changé,11 à 13€,sv,Soirée ô Feminin,Madjo + Sian Pottok + Sophie Morin,Soirée concerts Ö féminin,,,,,,,,,,,,,
jlb,,,Samedi 30,20h,Les Saulnières ,,0 €,c,,tuba fest,jazz acid jazz,,,,,,,,,,,,,
pl,Superforma,,Samedi 30,20h30,Salle Jean Carmet,Allonnes,13€ à 20€,c,,Soviet Suprem,Electro punk Rap,,Lechapus,Electro Rap,,,,,,,,,,
jlb,,,Samedi 9,20h30,Bistro Broc Café,Changé,au chapeau,c,,Zouj,Hyperpop,,,,,,,,,,,,,
zz,,,Samedi 9,20h,Boire du bon,Saint-Pavace,15 €,c,,luis ferreira,bossa nova,,,,,,,,,,,,,
jlb,Temps fort du tango 2024 / Superforma,,Samedi 9,20h30,Les Saulnières ,,11 à 16€,c,,Les barjos du tangos,milonga tango,,,,,,,,,,,,,
jlb,,,Vendredi 1,20h30,Bistro Broc Café,changé,inc,c,,trio vannier,Chanson Française,,,,,,,,,,,,,
CE,,,Vendredi 1,20h30,Blue Zinc,,au chapeau,c,,ACCELERANDO,jazz,,,,,,,,,,,,,
tu,,,Vendredi 1,20h30,Brasserie Septante Deux,,prix libre,c,,Antenn.e,art punk/lyon,,Suspenchuuut ,collectif Rock/El Manos,,,,,,,,,,
jlb,Festimioches / Superforma,,Vendredi 1,20h,L’Alambik MJC Ronceray,,4 à 6€,sv,La juke box boum,Collectif Makane,Boum artistique dès 6 ans,,,,,,,,,,,,,
jlb,,,Vendredi 15,20h30,Bistro Broc Café,Changé,inc,c,,Jazz and Co,Jazz,,,,,,,,,,,,,
ce,T'as break ça Chacal,,Vendredi 15,21h,Blue Zinc,,au chapeau,c,,ENSIM Gang + Bunzen b2b Nomisluap + Jean Jarno,"uk garage, uk bass, breakbeat",,,,,,,,,,,,,
bl,,,Vendredi 15,20h30,Espace Scélia,Sargé-lès-le-Mans,8/11€,c,,Vertumne,mus.,,,,,,,,,,,,,
ce,,,Vendredi 15,19h30,l'Olivier,,conso,c,,Paul & Friends,folk/pop/rock,,,,,,,,,,,,,
ce,Happy St Patrick day,,Vendredi 15,19h30,Le Local a Bières,,au chapeau,c,,,Danses latines,,,,,,,,,,,,,
pl,Indé*Rama #3 / Superforma,,Vendredi 15,20h30,Salle Jean Carmet,Allonnes,10€ à 17€,c,,Ellah A.Thaun,power pop,,Dame Area,electro kraut indus,,En attendant Ana,electro pop,,,,,,,
jlb,,,Vendredi 22,20h30,Bistro Broc Café,Changé,inc,c,,Estel Transon,musique,,,,,,,,,,,,,
ce,,,Vendredi 22,20h30,Blue Zinc,,au chapeau,c,,La Douille + Storm in space,rock,,,,,,,,,,,,,
jlb,Superforma,,Vendredi 22,20h30,Oasis,,43 €,c,,Ken'V,pop,,,,,,,,,,,,,
jlb,,,Vendredi 29,20h30,Bistro Broc Café,Changé,au chapeau,c,,David Bonneville ,musique,,,,,,,,,,,,,
ce,,,Vendredi 29,20h30,Blue Zinc,,au chapeau,c,,Blurry shapes,rock/métal,,,,,,,,,,,,,
zz,,,Vendredi 29,19h à 23h,L'Ilocot,Saint-Georges-du-Bois,0 €,c,,jam session avec Brice,,,,,,,,,,,,,,
jlb,Superforma,,Vendredi 29,20h30,Oasis,,21 à 26€,c,,ÉLECTRO DELUXE,big band pop funk,,HYPER JACUZZI,electro funk,,,,,,,,,,
pl,Indé*Rama #3 / Superforma,,Vendredi 29,20h30,Salle Jean Carmet,Allonnes,18€ à 25€,c,,Maëlle,Chanson Folk,,,,,,,,,,,,,
jlb,,,Vendredi 8,20h30,Bistro Broc Café,Changé,inc,c,,Louis,musique,,,,,,,,,,,,,
ce,,,Vendredi 8,20h30,Blue Zinc,,au chapeau,c,,Hunterz,rap  ,,,,,,,,,,,,,
jlb,,,Vendredi 8,21h,Complexe culturel Atlantis,Saint-Cosme-en-Vairais,tnc,sv,Concert de printemps ,Musique de st Vincent des Prés,,,,,,,,,,,,,,
ce,,,Vendredi 15,20h,Centre Culturel Athéna,La Ferté-Bernard,8 à 17€,sv,Nos courses folles,Les Fouteurs de joie,hum.musical,,,,,,,,,,,,,
jlb,,,Dimanche 10,17h,Le Rabelais,Changé,7 à 11€,sv,Avec un grand F,cie les gamettes,théâtre,,,,,,,,,,,,,
jlb,,,Dimanche 10,14h,,Saint-Cosme-en-Vairais,,sv,carnaval,,,,,,,,,,,,,,,
jlb,,,Dimanche 17,17h,Théâtre du Passeur,,8 à 10€,sv,Zoom,,comédie sociale,,,,,,,,,,,,,
jlb,,,Dimanche 24,15h,L’Alambik MJC Ronceray,,au chapeau,sv,Tournoi d'inmprovisation théatral,,,,,,,,,,,,,,,
jlb,,,Dimanche 24,16h,Le Français,,10 à 18€,sv,"Je n'aime pas rire, ça me rappelle le boulot",Albert Meslay,Théâtre humour,,,,,,,,,,,,,
zz,,,Dimanche 24,14h30,Salle Polyvalente,Brette-les-Pins,6 à10€,sv,filles au pair,groupe théâtral du Bailleul,,,,,,,,,,,,,,
jlb,,,Dimanche 24,17h,Théâtre du Passeur,,5 €,sv,Rendez-vous conte,les mille et une nuit,Imène Sebaha,,,,,,,,,,,,,
zz,"Festival ""Au pays du môme""",,Dimanche 31,17h,Le Val’Rhonne,Moncé-en-Belin,4 à 6€,sv,Merveille(s),Cie Un château en Espagne,théâtre d'objets et d'émotions,,,,,,,,,,,,,
ce,,,Jeudi 14,20h30,Blue Zinc,,au chapeau,sv,Le set comedy,,humour  ,,,,,,,,,,,,,
bl,,,Jeudi 14,20h30,Salle Coppélia,La Flèche,7 à 15€,sv,L'Inizio,Cie Chriki'z,danse,,,,,,,,,,,,,
ce,,,Jeudi 21,20h,Centre Culturel Athéna,La Ferté-Bernard,8 à 17€,sv,Je ne cours pas je vole !,nc,,,,,,,,,,,,,,
ce,,,Jeudi 21,20h30,Eve scène universitaire,,4 à 10€,sv,Des femmes respectables,Cie Carna,danse,,,,,,,,,,,,,
zz,,,Jeudi 21,16h & 20h,L’Éolienne,Arnage,15 €,sv,Suzanne,,théâtre,,,,,,,,,,,,,
bl,,,Jeudi 28,20h30,Salle Coppélia,La Flèche,7 à 15€,sv,Scènes de la vie conjugale,Les surfaces de réparations,théâtre au casque audio,,,,,,,,,,,,,
ce,,,Mardi 12,20h,Blue Zinc,,au chapeau,sv,,Labo du set,humour (rodages),,,,,,,,,,,,,
jlb,,,Mardi 12,17h30,Salle Jean Carmet,Allonnes,"2,5 à 6€",sv,Le complexe du Pinguoin,Cie le mouton carré,Théâtre d'objets,,,,,,,,,,,,,
ce,,,Mardi 19,20h30,Blue Zinc,,au chapeau,sv,,Labo du set,humour (rodages),,,,,,,,,,,,,
jlb,,,Mardi 19,20h30,Espace Henri Salvador,Coulaines,sur réservation,sv,Quand je serai un homme,Compagnie caravane,théâtre,,,,,,,,,,,,,
jlb,,,Mardi 19,20h30,La Castélorienne,Montval-sur-Loir,10à 22€,sv,Abécédaire de la Séduction,La Martingale,Stand up,,,,,,,,,,,,,
ce,,,Mardi 26,20h30,Blue Zinc,,au chapeau,sv,,Labo du set,humour (rodages),,,,,,,,,,,,,
ce,,,Mardi 26,20h30,Eve scène universitaire,,4 à 10€,sv,Parpaing,114 Cie,th.,,,,,,,,,,,,,
bl,,,Mardi 26,20h30,L'Entracte,Sablé-sur-Sarthe,10 à 20€,sv,Tout ça pour l'amour,Edwige Baily & Julien Poncet,théâtre,,,,,,,,,,,,,
ce,,,Mardi 5,20h ,Blue Zinc,,au chapeau,sv,Labo du set,,humour (rodages),,,,,,,,,,,,,
