initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,Les Champs magnétiques ,"concerts, dédicaces, expos",Vendredi 31,hnc,,Fercé-sur-Sarthe,tnc,c,,SIbé Fadjo,afro blues,,Leather Wings,rock,,,,,,,,,,
tu,garage5,,Vendredi 17,20h30,Brasserie Septante Deux,,prix libre,c,,Mondpkof ,ambient,,Frédéric D. Oberland,machines live,,,,,,,,,,
ce,,,Mercredi 22,19h30,Blue Zinc,,au chapeau,c,,,Apéro Chansons (Scène ouverte),,,,,,,,,,,,,
pl,,,Dimanche 19,14h,Théâtre de Chaoué,Allonnes,gratuit,sv,Le Dimanche (avant lundi),Zutana Bazar,atelier danse,,,,,,,,,,,,,
tu,,,Samedi 4,21h,Le Lodge,,0 €,sv,,Antoine 4000,aterlier écriture & création,,,,,,,,,,,,,
jlb,,,Samedi 4,20h30,Bistro Broc Café,Changé,au chapeau,c,,Belle île en blues,blues / rock,,,,,,,,,,,,,
tu,,,Samedi 4,20h,Le Lapin Blanc,,0 €,c,,Manu K,blues / rock,,,,,,,,,,,,,
jlb,,,Samedi 4,20h,La Piraterie,,0 €,c,,Paul & Friends,Blues country rock,,,,,,,,,,,,,
zz,,,Samedi 25,20h30,Salle G. Brassens,Yvré-l'Évêque,8 à 10€,c,,March Mallow,blues jazz,,,,,,,,,,,,,
tu,,,Samedi 25,20h,Brasserie Mage Malte,Mamers,0 €,c,,Sham’rock blues,blues rock,,octane,rock metal,,,,,,,,,,
pl,Superforma,,Dimanche 26,16h30,Théâtre de Chaoué,Allonnes,8 à 10 €,sv,,Fil par Leila Martial & Valentin Ceccaldi,Blues/Jazz,,,,,,,,,,,,,
jlb,,,Vendredi 24,20h,La Piraterie,,0 €,c,,Pépin and Co,ch.,,,,,,,,,,,,,
jlb,,,Samedi 11,20h,La Piraterie,,0 €,c,,Quidame,ch.,,,,,,,,,,,,,
jlb,,,Dimanche 26,20h,La Piraterie,,0 €,c,,Voies Lactées,ch.,,,,,,,,,,,,,
tu,,,Dimanche 26,21h,Le Zoo,,au chapeau,c,,Bonhome Tétard,ch. fr.,,,,,,,,,,,,,
tu,Dimanches au Kiosque,,Dimanche 26,16h,Jardin des Plantes,,0 €,c,,Couleurs du Temps,ch. fr.,,,,,,,,,,,,,
tu,,,Jeudi 2,20h,Le Pilier Rouge,,prix libre,c,,Etienne seul-tout,ch. fr.,,,,,,,,,,,,,
jlb,,,Vendredi 3,20h30,Bistro Broc Café,Changé,au chapeau,c,,Les Habits du dimanche,ch. fr.,,,,,,,,,,,,,
tu,Dimanches au Kiosque,,Dimanche 19,16h,Jardin des Plantes,,0 €,c,,Trio Colibris,ch. fr.,,,,,,,,,,,,,
bl,,,Vendredi 17,20h30,Théâtre de la Halle-au-Blé,La Flèche,7 à 15€,c,,La mine de Léo,chanson française exotique,,,,,,,,,,,,,
jlb,,,Samedi 25,20h,La Piraterie,,0 €,c,,Trio Colibris,Chansons,,,,,,,,,,,,,
zz,,,Jeudi 30,20h,Salle des concerts,,0 €,c,L'étange cas du docteur Jekyll et de Mr Hyde,chant du conservatoire,chant,,,,,,,,,,,,,
zz,,,Mercredi 29,20h,Salle des concerts,,0 €,c,concert Offenbach,eleves de chant et formation musicale du conservatoire,chant,,,,,,,,,,,,,
zz,Cirk'en salle !,,Samedi 25,19h,Le Val’Rhonne,Moncé-en-Belin,6 €,c,,Quintet de Pioche,ciné concert,,,,,,,,,,,,,
jlb,Rencontre Régionale des Écoles de cirque,,Samedi 18,20h30,Cirque Mimulus,Fresnay-sur-Sarthe,5 à 8€,sv,Plus Haut,Cie Barolosolo,cirque,,,,,,,,,,,,,
zz,Cirk'en salle !,,Vendredi 24,19h,Le Val’Rhonne,Moncé-en-Belin,6 €,sv,Plus haut,Cie Barolosolo,cirque,,,,,,,,,,,,,
