initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
pl,Jazz Tangentes,,Dimanche 2,14h,Abbaye de l'epau,Le Mans,0 à 4€,c,Jazz au jardin,Pierre Millet et le Big Band de l'Orée de Bercé Belinois,Blues/Jazz,,Matthieu Metzger,Blues/Jazz,,Morgane Carnet et Tatiana Paris,Blues/Jazz,,Edouard Ferlet,Blues/Jazz,Cédric Thimon,,,
zz,Le Mans plage,,Samedi 15,17h30,Au Parc des prairies de Funay (situé devant la piscine des Atlantides),,0 €,c,,Braz' Auréoles,percus brésiliennes,,,,,,,,,,,,,
zz,Le Mans plage,,Samedi 22,17h30,Au Parc des prairies de Funay (situé devant la piscine des Atlantides),,0 €,c,,concert,,,,,,,,,,,,,,
zz,Le Mans plage,,Samedi 29,17h30,Au Parc des prairies de Funay (situé devant la piscine des Atlantides),,0 €,c,,Batucada,chansons brésiliennes,,,,,,,,,,,,,
zz,Le Mans plage,,Samedi 8,17h30,Au Parc des prairies de Funay (situé devant la piscine des Atlantides),,0 €,c,,Batuc' en scène,percus brésiliennes,,,,,,,,,,,,,
jlb,,,Samedi 15,11h,Bar La Rotonde,Mamers,tnc,c,,,Sessions Irlandaises,,,,,,,,,,,,,
jlb,Fête de la musique,,Vendredi 21,20h,Bistro Broc Café,Changé,au chapeau,c,,,,,,,,,,,,,,,,
jlb,,,Mardi 11,20h,Bistro Broc Café,Changé,au chapeau,c,,,Scène ouverte avec Antoine,,,,,,,,,,,,,
jlb,,,Mardi 18,20h,Bistro Broc Café,Changé,au chapeau,c,,,Scène ouverte avec Yves,,,,,,,,,,,,,
jlb,,,Mardi 4,20h,Bistro Broc Café,changé,au chapeau,c,,Kabudija,,,,,,,,,,,,,,
jlb,,,Mercredi 19,20h,Bistro Broc Café,Changé,au chapeau,c,,Louis,,,,,,,,,,,,,,
jlb,,,Mercredi 26,20h,Bistro Broc Café,Changé,au chapeau,c,,DJAZARAD,,,,,,,,,,,,,,
jlb,,,Mercredi 5,20h,Bistro Broc Café,Changé,au chapeau,c,,Du côté de Chez Fred,,,,,,,,,,,,,,
jlb,,,Samedi 15,20h,Bistro Broc Café,Changé,au chapeau,c,,Paul and Friends,,,,,,,,,,,,,,
jlb,,,Samedi 22,20h,Bistro Broc Café,Changé,au chapeau,c,,La belle vallée,,,,,,,,,,,,,,
jlb,,,Samedi 29,20h,Bistro Broc Café,Changé,au chapeau,c,,Esperluette,,,,,,,,,,,,,,
jlb,,,Samedi 8,20h,Bistro Broc Café,Changé,au chapeau,c,,Louis,,,,,,,,,,,,,,
jlb,,,Vendredi 14,20h,Bistro Broc Café,Changé,au chapeau,c,,Quidâme,,,,,,,,,,,,,,
jlb,,,Vendredi 28,20h,Bistro Broc Café,Changé,au chapeau,c,,Ramdâmes,,,,,,,,,,,,,,
jlb,,,Vendredi 7,20h,Bistro Broc Café,Changé,au chapeau,c,,Pascal Lenarth et Pierre Levasseur,,,,,,,,,,,,,,
ce,,,Jeudi 20,21h,Blue Zinc,,au chapeau,c,,,Musique Irlandaise,,,,,,,,,,,,,
ce,,,Jeudi 6,21h,Blue Zinc,,au chapeau,c,,,Musique Irlandaise,,Collectif Racyne,electro,,,,,,,,,,
ce,,,Vendredi 28,21h,Blue Zinc,,au chapeau,c,,Mafia Sofa,rock,,,,,,,,,,,,,
ce,,,Vendredi 7,20h30,Blue Zinc,,au chapeau,c,,Chasing Foxes,pop/rock,,,,,,,,,,,,,
at,Jazz Tangentes,,Samedi 1,12h,Boutique les Allumés du jazz,Le Mans,0 €,c,,L'1consolable,rap allumé (du jazz),,,,,,,,,,,,,
ba,,,Samedi 15,20H,Brasserie Mage Malte,Mamers,,c,,Odez,Rock local,,,,,,,,,,,,,
jlb,Circuits # 18,,Jeudi 6,20h30,Brasserie Septante Deux,,prix libre,c,,Jogging,math pop,,,,,,,,,,,,,
tu,Cortex Booking,,Samedi 15,21h,Brasserie Septante Deux,,au chapeau,c,,Hoon,chaotic garage punk/Australie,,,,,,,,,,,,,
tu,Fête de la musique,,Vendredi 21,21h,Brasserie Septante Deux,,0 €,c,,Soirée DJ Set Club Champetre,,,,,,,,,,,,,,
pl,Jazz Tangentes,,Samedi 1,20h30,Brasserie Septante Deux,Le Mans,0 €,c,,Séïsmes,Blues/Jazz,,You,Blues/Jazz,,,,,,,,,,
zz,Le Mans fait son cirque,,Dimanche 30,16h,Chapiteau promenade Newton,,0 €,c,,Maitre Mim's,DJ set,,,,,,,,,,,,,
zz,Le Mans fait son cirque,,Jeudi 27,21h,Chapiteau promenade Newton,,0 €,c,,Erik Lebeauchanson créole,,,,,,,,,,,,,,
zz,Le Mans fait son cirque,,Samedi 29,21h30 & 23h,Chapiteau promenade Newton,,0 €,c,,Hotel Bary,DJ set,,Shark Mayol,Zouk punk océanique,,,,,,,,,,
zz,Le Mans fait son cirque,,Vendredi 28,21h,Chapiteau promenade Newton,,0 €,c,,les pythons de la fournaise,fusion séga & maloya,,,,,,,,,,,,,
jlb,,,Samedi 1,19h30,Chope et Compagnie Le Mans Sud,,TNC,c,,Napkins,rock,,,,,,,,,,,,,
at,Portes ouvertes,8 concerts,Mercredi 19,14h-19h,Conservatoire du Mans,,0 €,c,,,,,,,,,,,,,,,,
jlb,,,Dimanche 9,17h,Eglise Notre Dame,Mamers,tnc,c,Recital D'Orgue,Edmond Reuzé,,,,,,,,,,,,,,
bl,,,Samedi 1,20h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,8 à 15 €,c,,Scratchophone Orchestra,électro-swing,,,,,,,,,,,,,
jlb,,,Lundi 10,20h30,Espace Henri Salvador,Coulaines,,c,Starmania,Chorale,,,,,,,,,,,,,,
jlb,Fête de la musique,,Vendredi 21,18h,Espace Jacques Levêque,Saint-Rémy-des-Monts,0 €,c,,,,,,,,,,,,,,,,
jlb,soirée Swing,,Samedi 22,20H,Espace Le Narais,Saint-Mars-la-Brière,8 à 10€,c,Soirée Swing,Carre Mans swing,,,,,,,,,,,,,,
jlb,Festival du 34,Compagnie PAF Théâtre,Vendredi 21,à partir de 20 h,Espace ludothèque et MJC,Mayet,au chapeau,c,,DYLON & DIX Heures DIX,pop,Théâtre impro à la MJC,,,,,,,,,,,,
jlb,Festival du 34,Compagnie PAF Théâtre,Dimanche 23,à partir de16h60,Espace ludothèque et MJC,Mayet,5 à 8€,c,,"Lucie, Nat Gi'Band",pop,Enfermées ( Groupe Ados de lez'arts),Paix à son âme ( groupe adultes MJC Mayet),On ne veut pas de cette lettre (Adultes de lez'arts),Théâtre,,,,,,,,,
jlb,Festival du 34,Compagnie PAF Théâtre,Samedi 22,à partir de 18 h,Espace ludothèque et MJC,Mayet,5 à 8€,c,concert à 20 h,Voix Lactées,,Théâtre Stand Up (troupe amateur),Choisir ne pas Choisir (Paf Théâtre),Education sentimental (Cie les ailes du rire),,,,,,,,,,
jlb,,,Mercredi 19,19h00,Espace Saugonna,Mamers,0 €,c,,,Danse et Musique Classique,,,,,,,,,,,,,
jlb,Fête de la musique,,Vendredi 21,18h,esplanade ronsard,Le Lude,,c,,Groupes locaux,,,,,,,,,,,,,,
jlb,,,Dimanche 23,17h30,Foyer loisir,Parigné-l'Évêque,tnc,c,,BBOBB (Big Band de l'Orée du Bercé Bélinois),big band jazz,,,,,,,,,,,,,
zz,Cour le plaisir,,Vendredi 14,18h à 22h,hangard Créalab,,0 €,c,,,Dj sets,,,,,,,,,,,,,
zz,Cour le plaisir spécial Fête de la musique,,Vendredi 21,18h à 22h,hangard Créalab,,0 €,c,,,Dj sets,,,,,,,,,,,,,
zz,Dimanches au kiosque,,Dimanche 16,16h,Jardin des plantes,,0 €,c,,Ensemble à cordes de la Flèche,concert champêtre,,,,,,,,,,,,,
zz,Dimanches au kiosque,,Dimanche 2,16h,Jardin des plantes,,0 €,c,,quai de scène,ch. fr,,,,,,,,,,,,,
zz,Dimanches au kiosque,,Dimanche 23,16h,Jardin des plantes,,0 €,c,,big band de saint Denis d'Orques,jazz rock country,,,,,,,,,,,,,
zz,Dimanches au kiosque,,Dimanche 30,16h,Jardin des plantes,,0 €,c,,tranzysong,pop rock country,,,,,,,,,,,,,
zz,Dimanches au kiosque,,Dimanche 9,16h,Jardin des plantes,,0 €,c,,blind barbecue bob,blue folk country,,,,,,,,,,,,,
pl,Jazz Tangentes,,Samedi 1,18h,L'atelier Hirondelle,Le Mans,0 €,c,,Paul Rogers,musique improvisée,,Eric Chenaux,Blues/Jazz,,,,,,,,,,
at,Cortex Booking,,Vendredi 7,20h30,L'Austral,,au chapeau,c,,tornado twist,électro rock/Rennes,,Long Hours,suicide perfo/Australie,,,,,,,,,,
jlb,,,Jeudi 13,19h,la chicane,,tnc,c,,Jazzalâme,,,,,,,,,,,,,,
ba,Fête de la musique,,Vendredi 21,19H,La Citadelle des Anges,Teloché,0 €,c,,,,,,,,,,,,,,,,
ba,,,Dimanche 9,19H,La Citadelle des Anges,Teloché,12 €,c,,The Ascending,Rock-folk,,,,,,,,,,,,,
ba,,,Samedi 29,22H30,La Citadelle des Anges,Teloché,42 €,c,Candlelight Open Air : Hommage à ABBA,,,,,,,,,,,,,,,
ba,,,Vendredi 28,22H30,La Citadelle des Anges,Teloché,42 €,c,Candlelight Open Air : Hommage à Hans Zimmer,,,,,,,,,,,,,,,
at,,,Jeudi 6,19h,La Guinguette des Tanneries,,0 €,c,,TSIGAISKA,trio jazz manouche,,,,,,,,,,,,,
at,,,Samedi 1,19h,La Guinguette des Tanneries,,0 €,c,,Joris,reggae ,,,,,,,,,,,,,
at,,,Samedi 29,19h & 19h30,La Guinguette des Tanneries,,0 €,c,,spilova,ch.fr. swing,,,,,,,,,,,,,
