initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,2nd tour des élections législatives,barrage du rance,Dimanche 7,8h-18h,Dans ton bureau de vote,,0€,c,,le bruit des bottes,Finkielkraut rock,,,,,,,,,,,,,
ce,Apéro chansons,,Mercredi 3,19h30,Blue Zinc,,au chapeau,c,,,scène ouverte,,,,,,,,,,,,,
tu,Blue Dog Open Air,,Dimanche 14,16h,Parc Théodore Monod,,0€,c,,DJ SETS,,,,,,,,,,,,,,
tu,Blue Dog Open Air,,Vendredi 12,18h,Parc Théodore Monod,,0€,c,,DJ SETS,,,,,,,,,,,,,,
tu,Cortex Booking,,Jeudi 4,21h30,Le Lézard,,au chapeau,c,,Goutlaw,punk blues abusif/Australie,,,,,,,,,,,,,
zz,"Festival ""La Bonn'Zik""",,Vendredi 12,à partir de 19h,parc du château,Bonnétable,0€,c,,Tito Nabat,Jazz manouche,,Mouv'N Brass,brass band,,Rue d’la soif,rock'n'roll/java,,,,,,,
zz,"Festival ""La Bonn'Zik""",,Vendredi 19,à partir de 19h,parc du château,Bonnétable,0€,c,,Jeyo,latino swing,,Call me daddy,pop groove funky,,,,,,,,,,
zz,"Festival ""La Bonn'Zik""",,Vendredi 26,à partir de 19h,parc du château,Bonnétable,0€,c,,Grisby Band,soul fink,,La charcuterie musicale,quizz musical,,Bastringue Générale,hip hop java,,,,,,,
zz,"Festival ""La Bonn'Zik""",,Vendredi 5,à partir de 19h,parc du château,Bonnétable,0€,c,,Robin cavaillès,electro beat box,,Maracujah,reg'n'roll,,,,,,,,,,
at,Festival a tout bout d'champ #6,,Samedi 20,15h30,,Chantenay-Villedieu,21€ 1j 35€ 2j,c,,Naaman,reggae,,Bakermat,electro pop,,Elmer food beat,ch.fr.,,Hilight tribe,electro transe,,,,https://www.facebook.com/events/384417914036440
at,Festival a tout bout d'champ #6,,Vendredi 19,15h30,,Chantenay-Villedieu,20€ 1j 35€ 2j,c,,Georgio,rap,,L.E.J,ch. fr.,,LES P’TITS FILS DE JEANINE,ch. fr.,,The bleers,pop rock,,,,https://www.facebook.com/events/384417914036440
zz,Festival Bazar en ordre,Arts & musique,Dimanche 21,11h,La Citadelle des anges,Teloché,0 à 22€,c,,Hasanga,psy/indie/chill,,Robin Cavailles,beatbox/loopstation,,Antoine 4000,hip-hop du futur,,Grisby,funk/groove,,,,
zz,Festival Bazar en ordre,Arts & musique,Samedi 20,16h,La Citadelle des anges,Teloché,0 à 22€,c,,Funky District live band,funk/house/disco,,Ich Bin Wallou,jazz/punk/rock/funk/chanson française,,Pierres et Fils,fanfare toute en couleurs,,Badknife,indie dance/italo disco,,,,
tu,Festival de la Chéronne // du 12 au 28 juillet,musique de chambre et de chant lyrique,Vendredi 12,20h,,Saint-Denis-des-Coudrais,,sv,,,,,,,,,,,,,,,,
