initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,After Les Siestes Teriaki,,Vendredi 30,18h,Hangar Créalab,,0 €,c,,"Yann Joussein ""keep the bastards honest""","drummer, electronic, improviser, composer",,Zéro Gravity,électro-ambient,,,,,,,,,,
tu,Before Les Siestes Teriaki part. 1,,Vendredi 23,20h,Le Barouf,,0 €,c,,Grife,pink punk/Orléans,,,,,,,,,,,,,
tu,Before Les Siestes Teriaki part. 2,,Vendredi 23,22h,Le Lézard,,0 €,c,,Sodom et sagesse,punk noise/Tours,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 10,17h30,Allée des Prairies de Funay,,0 €,c,,Malanga,,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 17,17h30,Allée des Prairies de Funay,,0 €,c,,NoPento,fanfare,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 24,17h30,Allée des Prairies de Funay,,0 €,c,,Farety,,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 3,17h30,Allée des Prairies de Funay,,0 €,c,,Les Gringos,Percussions brésiliennes,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 31,17h30,Allée des Prairies de Funay,,0 €,c,,PersQsaô,batucada,,,,,,,,,,,,,
zz,Le Mans Plage,,Vendredi 2,17h30,Allée des Prairies de Funay,,0 €,sv,Les rendez-vous contes de l'été,théatre du Passeur,conte & musique,,,,,,,,,,,,,
tu,Les Siestes Teriaki,,Samedi 24,15h,Abbaye de l'Épau,,0 €,c,,PARQUET + SPILL GOLD + YALLA MIKU + GROUPE FROID + SHANE ASPERGEN + MOLTO MORBIDI + ETC..,,,,,,,,,,,,,,
MG,Les Trolls en Folie #7,,Samedi 3,17h30,Le Débat,Jupilles,"12€, gratuit -12 ans",c,,Cie Triple Buse,medley hommage aux années 30 à 60,,Kristel,pop rock,,Son ar dan,rock celto/punk,Le Trottoir,pop rock folk,ChabiFonk Experience,"rock psyché, sound system",,,
MG,Les Troubles villes #15,Festival pluridisciplinaire,Samedi 31,19h,terrain de camping,Connerré,0 €,c,,LES GARÇONS BOUCHERS - “TCHAO FRANÇOIS”,punk fr.,VILLA FANTÔME - ex. La Ruda,Ska,LA DOUILLE,punk rap,,,,,,,,,
MG,Les Troubles villes #15,Festival pluridisciplinaire,Vendredi 30,19h,terrain de camping,Connerré,0 €,c,,YOANN LAUNAY,ch. fr.,,SANS LACTOSE,rap pop,,JOSEPH KAMEL,pop,,,,,,,
MG,Les Troubles villes #15,Festival pluridisciplinaire,Samedi 31,15h,théâtre de Verdure - La Passerelle,Connerré,,sv,C’est idiot mais ça colle à la peau,Yohan Durand & Kévin,"diabolo, cirque",Beethoven Métalo Vivace,cie Monsieur le Directeur,guitare sur corde lisse,Dames de France,Cie Les Sœurs Goudron,th. de rue,,,,,,,
MG,Les Tufféeries,,Samedi 17,15h,,Tuffé Val de la Chéronne,"17€, gratuit -10 ans",c,,Magic System,,BONEY M STORY,,,,,,,,,,,,
zz,les vendredis et samedis soir de l'été,,Vendredi 2,21h,place Saint Michel/porche Royal,,8 à 12€,sv,Les Mystères dans la Cathédrale,Cie des Gens pluriels,th. déambulatoire,,,,,,,,,,,,,
pl,Soirée pour la Paix,,Vendredi 30,20h30,Salle Jean Carmet,Allonnes,5€,c,,Les Grandes Bouches,Chanson/Folk,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Jeudi 1,18h30-22h,Maison de quartier Charles Trenet,,0 €,sv,,,Spectacles & concert,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Jeudi 15,18h30-22h30,Parc de l'Épine,,0 €,sv,,,Spectacles,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Jeudi 22,18h30-22h30,terrain de sport maison quartier de l'Oiselière,,0 €,sv,,,Spectacles,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Jeudi 29,18h30-22h30,collège Vieux Colombier,,0 €,sv,,,Spectacles & concert,,,,,,,,,,,,,
zz,Soirs d'été,,Vendredi 16,18h30-22h30,Parking salle Clairciny,,0 €,sv,Arts de la rue,,Spectacles,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 2,18h30-21h30,Parc du Gué de Maulny,,0 €,sv,,,Spectacles & concert,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 23,18h30-22h30,Centre hospitalier,,0 €,sv,,,Spectacles,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 30,21h-22h30,Esplanade du bicentenaire,,0 €,sv,,,Spectacle,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 30,18h30-21h,Place de la Mairie,,0 €,sv,,,Spectacles & concert,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 9,18h30-21h30,MPT Jean Moulin,,0 €,sv,,,Spectacles,,,,,,,,,,,,,
ce,,,Jeudi 29,20h30,Blue Zinc,,au chapeau,c,,Avec des Gens Armés,pop pacifique,,,,,,,,,,,,,
ce,,,Mardi 20,20h30,Blue Zinc,,au chapeau,c,,Quidâme,ch.fr.,,,,,,,,,,,,,
ce,,,Mardi 27,20h ,Blue Zinc,,au chapeau,c,,Au 15 pavillon,pop rock,,,,,,,,,,,,,
zz,,,Mercredi 14,19h,Guinguette des Tanneries,,0 €,c,,Duo Vasquez-Aceituno,musique latine,,,,,,,,,,,,,
ce,,,Mercredi 21,19h30,Blue Zinc,,au chapeau,c,,,Apéro chanson (scène ouverte),,,,,,,,,,,,,
ce,,,Mercredi 28,20h,Blue Zinc,,au chapeau,c,,Night Fuss,rock,,,,,,,,,,,,,
tu,,,Samedi 10,20h,Le Lapin Blanc,,0 €,c,,John Maine,rock cover,,,,,,,,,,,,,
tu,,,Samedi 13,20h,Le Lapin Blanc,,0 €,c,,Syl,rock blues,,,,,,,,,,,,,
zz,,,Samedi 3,19h,Guinguette des Tanneries,,0 €,c,,Lamine Cissokho,Cora afro jazz trad,,,,,,,,,,,,,
tu,,,Samedi 3,20h,Le Lapin Blanc,,0 €,c,,Monkey Tonk,blues,,,,,,,,,,,,,
jlb,,,Vendredi 16,20h30,Cour du Carroi,La Flèche,0 €,c,,Et si on chantait,spectacle participatif,,la charcuterie musicale,Quizz et show musical,,,,,,,,,,
jlb,,,Vendredi 2,20h30,Cour du Carroi,La Flèche,0 €,c,,Alice Ha,Pop Folk,,Ferdinant,chanson rock,,,,,,,,,,
zz,,,Vendredi 23,19h,Guinguette des Tanneries,,0 €,c,,Teenage bed,folk pop,,,,,,,,,,,,,
ce,,,Vendredi 30,20h30,Blue Zinc,,au chapeau,c,,Janus,ch. fr.,,,,,,,,,,,,,
tu,,,Vendredi 30,20h,Le Lapin Blanc,,0 €,c,,Eli'Jazz,duo jazz swing,,,Jam session,,,,,,,,,,
jlb,,,Vendredi 30,20h,Rue de la Vaudelle,Spay,0 €,c,,Virée à deux,Variété,,Djazzandco,jazz,,,,,,,,,,
jlb,,,Vendredi 9,20h30,Cour du Carroi,La Flèche,0 €,c,,En Salsa Me,initiation danse latine,,Cafeira,salsa,,,,,,,,,,
MG,,,Dimanche 11,16h,Moulinsart,Fillé,0 €,sv,Next level illusion,Victor Capron,spect. de magie,,,,,,,,,,,,,
MG,,,Dimanche 18,16h,Moulinsart,Fillé,0 €,sv,Match d'impro,Cie La Limprost,th. d'improvisation,,,,,,,,,,,,,
MG,,,Dimanche 25,16h,Moulinsart,Fillé,0 €,sv,Beltain,Cie Tan Elleil,"danse, déambulation",,,,,,,,,,,,,
MG,,,Dimanche 4,16h,Moulinsart,Fillé,0 €,sv,Pas sages en forêt,Cie Fouxfeuxrieux,balade clownesque,,,,,,,,,,,,,
tu,,,Mercredi 14,10h,CPFI,,5 €,sv,Contes et légendes des instruments de musique,,spectacles de marionnettes (4-7ans),,,,,,,,,,,,,
tu,,,Mercredi 21,10h,CPFI,,5 €,sv,Contes et légendes des instruments de musique,,spectacles de marionnettes (4-7ans),,,,,,,,,,,,,
tu,,,Mercredi 7,10h,CPFI,,5 €,sv,Contes et légendes des instruments de musique,,spectacles de marionnettes (4-7ans),,,,,,,,,,,,,
tu,,,Samedi 10,20h30,Abbaye de l'Épau,,0 €,sv,Vite vite vite,Cie Tetrofort,contes & arts de rue,,,,,,,,,,,,,
jlb,,,Samedi 3,19h,le Café de la Gare,Chenu,0€,c,,,Scène ouverte,,,,,,,,,,,,,
jlb,,,Samedi 10,19h,le Café de la Gare,Chenu,0€,c,,,Scène ouverte,,,,,,,,,,,,,
jlb,,,Samedi 17,19h,le Café de la Gare,Chenu,0€,c,,,Scène ouverte,,,,,,,,,,,,,
jlb,,,Samedi 24,19h,le Café de la Gare,Chenu,0€,c,,,Scène ouverte,,,,,,,,,,,,,
jlb,,,Samedi 31,19h,le Café de la Gare,Chenu,0€,c,,,Scène ouverte,,,,,,,,,,,,,
