initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Dimanche 1,17h,Guinguette des Tanneries,,0 €,c,,Martin Frenehart & Solinca,electro chill,,,,,,,,,,,,,
tu,Dimanche au Kiosque,,Dimanche 15,16h,Jardin des plantes,,0 €,c,,Quai de scène,batucada,,,,,,,,,,,,,
tu,Dimanche au Kiosque,,Dimanche 29,16h,Jardin des plantes,,0 €,c,,Harmonie des Chemins de fer,,,,,,,,,,,,,,
tu,Dimanche au Kiosque,,Dimanche 22,16h,Jardin des plantes,,0 €,c,,En Harmonie,,,,,,,,,,,,,,
CE,,,Jeudi 12,21h,Blue Zinc,,au chapeau,c,,,Mus.irlandaise acoustique,,,,,,,,,,,,,
tu,,,Jeudi 12,21h,Le Barouf,,0 €,c,,burger airport,funky jazz fusion,,,,,,,,,,,,,
CE,,,Jeudi 19,21h,Blue Zinc,,au chapeau,c,,,Mus.irlandaise acoustique,,,,,,,,,,,,,
tu,Cortex Booking / Forever Old #25,,Jeudi 19,21h,Brasserie Septante Deux,,au chapeau,c,,Loth,black métal from Metz,,,,,,,,,,,,,
tu,,,Jeudi 26,20h30,Blue Zinc,,prix libre,c,,hoax paradise,indie rock,,,,,,,,,,,,,
tu,,,Jeudi 26,21h,Le Barouf,,0 €,c,,balak,heavy-psych kraut/Dinan,,,,,,,,,,,,,
at,,,Jeudi 26,20H,Théâtre Paul Scarron,,0 €,c,,Johnny Jane,pop rock,,colt,pop rock,,three tens,pop rock,,,,,,,
CE,,,Jeudi 5,20h,Blue Zinc,,au chapeau,c,,JAMIE TURNER,70''s pop folk,,,DJ Set Drum & Bass,,,,,,,,,,
tu,,,Jeudi 5,19h30,La Chicane,,0 €,c,,Jean Pierre Derouard & Nicola Gréory,duo jazz,,,,,,,,,,,,,
tu,,,Mardi 3,18h30,Bistro Broc Café,Changé,au chapeau,c,,Du côté de chez Fred,ch. fr.,,,,,,,,,,,,,
CE,Tempo,,Mercredi 11,20h,Blue Zinc,,au chapeau,c,,,Scène ouverte + Jam,,,,,,,,,,,,,
tu,,,Mercredi 18,20h,Blue Zinc,,0 €,c,,,Scène ouverte + Apéro chansons,,,,,,,,,,,,,
tu,Forever Young #4 / Forever Young dans ton quartier,,Mercredi 25,14h,Promenade Newton,,0 €,c,,,Breaking / Théâtre d’impro / Arts visuels / Slam rap,,,,,,,,,,,,,
tu,,,Mercredi 4,20h30,Bistro Broc Café,Changé,au chapeau,c,,volante loco,bal,,,,,,,,,,,,,
tu,,,Mercredi 4,20h30,Blue Zinc,,0 €,c,,,Boeuf Bal Folk (danse & concert),,,,,,,,,,,,,
zz,,,Samedi 14,20h,Boire du bon,Saint-Pavace,tnc,c,,Didier Conchon & Nicolas Rousserie,jazz,,,,,,,,,,,,,
tu,,,Samedi 14,21h,Brasserie Septante Deux,,prix libre,c,,Princesse Gilbert,Chansons indé/Paris,,,,,,,,,,,,,
tu,Blue Dog Open Air,,Samedi 14,16h,Parc Théodore Monod,,0 €,c,,,DJ Sets,,,,,,,,,,,,,
zz,,,Samedi 21,20h,Boire du bon,Saint-Pavace,tnc,c,,Philippe Duchemin Trio,jazz,,,,,,,,,,,,,
tu,,,Samedi 21,20h,Chope et Compagnie Le Mans Sud,,0 €,c,,Bout de rame,mus. irlandaise,,,,,,,,,,,,,
tu,Salon de musique d’Inde du Nord et Pakistan,,Samedi 21,20h,CPFI,,prix libre,c,,Ustad Ashraf Sharif Khan & Amrat Hussain,sitar et tablas,,,,,,,,,,,,,
tu,,,Samedi 21,21h,Le Zoo,,au chapeau,c,,Math & DIdier,rock blues,,,,,,,,,,,,,
zz,,,Samedi 28,20h,Boire du bon,Saint-Pavace,tnc,c,,Ludovic de Preissac en duo avec David Salesse,jazz,,,,,,,,,,,,,
tu,Circuits #19,kermesse guitare #2,Samedi 28,20h,Brasserie Septante Deux,,prix libre,c,,Dièze + Impro collective,Digressions autour de la guitare,,,,,,,,,,,,,
bl,,,Samedi 28,20h30,L'Austral,Le Mans,au chapeau,c,,Alan Fakeman,skacker pop,,,,,,,,,,,,,
tu,,,Samedi 28,21h,Le Zoo,,au chapeau,c,,Paul & DIdier,rock blues,,,,,,,,,,,,,
tu,,,Samedi 28,21h,Triangle des artistes,Aigné,tnc,c,,Bout de rame,mus. irlandaise,,,,,,,,,,,,,
tu,,,Samedi 7,20h,Blue Zinc,,prix libre,c,,Bl'ock band,rock blues,,,,,,,,,,,,,
