"initiales","festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle1","artiste1","style1","spectacle2","artiste2","style2","spectacle3","artiste3","style3","spectacle4","artiste4","style4","lien1","lien2","lien3","lien4"
"tu",,,"Dimanche 13","hnc","lnc","Joué-l'Abbé","prix libre","c",,"Lola Baï","chanson",,,,,,,,,,,,,
"pl","Ondes Silencieuses #2",,"Dimanche 13","16h30","Théâtre de Chaoué","Allonnes","7 à 12€","c",,"FRANCOIZ BREUT","Chanson/Folk",,,,,,,,,,,,,
"bl",,,"Dimanche 20","19h","L'Austral","Le Mans","prix libre","c",,"Jérôme Normal","hypno rebetiko",,,,,,,,,,,,,
"tu","Open The Gates #2",,"Dimanche 20","17h","Le Pilier Rouge",,"0 €","c",,"Henriette & Les Garçons","chanson décalée",,"The Golden Avenue","duo pop folk",,,,,,,,,,
"at","Soirées joyeuses #2",,"Dimanche 20","18h30","Théâtre de la Bertoche",,"entrée libre résa conseillée","c",,"Anja Loma","chanson libre",,"Solinca","guitare instrumentale",,,,,,,,,,
"tu",,,"Dimanche 27","hnc","lnc","Les Mées","prix libre","c",,"Lola Baï","chanson",,,,,,,,,,,,,
"at",,,"Dimanche 6","15h","Église","Courcival","au chapeau","c",,"Orchestre symphonique du Perche Sarthois","mus. classique",,,,,,,,,,,,,
"tu",,,"Jeudi 10","21h","Brasserie Septante Deux",,"prix libre","c",,"Edda Bel Abysse","Chanson indé / Le Mans",,,,,,,,,,,,,
"tu",,,"Jeudi 10","19h30","Le Pilier Rouge",,"au chapeau","c",,"Antoine & Louise","chanson française ",,,,,,,,,,,,,
"tu",,,"Jeudi 17","20h","Blue Zinc",,"0 €","c",,"Door","noise ambient expe immersif",,,,,,,,,,,,,
"tu","Collectif 3h10",,"Jeudi 17","21h","Brasserie Septante Deux",,"prix libre","c",,"Circuits #20","jazz",,,,,,,,,,,,,
"pl",,,"Jeudi 17","20h30","Les Saulnières ",,"15 à 22€","c",,"Balimaya Project","jazz, rap et afrobeats",,"Alghar","Blues/Jazz",,"Soirée Jazz Tempo","Blues/Jazz",,,,,,,
"pl",,,"Jeudi 17","20h30","Salle Jean Carmet","Allonnes","15 à 20€","c",,"BEN PLG","Pop urbaine/Rap Hip Hop",,"NAYRA",,,,,,,,,,,
"tu",,,"Jeudi 24","20h","Blue Zinc",,"0 €","c",,"wet shirts","rock",,,,,,,,,,,,,
"tu",,,"Jeudi 24","21h","Brasserie Septante Deux",,"prix libre","c",,"Pretty Inside",,,,,,,,,,,,,,
"tu",,,"Jeudi 3","21h","Blue Zinc",,"0 €","c",,"collectif racyne","dj set electro",,,,,,,,,,,,,
"tu","Pint of acousitcs","conf + concert","Jeudi 3","20h","Le Barouf",,"0 €","c",,"Tatiana Paris","guitare préparée et radio k7",,,,,,,,,,,,,
"tu","Orga Cortex",,"Jeudi 3","21h","Le Lézard",,"prix libre","c",,"the 113","post punk/Leeds",,"La velue","post punk/shoegaze/Le Mans",,,,,,,,,,
"tu",,,"Jeudi 3","19h30","Le Pilier Rouge",,"au chapeau","c",,"The kindsirs","rock",,,,,,,,,,,,,
"tu","Les Jeudis de Panurge",,"Jeudi 3","19h","Le Rabelais","Changé","au chapeau","c",,"Twogether","rock",,,,,,,,,,,,,
