initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,,,Mardi 10,18h30,Bibliothèque univeritaire,,0 €,sv,Acoustique & guitare,,conférence concert,,,,,,,,,,,,,
jlb,,,Mardi 10,20h,Bistro Broc Café,Changé,au chapeau,c,,Bruno & Jacky,Scène ouverte,,,,,,,,,,,,,
jlb,,,Mardi 17,20h,Bistro Broc Café,Changé,au chapeau,c,,Paul Bis,,,,,,,,,,,,,,
jlb,,,Mardi 3,20h,Bistro Broc Café,Changé,au chapeau,c,,Du coté de chez Fred,,,,,,,,,,,,,,
jlb,,,Mardi 31,20h,Bistro Broc Café,Changé,au chapeau,c,,,Soirée nouvel an avec Louis,,,,,,,,,,,,,
jlb,,,Mercredi 11,20h,Bistro Broc Café,Changé,au chapeau,c,,Kévin,,,,,,,,,,,,,,
jlb,,,Samedi 14,20h,Bistro Broc Café,Changé,au chapeau,c,Louis,Louis,,,,,,,,,,,,,,
jlb,,,Samedi 21,20h,Bistro Broc Café,Changé,au chapeau,c,,Donoma,,,,,,,,,,,,,,
jlb,,,Samedi 28,20h,Bistro Broc Café,Changé,au chapeau,c,,Paul Sanders,,,,,,,,,,,,,,
jlb,,,Samedi 7,20h,Bistro Broc Café,Changé,au chapeau,c,,Band Acoustik,,,,,,,,,,,,,,
jlb,,,Vendredi 13,20h,Bistro Broc Café,Changé,au chapeau,c,,Marc Fouqué & Nano,,,,,,,,,,,,,,
jlb,,,Vendredi 20,20h,Bistro Broc Café,Changé,au chapeau,c,,Evangeline,,,,,,,,,,,,,,
jlb,,,Vendredi 27,20h,Bistro Broc Café,Changé,au chapeau,c,,Follow the White Rabbit,rock,,,,,,,,,,,,,
jlb,,,Vendredi 6,20h,Bistro Broc Café,Changé,au chapeau,c,,DID,blues,,,,,,,,,,,,,
jlb,,,Mercredi 18,20h,Bistro Broc Café,Changé,au chapeau,sv,,Trio d'en faire Martine Gégé Jil,Soirée Poésie,,,,,,,,,,,,,
ce,,,Jeudi 12,21h,Blue Zinc,,au chapeau,c,,,Musique irlandaise,,,,,,,,,,,,,
ce,Tempo,,Mercredi 11,20h,Blue Zinc,,au chapeau,c,,,scène ouverte + Jam,,,,,,,,,,,,,
ce,,,Vendredi 20,20h30,Blue Zinc,,au chapeau,c,,NAPKINS,pop rock,,,,,,,,,,,,,
ce,,,Dimanche 1,18h,Blue Zinc,,au chapeau,sv,,Le labo du set,humour,,,,,,,,,,,,,
ce,,,Dimanche 15,18h,Blue Zinc,,au chapeau,sv,,Le labo du set,humour,,,,,,,,,,,,,
ce,,,Dimanche 8,18h,Blue Zinc,,au chapeau,sv,,Le labo du set,humour,,,,,,,,,,,,,
zz,,,Dimanche 1,17h,Boire du bon,Saint-Pavace,au chapeau,c,,Marie-José Delvincourt & Alain Moglia,classique piano/violon,,,,,,,,,,,,,
zz,,,Dimanche 15,17h,Boire du bon,Saint-Pavace,au chapeau,c,,Cécile Maisonhaute,classique piano/voix,,,,,,,,,,,,,
zz,,,Dimanche 22,17h,Boire du bon,Saint-Pavace,au chapeau,c,,Deve Golitin,viole de gambe,,,,,,,,,,,,,
zz,,,Dimanche 8,17h,Boire du bon,Saint-Pavace,au chapeau,c,,Sylvie Courtin & olivier Mingam,classique piano/violon,,,,,,,,,,,,,
zz,,,Samedi 14,20h,Boire du bon,Saint-Pavace,0€ (adh) à 15€,c,,Wing,jazz piano voix,,,,,,,,,,,,,
zz,,,Samedi 21,20h,Boire du bon,Saint-Pavace,15 €,c,,Philippe Duchemin & Thimothée Isnard,jazz piano voix,,,,,,,,,,,,,
zz,,,Samedi 28,20h,Boire du bon,Saint-Pavace,15 €,c,,Fabrice Soulsnam chante Noël & Philippe Duchemin,,,,,,,,,,,,,,
tu,,,Jeudi 12,20h30,Brasserie Septante Deux,,prix libre,c,,Jimmy Jam,Session jam,,Azar Azar,,,,,,,,,,,
tu,,,Mercredi 11,20h30,Brasserie Septante Deux,,prix libre,c,,Animalmore,Slacker Solo/Bordeaux,,River Into Lake,Indie Pop/Belgique,,,,,,,,,,
tu,,,Mercredi 4,20h30,Brasserie Septante Deux,,prix libre,c,,LÙLÙ,Power Pop/Lyon  Marseille,,,,,,,,,,,,,
tu,,,Samedi 14,20h30,Brasserie Septante Deux,,prix libre,c,,Farandole,Noise pop/Le Mans,,,,,,,,,,,,,
jlb,,,Mercredi 4,18h,Café Folk,,0 €,sv,Il était une fois l'égalité - Les étudiant.es face au sexisme,Solidarité Femmes 72 et Nous Toutes 72,rencontres & discussions,,,,,,,,,,,,,
