initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Dimanche 12,11h12,Le Bar à Chats,,69€,c,,Snoop Dog,ouaf ouaf,,,,,,,,,,,,,
bl,,,Dimanche 19,15h30,Espace Scélia,Sargé-lès-le-Mans,10 à 13€,c,,Concert d'Orchestre,Sympho'Campus,,,,,,,,,,,,,
zz,,,Dimanche 19,16h,Palais des Congrès,,0€,c,,,Concert des orchestres de la Musique Municipale du Mans,,,,,,,,,,,,,
zz,,,Dimanche 26,17h,Boire du bon,Saint-Pavace,au chapeau,c,,Alix Logiaco,piano solo,,,,,,,,,,,,,
jlb,,,Dimanche 26,17h,Espace Ronsard,Le Lude,6€,sv,Ma Région Virtuose,,concerts,,,,,,,,,,,,,
ce,,,Jeudi 16,21h,Blue Zinc,,au chapeau,c,,,Musique irlandaise,,,,,,,,,,,,,
tu,,,Jeudi 16,20h30,Brasserie Septante Deux,,prix libre,c,,alien tears,Solo Post Punk Cold/Tours,,,,,,,,,,,,,
jlb,,,Jeudi 16,20h,Centre Culturel Athéna,La Ferté-Bernard,8 à 22€,sv,"Gisele Halimi, une farouche liberté",,th.,,,,,,,,,,,,,
zz,La nuit de la lecture,,Jeudi 23,20h30,Bibliothèque universitaire,,0€,c,,Concert musique de chambre,,,,,,,,,,,,,,
ce,,,Jeudi 23,20h - 22h,Blue Zinc,,au chapeau,c,,Bipolar club,rock,,Collectif VMC,DJ set electro,,,,,,,,,,
tu,,,Jeudi 23,20h30,Le Barouf,,0€,c,,pamplemousse,noise rock/La Réunion,,daria,indie rockAngers,,turbo panda,emo punk noise/le Snam,,,,,,,
tu,Garage5,,Jeudi 23,20h30,Le Lézard,,prix libre,c,,Johann Mazé,solo batterie,,,,,,,,,,,,,
zz,,,Jeudi 23,19h,Les Allumés du jazz,,0€,c,,Théo Zipper en concert,3,,,,,,,,,,,,,
pl,Superforma fête ses 10 ans,,Jeudi 23,20h30,Les Saulnières ,,10 à 17€,c,,Irreversible Entanglements,free cosmic jazz,,Kham Meslien Trio,Blues/Jazz,,,,,,,,,,
ce,,,Jeudi 30,20h,Blue Zinc,,au chapeau,c,,Burnin' Rubber,rock,,,Musique irlandaise,,,,,,,,,,
tu,,,Jeudi 30,21h,Le Lézard,,au chapeau,c,,le crapaud et la morue,noise/Rennes,,guest,,,,,,,,,,,
pl,,,Jeudi 30,20h30,Les Saulnières ,,15 à 22€,c,,Astéréotypie,spoken garage,,Grife,Rock,,,,,,,,,,
ce,,,Jeudi 9,21h,Blue Zinc,,au chapeau,c,,Collectif Racyne,DJ set electro,,,,,,,,,,,,,
tu,,,Jeudi 9,20h30,Brasserie Septante Deux,,prix libre,c,,Clarence,"Dream Pop, Shoegaze/Bordeaux",,,,,,,,,,,,,
