initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Dimanche 15,16h,Brasserie Septante Deux,,0 €,sv,Bingo drag queen,,,,,,,,,,,,,,,
jlb,,,Dimanche 15,15h00,Espace du Narais,Saint-Mars-la-Brière,4 à 10 €,sv,Ca Pigeonne chez le Baron,Théâtre du Haut Maine,théâtre,,,,,,,,,,,,,
tu,Théâtre de l'Acthalia,,Dimanche 15,16h,Le Rabelais,Changé,10/18€ Réservations: 06 10 53 38 40 - acthalia@hotmail.fr,sv,Le bouquet,Creation Acthalia,théâtre,,,,,,,,,,,,,
BL,,,Dimanche 22,15h,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/7/10€,sv,Ca pigeonne chez le Baron !,Théatre du Haut Maine,théâtre,,,,,,,,,,,,,
jlb,,,Dimanche 22,16h00,Espace Henri Salvador,Coulaines,12 à 15 €,sv,C'est le Bouquet !,Théâtre l'Acthalia,théâtre,,,,,,,,,,,,,
zz,,,Dimanche 22,15h00,L'Alambik,,au chapeau,sv,Tournoi d'improvisation théâtrale,,théâtre d'impro,,,,,,,,,,résa cons. au 02 43 72 52 52,,,
tu,Théâtre de l'Acthalia,,Dimanche 22,16h,Le Val de Vray,Saint-Saturnin,10/18€ Réservations: 06 10 53 38 40 - acthalia@hotmail.fr,sv,Le bouquet,Creation Acthalia,théâtre,,,,,,,,,,,,,
BL,,,Dimanche 29,17h,Espace Scélia,Sargé-lès-le-Mans,8 / 11€,sv,American Songs,Le Choeur Résonnances,chorale,,,,,,,,,,,,,
jlb,,,Dimanche 29,17h00 ,Le Rabelais,Changé,4 à 10 € reservation : lerabelais.org,sv,La légende de Tsolmon,Cie de 7h10,Saga des steppes dès 6 ans,,,,,,,,,,,,,
tu,,,Dimanche 29,21h,Le Zoo,,au chapeau,c,,Paul & Didier,blues rock,,,,,,,,,,,,,
jlb,,,Dimanche 29,17h30,Théâtre du Passeur,,au chapeau,sv,Rendez-vous Contes,Rozenn Bodin,,,,,,,,,,,,,,
BL,,,Dimanche 29,17h,Théâtre Épidaure,Bouloire,5 à 10€,sv,Orage ô tournage,Amicale du Mekanik Metal Disco,ciné/concert,,,,,,,,,,,,,
at,,,Dimanche 8,16h,Musée de Tessé,,t.n.c résa au 06 10 53 38 40 ,c,,De Dom Juan à Faust,mus. classique,,,,,,,,,,,,,
ce,,,Jeudi 12,21h,Blue Zinc,,au chapeau,sv,Le Set Comedy,,humour,,,,,,,,,,,,,
jlb,,,Jeudi 12,h.n.c,Le Rabelais,Changé,au chapeau,c,,March Mallow,Blues Jazz,,,,,,,,,,,,,
tu,,,Jeudi 12,21h,Le Zoo,,au chapeau,c,,Blues Spirit,jam session,,,,,,,,,,,,,
ce,,,Jeudi 19,21h,Blue Zinc,,au chapeau,c,,Apéro concert,mus.irlandaise,,,,,,,,,,,,,
zz,,,Jeudi 19,20h30,L'Entracte,Sablé-sur-Sarthe,8 à 13€,sv,Coexistence,,incassable,,,,,,,,,,,,,
tu,,,Jeudi 19,20h,Le Pilier Rouge,,0 €,c,,Luis Ferreira,bossa nova,,,,,,,,,,,,,
BL,,,Jeudi 19,20h30,Salle Coppélia,La Flèche,7/15€,sv,Larmes de crocodile,Cie Hors d'oeuvre,théâtre/musique,,,,,,,,,,,,,
ce,,,Jeudi 26,20h,Blue Zinc,,au chapeau,c,,Apéro du quartier & Azuryte,,,,,,,,,,,,,,
tu,K-Pop Power soirée K-Pop,,Jeudi 26,21h,Brasserie Septante Deux,,0 €,c,,"Quizz, blind test, conférence",,,,,,,,,,,,,,
jlb,,,Jeudi 26,18h30 ,Eve scène universitaire,,4 à 10 €,sv,Soeurs,Cie Les Echappés Vifs,théâtre,,,,,,,,,,,,,
jlb,,,Jeudi 26,20h00,l'Athéna,La Ferté-Bernard,8 à 28 €,sv,J'Ai des Doutes,François Morel,théâtre comédie,,,,,,,,,,,,,
zz,,,Jeudi 26,20h,L'Espal,,9 à 24€,sv,Seul ce qui brûle,,théâtre,,,,,,,,,,,,,
tu,,,Samedi 14,21h,Le Zoo,,au chapeau,c,,Jobene,rock,,,,,,,,,,,,,
tu,,,Jeudi 26,21h,Le Zoo,,au chapeau,c,,Thaddei,piano violon voix,,,,,,,,,,,,,
ce,,,Jeudi 5,21h,Blue Zinc,,au chapeau,c,,Zinzinade #1,mus. irlandaise,,,,,,,,,,,,,
tu,Soirée flash tatoos,,Jeudi 5,20h,Brasserie Septante Deux,,0 €,c,,4 tatoueurs x DJ Set,,,,,,,,,,,,,,
tu,,,Jeudi 5,20h,Le Pilier Rouge,,0 €,c,,PIROMMALLI / DUMOULIN / RENOU / LEGALL,jazz,,,,,,,,,,,,,
zz,,,Jeudi 5,20h,Les Quinconces - Grand théâtre,,5 à 10 €,sv,Illusions perdues,,théâtre,,,,,,,,,,,,,
tu,,,Lundi 23,21h,Le Zoo,,au chapeau,c,,Eclipse,reprises pop rock,,,,,,,,,,,,,
jlb,,,Mardi 10,18h00,Espace Henri Salvador,Coulaines,5 à 7 €,sv,Carrément Cube,Cie Hanoumat,Fantaisie de danse et d'objets,,,,,,,,,,,,,
zz,Les Inspirantes,"Festival de danse, théatre",Mardi 10,20h,Les Quinconces - Grand théâtre,,9 à 24€,sv,Queen Blood,,danse,,,,,,,,,,,,,
zz,Les Inspirantes,"Festival de danse, théatre",Mardi 17,20h,L'Espal,,9 à 24€,sv,Girls ans boys,,théâtre,,,,,,,,,,,,,
jlb,,,Mardi 17,18h30,Les Saulnières ,,5 à 10 €,c,,La silencieuse en voyage,musique du monde dès 6 ans,,,,,,,,,,,,,
tu,Théâtre de l'Acthalia,,Mardi 17,20h30,Théâtre Paul Scarron,,10/18€ Réservations: 06 10 53 38 40 - acthalia@hotmail.fr,sv,Le bouquet,Creation Acthalia,théâtre,,,,,,,,,,,,,
jlb,,,Mardi 31,18h00,Espace Henri Salvador,Coulaines,5 à 7 €,sv,Fils'Aile,Cie Robin & Luteau,Choregraphie et musique,,,,,,,,,,,,,
jlb,,,Mardi 31,20h30,La Castélorienne,Montval-sur-Loir,12 à 26 €,sv,Le Roi des Pâquerettes,Atelier Théâtre Actuel,théâtre,,,,,,,,,,,,,
ce,,,Mercredi 11,20h,Blue Zinc,,au chapeau,c,,Apéro Brit Rock,,,,,,,,,,,,,,
zz,Les Inspirantes,"Festival de danse, théatre",Mercredi 11,19h,L'Espal,,9 à 24€,sv,(La bande à) Laura,,danse,,,,,,,,,,,,,
tu,Bande Passante,,Mercredi 11,21h,Le Lézard,,au chapeau,c,,YMNK,pop modulaire,,Polrity,noise rock,,,,,,,,,,
tu,Théâtre de l'Acthalia,,Mercredi 18,20h30,Théâtre Paul Scarron,,10/18€ Réservations: 06 10 53 38 40 - acthalia@hotmail.fr,sv,Le bouquet,Creation Acthalia,théâtre,,,,,,,,,,,,,
ce,,,Mercredi 25,19h30,Blue Zinc,,au chapeau,c,,Apéro chansons,,,,,,,,,,,,,,
jlb,,,Mercredi 25,20h30,Eve scène universitaire,,4 à 10 €,sv,Soeurs,Cie Les Echappés Vifs,théâtre,,,,,,,,,,,,,
ce,,,Mercredi 4,20h,Blue Zinc,,au chapeau,c,,boeuf bal folk,mus. folk / danse,,,,,,,,,,,,,
tu,,,Mercredi 4,21h,Le Zoo,,au chapeau,c,,Jam St Co Musicos,jam session,,,,,,,,,,,,,
zz,,,Mercredi 4,19h,Les Quinconces - Grand théâtre,,5 à 10 €,sv,Illusions perdues,,,,,,,,,,,,,,,
tu,,,Mercredi 4,18h30,Théâtre Paul Scarron,,au chapeau,c,,Eclosion Quintet,espace sonore onirique - poésie & musique improvisée,,,,,,,,,,,,,
tu,La fourche à tigre,,Samedi 14,?,?,Alençon,?,c,,"Peut-être quelque chose mais c'est à Alencon, à confirmer",probablement du rock,,,,,,,,,,,,,
zz,,,Samedi 14,20h30,Bistro Broc Café,Changé,au chapeau,c,,Louis,,,,,,,,,,,,,,
ce,,,Samedi 14,21h,Blue Zinc,,au chapeau,c,,Disco Zinc,House/disco,,,,,,,,,,,,,
at,,,Samedi 14,20h30,La Passerelle,Connerré,5 €,sv,puisqu'on a toujours fait comme ça,Cie Grand Maximum,th.> 10 ans,,,,,,,,,,,,,
zz,,,Samedi 14,20h,Le Barouf,,0 €,c,,Llamame La Muerte + Guest,Noise rock Psyché,,,,,,,,,,,,,
tu,,,Samedi 14,21h,Le Zoo,,au chapeau,c,,Jobene,rock,,,,,,,,,,,,,
zz,La pensée Joyeuse,journée de la pensée joyeuse,Samedi 14,à partir de 9h30,Les Quinconces,,0 €,sv,"théâtre, rencontres, ateliers d'écritures, lectures, dj set, ...",,,,,,,,,,,,,,,
zz,Les Inspirantes,"Festival de danse, théatre",Samedi 14,20h,Les Quinconces - Petit Théâtre,,9 à 24€,sv,L'Araignée,,théâtre,,,,,,,,,,,,,
jlb,,,Samedi 14,18h30 ,Théâtre du Passeur,,8 & 10 €,sv,La Valse,,Valse théâtrale,,,,,,,,,,,,,
zz,,,Samedi 21,20h30,Bistro Broc Café,Changé,au chapeau,c,,Wet Shirts,,,,,,,,,,,,,,
ce,Diverscènes,,Samedi 21,19h,Blue Zinc,,au chapeau,c,,DJ Prosper,,,,,,,,,,,,,,
jlb,La nuit de la lecture,,Samedi 21,18h30 & 20h30,Eve scène universitaire,,4 à 10 €,sv,"Töle , laboratoire poétique",Cie Contr'Pied,Univers sonore et voix,Porte du Soleil,Cie Contr'Pied,Univers Sonore et voix,,,,,,,,,,
tu,,,Samedi 21,20h,Le Lapin Blanc,,0 €,c,,John Maine,rock cover,,,,,,,,,,,,,
tu,Garage 5,,Samedi 21,18h,Le Lézard,,au chapeau,c,,Bonne humeur provisoire,mus. trad. expé néo-futuriste,,,,,,,,,,,,,
jlb,,,Samedi 21,20h30 ,Le Rabelais,Changé,3 à 5 € reservation : lerabelais.org,sv,Faim de Séries # 9,Les Candiratons,Théâtre Impro,,,,,,,,,,,,,
tu,Moth Frequency,,Samedi 21,20h30,Salle Jean Carmet,Allonnes,7 à 13 €,c,,SISTER IODINE,noise/expé,,CHAOS E.T SEXUAL,gangsta doom,,,,,,,,,,
zz,,,Samedi 21,18h,Théâtre de Chaoué,,libre mais 5€ si possible,sv,Michelle doit-on en vouloir d'avoir fait un selfie à Auschwitz,"Cie Piment, Langue d'oiseau",théâtre,,,,,,,,,,,,,
jlb,,,Samedi 21,18h30,Théâtre du Passeur,,au chapeau,sv,Transports de Textes,,lecture texte,,,,,,,,,,,,,
zz,,,Samedi 28,20h30,Bistro Broc Café,Changé,au chapeau,c,,Les Grnads gamins,,,,,,,,,,,,,,
at,,,Samedi 28,20h30 ,L'Envol,La Bazoge,5/10€,c,,Choeur Résonnance,american songs,,,,,,,,,,,https://labazoge.fr/wp-content/Fichiers-mairie/culture/programmation_envol.pdf,,
at,,,Samedi 28,10h30,La Passerelle,Connerré,0 €,c,,Lobo EL & Cotchei,rap/slam/poésie - familial,,,,,,,,,,,,,
zz,,,Samedi 7,20h30,Bistro Broc Café,Changé,au chapeau,c,,Lisa,,,,,,,,,,,,,,
ce,,,Samedi 7,21h,Blue Zinc,,au chapeau,c,,Dj set House/disco,,,,,,,,,,,,,,
zz,La fièvre du samedi matin,,Samedi 7,11h,La Fonderie,,"entrée libre, 0€",c,,Ensemble Offrandes,mus. classique,,,,,,,,,,,,,
tu,,,Samedi 7,21h,Le Zoo,,au chapeau,c,,Straxx,électro,,,,,,,,,,,,,
zz,Les Inspirantes,"Festival de danse, théatre",Samedi 7,17h & 20h30,Les Quinconces - Grand théâtre,,5 à 10 €,sv,Se laisser pousser les animaux,,danse,,,,,,,,,,,,,
BL,,,Samedi 7,10h30,Théâtre de la Halle-au-Blé,La Flèche,4 €,sv,Rêve d'air,Cie La Tortue,conte/musique,,,,,,,,,,,,,
zz,,,Vendredi 13,20h30,Bistro Broc Café,Changé,au chapeau,c,,Myriam Lartigue,Piaf à l'honneur,,,,,,,,,,,,,
ce,,,Vendredi 13,21h,Blue Zinc,,au chapeau,c,,hommage à Ch. Aznavour,,,,,,,,,,,,,,
tu,,,Vendredi 13,21h,Brasserie Septante Deux,,0 €,c,,Collectif Clafoutis ,DJ set,,,,,,,,,,,,,
