"initiales","festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle1","artiste1","style1","spectacle2","artiste2","style2","spectacle3","artiste3","style3","spectacle4","artiste4","style4","lien1","lien2","lien3","lien4"
"zz",,,"Dimanche 19","16h","Bibliothèque","Saint-Georges-le-Gaultier","0€ sur réservation au 0652017393","c",,"Cécile Branche","harpe celtique",,,,,,,,,,,,,
"ce",,,"Dimanche 5","17h","Blue Zinc",,"au chapeau","c",,"Chansons faîtes maison",,,,,,,,,,,,,,
"ce",,,"Jeudi 2","21h","Blue Zinc",,"au chapeau","c",,"musique irlandaise",,,,,,,,,,,,,,
"ce",,,"Jeudi 30","20h","Blue Zinc",,"au chapeau","c",,"Mansion Cellar",,,"Basic Partner","post punk",,,,,,,,,,
"ce",,,"Jeudi 9","21h","Blue Zinc",,"au chapeau","c",,"Zinzinade #4","mus.irlandaise",,,,,,,,,,,,,
"ce","Jazz du mardi",,"Mardi 14","20h","Blue Zinc",,"au chapeau","c",,"Djangoline",,,,,,,,,,,,,,
"ce",,,"Mardi 21","19h30","Blue Zinc",,"au chapeau","c",,"Apéro chansons","reprises",,,,,,,,,,,,,
"ce","Jazz du mardi",,"Mardi 28","20h","Blue Zinc",,"au chapeau","c",,"Hora Verde",,,,,,,,,,,,,,
"ce",,,"Mardi 7","20h","Blue Zinc",,"tnc","c",,"Elèves de Quai de Scène","reprises",,,,,,,,,,,,,
"ce",,,"Mercredi 29","20h","Blue Zinc",,"tnc","c",,"Chorale ARDI ","variété/jazz/ch.trad",,,,,,,,,,,,,
"ce",,,"Mercredi 8","18h30","Blue Zinc",,"tnc","c",,"Kunthea (avant première Karaoke)","pop/hip hop",,,,,,,,,,,,,
"ce",,,"Samedi 11","21h","Blue Zinc",,"au chapeau","c",,"Peaky Blinders Forever","pop/rock",,,,,,,,,,,,,
"ce",,,"Samedi 18","21h","Blue Zinc",,"au chapeau","c",,"Eurodanse","DJ set",,,,,,,,,,,,,
"ce",,,"Samedi 25","21h","Blue Zinc",,"au chapeau","c",,,"DJ set house disco",,,,,,,,,,,,,
"ce",,,"Samedi 4","21h","Blue Zinc",,"au chapeau","c",,"Selectors Delight","DJ Set vinyles",,,,,,,,,,,,,
"ce",,,"Vendredi 10","21h","Blue Zinc",,"au chapeau","c",,"Polar Line","electro/blues/rock",,,,,,,,,,,,,
"ce","St Patrick",,"Vendredi 17","21h","Blue Zinc",,"au chapeau","c",,"Sea's friend","folk",,,,,,,,,,,,,
"ce",,,"Vendredi 24","21h","Blue Zinc",,"au chapeau","c",,"Aron Tansky","Folk rock",,,,,,,,,,,,,
