"Initales 
tapeur","FESTOCHE
EVENEMENT ","STYLE 
FESTOCHE / EVENEMENT ",DATE,HEURE,LIEU,VILLE,PRIX,GENRE,NOM SPECTACLE 1 ( SV ),"COMPAGNIE 1 ( SV ) ou
GROUPE 1 / ARTISTE 1 ( C )","STYLE 
SPECTACLE 1 ( SV ) / CONCERT 1 ( C )",NOM SPECTACLE 2 ( SV ),"COMPAGNIE 2 ( SV ) ou
GROUPE 2 / ARTISTE 2 ( C )","STYLE 
SPECTACLE 2 ( SV ) / CONCERT 2 ( C )",NOM SPECTACLE 3 ( SV ),"COMPAGNIE 3 ( SV ) ou
GROUPE 3 / ARTISTE 3 ( C )","STYLE 
SPECTACLE 3 ( SV ) / CONCERT 3 ( C )",NOM SPECTACLE 4 ( SV ),"COMPAGNIE 4 ( SV ) ou
GROUPE 4 / ARTISTE 4 ( C )","STYLE 
SPECTACLE 4 ( SV ) / CONCERT 4 ( C )",AUTRE,LIEN INTERNET 1,LIEN INTERNET 2,LIEN INTERNET 3,LIEN INTERNET 4
jlb,,,Dimanche 16,17h,Eglise Saint Guingalois,Montval-sur-Loir,7 à 13 €,c,,Coeur departemental de la sarthe polyphonie,Chant,,,,,,,,,,,,,,
jlb,8ème gala d'accordéon,,Dimanche 16,h.n.c,Espace Saugonna,Mamers,résa 0243977494,c,,"Gilou + EMILIO CORFA + SYLBIE NAUGES, etc…",accordéon,,,,,,,,,,,,,,
jlb,,,Dimanche 2,15h30,Église de René,René,t.n.c.,sv,Aubades pour des oiseaux,L'Amusette Baroque,Musique classique,,,,,,,,,,,,,,
jlb,,,Dimanche 2,15h,Espace Saugonna,Mamers,gratuit,c,,Lharmonie au symphonique,,,,,,,,,,,,,,,
tu,Garage 5,,Dimanche 2,17h,Le Pilier Rouge,,prix libre,c,,Rouge gorge,post chanson,,Arielle Tombale,synth pop,,,,,,,,,,,
jlb,Perseigne en fête,,Dimanche 23,14h,Salle Atlantis,Saint-Cosme-en-Vairais,14 €,c,,Les étoiles de Saint Cosme,,,,,,,,,,,,,,,
ce,,,Dimanche 30,20h,Blue Zinc,,tnc,c,,Elèves de Quai de Scène,,,,,,,,,,,,,,,
jlb,,,Dimanche 9,15h,Salle Polyvalente,Mamers,gratuit,c,,Lharmonie au symphonique,,,,,,,,,,,,,,,
jlb,,,Jeudi 13,20h ,Centre Culturel Athéna,La Ferté-Bernard,8 à 17€,c,,le bel canto dans tous ses états,récital lyrique,,,,,,,,,,,,,,
at,,,Jeudi 13,20h30,L'Austral,,prix libre,c,,Dordogne,drone/banjos,,,,,,,,,,,,,,
jlb,Connexions Festival #15,,Jeudi 13,20h30,L’Alambik MJC Ronceray,,6 à 10€,c,,Slkrack + Abena + Kodes,rap,,,,,,,,,,,,,,
tu,,,Jeudi 13,21h,Le Barouf,,0 €,c,,capitan,post rock,,Florent Valéry Solo,tuco crew,,,,,,,,,,,
tu,,,Jeudi 13,20h,Le Lapin Blanc,,0 €,c,,John Maine,rock cover,,,,,,,,,,,,,,
tu,Garage 5,,Jeudi 13,20h30,Le Lézard,,prix libre,c,,Culture émotion,1/2 zouk 1/2 pop,,astreinte,impro poetico-motoriks,,,,,,,,,,,
tu,,,Jeudi 13,20h30,Le Pilier Rouge,,0 €,c,,Syl & Christian d'Asfeld,blues rock soul,,,,,,,,,,,,,,
jlb,Connexions Festival #15,,Jeudi 13,14h30,Les Saulnières ,,4 à 6€,c,,DJ bluff,"boum hip-hop, funk, dancehall, > 6 ans",,,,,,,,,,,,,,
jlb,Superforma,,Jeudi 13,20h30,Les Saulnières ,,10 à 14€,c,,GRADE 2,punk/metal,,SATANIC SURFERS,punk/metal,,,,,,,,,,,
ce,,,Jeudi 20,20h,Blue Zinc,,au chapeau,c,,Apéro american classic ,mus. usa 60's & 70's & mus.irl,,,,,,,,,,,,,,
jlb,,,Jeudi 20,20h30,L'Oasis,,24 à 28€,c,,THE FLYING BRICKS,rock,SKIP THE USE,rock,,,,,,,,,,,,
tu,,,Jeudi 20,20h30,Le Barouf,,0 €,c,,mule jenny,math-rock noise,,,,,,,,,,,,,,
ce,,,Jeudi 27,21h,Blue Zinc,,au chapeau,c,,Leaf,rock,,,,,,,,,,,,,,
tu,,,Jeudi 27,20h30,Le Lézard,,prix libre,c,,Murmansk + guest,punk crust/tours,,,,,,,,,,,,,,
tu,,,Jeudi 27,20h30,Le Pilier Rouge,,0 €,c,,Olivier Leveau duo,jazz,,,,,,,,,,,,,,
ce,,,Jeudi 6,21h,Blue Zinc,,au chapeau,c,,Session de mus. irlandaise,,,,,,,,,,,,,,,
jlb,Superforma,,Jeudi 6,20h ,L'Oasis,,20 à 24€,c,,Meylo,soul trad.,,Patrice,reggae,,,,,,,,,,,
tu,,,Jeudi 6,20h30,Le Lézard,,prix libre,c,,Djinn,oriental fuzz,,Liquid bear,psyché/grunge,,,,,,,,,,,
tu,,,Jeudi 6,20h,Le Pilier Rouge,,0 €,c,,Philippe Duchemin duo,jazz,,,,,,,,,,,,,,
ce,Jazz du mardi,,Mardi 11,20h,Blue Zinc,,au chapeau,c,,Wing,,,,,,,,,,,,,,,
ce,Jazz du mardi,,Mardi 18,20h,Blue Zinc,,au chapeau,c,,Djangoline,,,,,,,,,,,,,,,
tu,,,Mardi 18,18h,Brasserie Septante Deux,,prix libre,c,,Racyne,dj set,,,,,,,,,,,,,,
ce,,,Mardi 25,19h30,Blue Zinc,,au chapeau,c,,Apéro chansons,ch. françaises,,,,,,,,,,,,,,
tu,,,Mardi 25,20h,Brasserie Septante Deux,,prix libre,c,,SAN CAROL + GNOOMES,Kraut-pop/Pop - Angers/Russie,,,,,,,,,,,,,,
tu,Orga Cortex,,Jeudi 20,20h30,Le Lézard,,prix libre,c,,Blues against youth,one man band country rock n'roll/italie,,,,,,,,,,,,,,
tu,,,Mardi 25,20h30,Le Lézard,,prix libre,c,,terror cosmico,stoner doom/mexico,,,,,,,,,,,,,,
ce,Jazz du mardi,,Mardi 4,20h,Blue Zinc,,au chapeau,c,,Syné concert,,,,,,,,,,,,,,,
at,,,Mardi 4,18h30,Théâtre Paul Scarron,,0 €,sv,Animals,Choeur Babel,concert,,,,,,,,,,,,,,
tu,,,Mercredi 12,20h30,Le Lézard,,prix libre,c,,Loins,noise rock/Finlande,,Suif,slowcore/bordeaux,,,,,,,,,,,
jlb,,,Mercredi 12,20h30,Le Rabelais,Changé,4 à 10 € (résa obligatoire),c,,Rajasthan express,,,,,,,,,,,,,,,
at,Circuits #10,,Mercredi 19,20h30,Le Lézard,,prix libre,c,,Cédric Thimon solo,jazz,,Go to the dogs,jazz,,,,,,,,,,,
