initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
at,,,Dimanche 14,16h30,Chapiteau plongeoir,,4/8€,sv,Cuir,Cie un loup pour l'homme,cirque,,,,,,,,,,,,,
jlb,,,Dimanche 14,14h,complexe Atlantis,Saint-Cosme-en-Vairais,gratuit,c,,Musique d'ailleurs,,,,,,,,,,,,,,
bl,,,Dimanche 14,20h30,Espace des Rivauderies,Précigné,7 à 20€,sv,Foutoir Céleste,Cie Cirque Exalté,cirque,,,,,,,,,,,,,
jlb,,,Dimanche 14,15h30,Espace du Narais,Saint-Mars-la-Brière,4 à 10€,sv,La ferme de chias,Cie les chemineux,théâtre,,,,,,,,,,,,,
zz,Les dimanches au kiosque,,Dimanche 14,16h,Jardin des plantes,,0 €,c,,Quai de scène,chanson française,,,,,,,,,,,,,
at,,,Dimanche 14,17h,Le Val’Rhonne,Moncé-en-Belin,5 €,sv,cruda,Collectif A sens unique,cirque,,,,,,,,,,,,,
jlb,,,Dimanche 14,17h,Théâtre du Passeur,,0 €,sv,les grands cahiers,Agota Kristol,Lecture publique,,,,,,,,,,,,,
at,Festival culturel d'Outre-Mer #9,concerts et spectacles,Dimanche 21,11h-18h,Centre des Etangs-Chauds,,0 €,c,,NATANJA,reggae,,SEHYO,zouk,,THYMOTHEY HERELLE ...,,,,,,,,
at,,,Dimanche 21,16h30,Chapiteau plongeoir,,4/8€,sv,Ex Ovo,Cie Le grand Raymond,cirque,,,,,,,,,,,,,
zz,Les dimanches au kiosque,,Dimanche 21,16h,Jardin des plantes,,0 €,c,,Ca part en swing,Musique pour inviter à danser sur les années 20/30,,,,,,,,,,,,,
tu,,,Dimanche 28,17h,Guinguette des Tanneries,,0 €,c,,Sun jazz duo,jazz,,,,,,,,,,,,,
zz,Les dimanches au kiosque,,Dimanche 28,16h,Jardin des plantes,,0 €,c,,Couleur du temps,chanson française des années 50 à 22,,,,,,,,,,,,,
tu,Garage 5,,Dimanche 28,17h,Le Pilier Rouge,,prix libre,c,,BOGUERFÜL,contrebasse patois chanté,,,,,,,,,,,,,
