initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
ce,,,Mercredi 21,17h,Blue Zinc,,0€,c,,,Kids Party (découverte musique electro),,,,,,,,,,,,,
zz,Le Mans Fait son cirque,,Samedi 24,23h,Chapiteau bulle promenade Newton,,0€,c,,Attention le tapis prend feu,pop toy psyché,,,,,,,,,,,,,
at,,,Samedi 3,20h,Chope et Compagnie Le Mans Sud,,0€,c,,RADIANT WANDERERS + BURNIN' RUBBER,rock,,,,,,,,,,,,,
tu,,,Samedi 10,19h,Guinguette de la Gèmerie,,0€,c,,Darkside,pop blues,,,,,,,,,,,,,
tu,,,Samedi 17,19h,Guinguette de la Gèmerie,,0€,c,,Syl and the Blues Spirit,blues,,,,,,,,,,,,,
tu,,,Samedi 24,19h,Guinguette de la Gèmerie,,0€,c,,Onze,reprises pop-rock,,,,,,,,,,,,,
tu,,,Samedi 3,19h,Guinguette de la Gèmerie,,0€,c,,Paul Cowley,blues,,,,,,,,,,,,,
zz,,,Mercredi 21,19h,Guinguette des Tanneries,,0€,c,,Spilova,swing jazz,,,,,,,,,,,,,
zz,,,Samedi 24,19h30,Guinguette des Tanneries,,0€,c,,Début de Bal,bal folk,,,,,,,,,,,,,
zz,,,Vendredi 2,19h30,Guinguette des Tanneries,,0€,c,,Pakalo,pop,,,,,,,,,,,,,
tu,Festival Encore heureux...,,Samedi 3,19h,La Fonderie,,0€,c,,Hotel Bary,DJ Set,,,,,,,,,,,,,
tu,,,Mercredi 21,18h,La ruche,Laigné-en-Belin,0€,c,,Monsieur Léo,concert pour enfants,,Orchestre Harmonique du Belinois,,,Big-band de L'Orée Bercé Belinois,jazz,,,,,,,
zz,,,Mercredi 21,19h,L'Austral,,0€,c,,Cosmose,bossa,,Capitan,post rock,,,,,,,,,,
tu,,,Mercredi 21,16h,Le Barouf,,0€,c,,,Live & dj sets,,,,,,,,,,,,,
