initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
ce,Soirs d'été,,Dimanche 13,15h,Abbaye de l'Épau,,0 €,c,,Trio Kundera,violon/violoncelle/piano,,,,,,,,,,,,,
at,,,Dimanche 13,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,Georges Bûche,folk pop,,,,,,,,,,,,,
at,,,Dimanche 20,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,Burger Airport,jazz fusion funk,,,,,,,,,,,,,
at,Les siestes Teriaki,"concerts, installations, ateliers",Dimanche 27,14h,Abbaye de l'Épau,,0 €,c,,SUNNA margrét,pop élec.,,Why patterns?,jazz minim.,,håla duett,kraut touareg,,ashinoa,rock psyché,,,,
at,,,Dimanche 27,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,Berikely & Zama,musique du monde,,,,,,,,,,,,,
jlb,Soirs d'été,,Dimanche 27,16h,Jardins des plantes,,0 €,c,,Tranzysong,pop rock country,,,,,,,,,,,,,
at,Concerts de l'Épau,,Dimanche 6,15h,Abbaye de l'Épau,,0 €,c,,Duo Garac / Coste,violon/violoncelle,,,,,,,,,,,,,
at,L'Île en été,,Dimanche 9,16h,Île de Moulinsart,Fillé,0 €,c,,Trio ANASTAZÖR,swing manouche,,,,,,,,,,,,,
ce,,,Jeudi 3,18h30,Guinguette des Tanneries,,0 €,c,,Tsigaiska,Jazz manouche,,,,,,,,,,,,,
jlb,soirs d'été,,Jeudi 31,20h,parc de l'épine ,,0 €,c,,Djangoline,Jazz manouche,,,,,,,,,,,,,
jlb,Les mardis de la chanson,,Mardi 1,20h30,Île aux planches,,0 €,c,,Tom Bird,chanson française,,,,,,,,,,,,,
ce,,,Mardi 15,18h30,Guinguette des Tanneries,,0 €,c,,Florent Bordot,Folk,,,,,,,,,,,,,
ce,Soirs d'été,,Mardi 15,20h30,Île aux Planches,,0 €,c,,Slogan,pop,,,,,,,,,,,,,
ce,Soirs d'été,,Mardi 22,20h30,Île aux Planches (pont de fer),,0 €,c,,Fabienne Guyon,Jazz fr.,,,,,,,,,,,,,
jlb,Les mardis de la chanson,,Mardi 29,20h30,Île aux Planches,,0 €,c,,Melvin dans les nuages,chanson française,,,,,,,,,,,,,
jlb,Les mardis de la chanson,,Mardi 8,20h30,Île aux planches,,0 €,c,,Vaslo,chanson française,,,,,,,,,,,,,
tu,,,Mercredi 16,hnc,Grape bar,,0 €,c,,E. Noury (sax) & T. Isnard (chant),jazz swing,,,,,,,,,,,,,
at,,,Samedi 19,20h30,Abbaye de l'Épau,,0 €,c,,Starship groovers,Moov'n'bass,,,,,,,,,,,,,
at,Festival des Tufféeries,,Samedi 19,15h,Plan d'eau,Tuffé Val de la Chéronne,20 €,c,,Keen V,pop,,Les années 80,karaoké,,,,,,,,,,
at,Les siestes Teriaki,"concerts, installations, ateliers",samedi 26,15h,Abbaye de l'Épau,,0 €,c,,Radio hito,ch. italienne,,pointe du lac,krautrock élec.,,heckedpiccioto ,laboratoire indus/us,,Bracco + cédric thimon + etc..,,,,,
jlb,Les heures musicales,,Vendredi 11,17h,Cathédrale Saint-Julien,,0 €,c,,Jean-Luc Thellin,orgue,,,,,,,,,,,,,
tu,,,Vendredi 11,21h30,Chez Marcelle,,0 €,c,,Alkal'1,techno house,,,,,,,,,,,,,
ce,,,Vendredi 11,18h30,Guinguette des Tanneries,,0 €,c,,Sun Jazz,,,,,,,,,,,,,,
jlb,Soirs d'été,,Vendredi 11,18h30,Jardin des plantes,,0 €,c,,Diamond & Ze Kats,soul pop funk,,,,,,,,,,,,,
tu,,,Vendredi 11,21h30,le Café de la Gare,Chenu,au chapeau,c,,Stygmate,rock/Paris,,,,,,,,,,,,,
tu,,,Vendredi 11,20h,Le Lapin Blanc,,0 €,c,,John Maine,rock cover,,,,,,,,,,,,,
jlb,Soirs d'été,,Vendredi 18,20h30,Abbaye de l'Épau,,0 €,c,,Mouv'N Brass,Fanfare Choréraphiée,,,,,,,,,,,,,
jlb,les heures musicales d'été,,Vendredi 18,17h,cathédrale Saint-Julien,,0 €,c,,Boris Bouchevreau,orgue,,,,,,,,,,,,,
tu,,,Vendredi 18,20h,Le Lapin Blanc,,0 €,c,,Manu K,blues,,,,,,,,,,,,,
ce,,,Vendredi 25,18h30,Guinguette des Tanneries,,0 €,c,,Fred Charcot,Jazz manouche,,,,,,,,,,,,,
tu,,,Vendredi 25,20h,Le Lapin Blanc,,0 €,c,,Éli' Jazz,jazz swing,,,,,,,,,,,,,
jlb,Les heures musicales d'été,,Vendredi 4,17h,cathédrale Saint-Julien,,0 €,c,,Mikael Gaborieau,orgue,,,,,,,,,,,,,
tu,,,Vendredi 4,21h30,le Café de la Gare,Chenu,au chapeau,c,,The flug,oberkampf collectif punk,,,,,,,,,,,,,
ce,Soirs d'été,,Mercredi 30,18h30/20h/21h,Parc de l'Épne,,0 €,sv,La Pomme,Cie Eve et Eve,Cirque,,Djangoline,jazz manouche,Le Songe d'une Nuit d'été,La Houlala Cie,th/mus/danse,,,,,,,
tu,XXIe Festival de Musique de Chambre,,Dimanche 13,16h30,Prieuré de Mayanne,Dangeul,25 €,sv,Récital piano,J. Dubé,,,,,,,,,,,,,,
at,L'Île en été,,Dimanche 16,16h,Île de Moulinsart,Fillé,0 €,sv,Marie des Grenouilles,Cie Branle-bas-de-combat,th.,,,,,,,,,,,,,
at,L'Île en été,,Dimanche 2,16h,Île de Moulinsart,Fillé,0 €,sv,Togarimoq,Cie Les Balbutiés,conf. scientifique circassienne,,,,,,,,,,,,,
tu,XXIe Festival de Musique de Chambre,,Dimanche 6,16h30,Prieuré de Mayanne,Dangeul,25 €,sv,Récital piano et chant,B. Eidi (piano) et B. Woh (ténor),,,,,,,,,,,,,,
jlb,Soirs d'été,,Jeudi 10,16h,plaine du Ronceray,,0 €,sv,La guinguette magique,cie du dr troll,magie,Monsieur Jacques,cie cirque au carre et cie de la canaille,théâtre & cirque,La Cuisine,cie mabouldistorsion,duo de clown,,,,,,,
jlb,Soirs d'été,,Jeudi 17,18h30,Maison de l'eau,,0 €,sv,Monsieur Jacques,cie cirque au carré & cie de la canaille,Théâtre et cirque,Zai zai zai zai,col jamais trop tard,burlesque,L'être recommandé,carnage production,théâtre de rue,,,,,,,
tu,XXIe Festival de Musique de Chambre,,Jeudi 20,16h30,Prieuré de Mayanne,Dangeul,25 €,sv,Récital Entre Leipzig et Séville …vers Carmen,"B. Klötgen, F. Natan, S. Karapetyan",,,,,,,,,,,,,,
jlb,Soirs d'été,,Jeudi 24,18h30,Maison pour tous Jean Moulin,,0 €,sv,Ma montagne,cie la baleine cargo,docu fiction et théâtre,"Petit resto, grands cuistos",cie des p'tites patates,clowns,inertie,underclouds cie,cirque,diego & moi,cie cronopos,théâtre musique danse,,,,
jlb,Soirs d'été,,Jeudi 3,18h30,École Camille Claudel,,0 €,sv,Will & Walt,cie preneur de tête,mentalisme,Avec un grand F,cie les gamette,théâtre,L'Avare,le théâtre du zouave,classique revisité,,,,,,,
jlb,soirs d'été,,Jeudi 31,18h30,Parc de l'épine,,0 €,sv,La pomme,cie Eve Eve,cirque,le songe d'une nuit d'été,La houlala cie,théâtre musique danse,,,,,,,,,,
ce,,,Mercredi 23,10h,CPFI (11 rue des Fr.Gréban),,5 à 7€,sv,Contes & Légendes des instruments de musiques,,marionnettes,,,,,,,,,,,,,
