initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
at,,,Dimanche 16,15h,Abbaye de l'Épau,,0 €,c,,Duo Miceli/Abe,duo saxo/piano,,,,,,,,,,,,,
at,,,Dimanche 16,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,The Blue Butter Pot,rock garage,,,,,,,,,,,,,
at,,,Dimanche 2,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,Dirty Old Mat,ch. fr.,,,,,,,,,,,,,
jlb,Dimanches au kiosque,,Dimanche 2,16h,Jardin des plantes,,0 €,c,,union misicale de pontlieue,,,,,,,,,,,,,,
at,Concert de l'Épau,,Dimanche 23,15h,Abbaye de l'Épau,,0 €,c,,Quintet Diablo,mus. Class.,,,,,,,,,,,,,
at,,,Dimanche 23,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,Ton Zinc,"ch. fr., hip-hop",,,,,,,,,,,,,
at,,,Dimanche 30,15h,Abbaye de l'Épau,,0 €,c,,Ensemble Offrandes ,mus. contemporraine,,,,,,,,,,,,,
at,,,Dimanche 30,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,Les Fins de Siècles,néo-trad celtique,,,,,,,,,,,,,
,,,Dimanche 30,hnc,Prieuré de Mayenne,Dangeul,,c,,Olivier Leveau trio,Jazz,,,,,,,,,,,,,
at,,,Dimanche 9,15h,Abbaye de l'Épau,,0 €,c,,7ème académie Offrandes ,mus. contemporraine,,,,,,,,,,,,,
at,,,Dimanche 9,16h30,Domaine du Gasseau ,Saint-Léonard-des-Bois,0 €,c,,wing,jazz,,,,,,,,,,,,,
at,Festival Le son des cuivres #11 ,,Dimanche 9,14h,Espace Saugonna,Mamers,0 €,c,,call me dady,,,Eyo'nle,,,Brass Timber,,,Tours exo brass,,,,,
ce,Blue Dog Festival / Les Electroniques,mus.électro,Dimanche 9,15h,Île aux Planches,,prix libre,c,,Alma Mango,,,HvrleyQveen...,,,,,,,,,,,
jlb ,Dimanche au kiosque,,Dimanche 9,16h,Jardin des plantes,,0 €,sv,Spivola,,jazz,,,,,,,,,,,,,
jlb ,Festival Musica,,Dimanche 9,11h,Parc de Tessé,,0 €,sv,Le Before,,chant lyrique,,,,,,,,,,,,,
jlb ,Festival Musica,,Dimanche 9,19h,Parc de Tessé,,0 €,sv,Thaïs de Jules Massenet,,chant lyrique,,,,,,,,,,,,,
