initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
ce,Dimanches au Kiosque,,Dimanche 10,16h ,Jardin des Plantes,,0 €,c,,,Danses de salon,,,,,,,,,,,,,
zz,Rentrée du Plongeoir,,Dimanche 17,15h30,Chapiteau promenade Newton,,0 €,sv,Le bal de rentrée,Poolidor,,Masacrade,cie Marcel et ses drôles de femmes,voltige aérienne,,,,,,,,,,
ce,Dimanches au Kiosque,,Dimanche 17,16h,Jardin des Plantes,,0 €,c,,Enharmonie ,mus.class.,,,,,,,,,,,,,
zz,Rentrée du Plongeoir,,Dimanche 17,14h30,le jardin du Plongeoir,,0 €,sv,Phusis,Muchmuche Company,"jonglage, land art",,,,,,,,,,,,,
at,,,Dimanche 17,16h et 17h,Les Quinconces,,5 à 10€,sv,Mon grand oncle,Groupe Déjà,théâtre,,,,,,,,,,,,,
at,,,Dimanche 17,11h30,Place des jacobins,,0 €,sv,Le magnifique bon à rien,Cie Chicken street,th. humour,,,,,,,,,,,,,
at,,,Dimanche 17,15h,,Tassé,0 €,sv,Le mystère du joueur de Cornemuse,Cie Les Tombés de la lune,théâtre,,,,,,,,,,,,,
ce,Dimanches au Kiosque,,Dimanche 24,16h,Jardin des Plantes,,0 €,sv,Harmonie des Chemins de fer,,mus.class.,,,,,,,,,,,,,
ce,Entre cours & jardins,,Dimanche 24,10h/11h/12h/14h/15h/16h,Rue des 3 Sonnettes,Le Mans,0 €,sv,Les Variations du Petit Prince,Le Golem,sp.mus.,,,,,,,,,,,,,
zz,,,Dimanche 3,15h30,Église Notre-Dame-de-Sainte-Croix,,prix libre,sv,Cabaret baroque,association Octavius,,,,,,,,,,,,,,
zz,,,Dimanche 3,18h,Guinguette des Tanneries,,au chapeau,c,,Tsigaiska,jazz manouche,,,,,,,,,,,,,
ce,Dimanches au Kiosque,,Dimanche 3,16h,Jardin des Plantes,,0 €,c,,,Quai de Scène,,,,,,,,,,,,,
tu,Open the Gates #1 Le Before,,Dimanche 3,17h,Le Pilier Rouge,,prix libre,c,,Azuryte,folk/pop,,Nanna,pop,,,,,,,,,,
ce,Dansez au Port,bal folk,Dimanche 3,13h-18h,Port du Mans,,0 €,sv,,,,,,,,,,,,,,,,
zz,Rentrée du Plongeoir,,Jeudi 14,14h30 & 19h ,Arrêt saint Martin,,0 €,sv,Floe,Association W,"cirque, danse",,,,,,,,,,,,,
ce,,,Jeudi 14,21h,Blue Zinc,,au chapeau,sv,Le Set Comedy,,humour,,,,,,,,,,,,,
zz,Rentrée du Plongeoir,,Jeudi 14,20h,Chapiteau promenade Newton,,0 €,sv,Lueur,Cirque de la Guirlande,cirque,,,,,,,,,,,,,
tu,,,Jeudi 14,19h,Guinguette de la Gèmerie,Arnage,0 €,c,,,Scène ouverte musicale par l’association Tempo,,,,,,,,,,,,,
jl,,,Jeudi 14,19h30,La Fonderie,,prix libre,sv,Item,François Tanguy & le Théatre du Radeau,th. poétique et cocasse,,,,,,,,,,,,,
ce,,,Jeudi 21,21h30,Blue Zinc,,au chapeau,c,,,Mus. irl. acoustique,,,,,,,,,,,,,
jl,,,Jeudi 21,15h30,La Fonderie,,prix libre,sv,Par Autan,François Tanguy & le Théatre du Radeau,th. poétique et cocasse,,,,,,,,,,,,,
tu,,,Jeudi 21,20h30,Le Lézard,,au chapeau,c,,Eux,screamo/rennes,,Lorne Malvo,screamo/le snam,,,,,,,,,,
tu,,,Jeudi 28,20h,Le Pilier Rouge,,prix libre,c,,Golden,funk groove,,,,,,,,,,,,,
ce,,,Jeudi 7,21h,Blue Zinc,,au chapeau,c,,,Mus. irl. acoustique,,Collectif Racine,DJ set electro,,,,,,,,,,
zz,,,Jeudi 7,18h30,Guinguette des Tanneries,,au chapeau,c,,Duke,pop rock acoustique,,,,,,,,,,,,,
tu,,,Jeudi 7,20h,Le Pilier Rouge,,prix libre,c,,Grisby,soul funk groove,,,,,,,,,,,,,
