initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
bl,,,Dimanche 10,16h,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,5 €,c,,Orchestre Symphonique du Mans,mus. municipale du Mans,,,,,,,,,,,,,
zz,,,Dimanche 10,17h,L'Etoile du nord,Le Mans,au chapeau,c,,Luc Arhlo,chanson d'humour & d'humeur,,,,,,,,,,,,,
jlb,,,Dimanche 17,17h,Église Saint Nicolas,Coulaines,au chapeau,c,,,Concert de Noël,,,,,,,,,,,,,
jlb,,,Dimanche 17,15h30,Espace Le Narais,Saint-Mars-la-Brière,4 à 10 €,c,,Diakamos,musique grecque et turc,,,,,,,,,,,,,
tu,,,Dimanche 17,17h37,Le Pilier Rouge,,prix libre,c,,DID & MAT MATHIS,blues & folk,,,,,,,,,,,,,
tu,,,Jeudi 14,21h,Grape Bar,,0 €,c,,Timothée Isnard & Elie Nourry,jazz swing bossa,,,,,,,,,,,,,
tu,,,Jeudi 14,21h12,Le Lézard,,au chapeau,c,,Serge Lama reprend Metallica,spectacle équestre,,,,,,,,,,,,,
ce,,,Jeudi 21,21h,Blue Zinc,,au chapeau,c,,,musique acoustique irlandaise,,,,,,,,,,,,,
bl,,,Jeudi 21,20h30,Salle Coppélia,La Flèche,7 à 20€,c,,Monte-Cristo,récit musical,Cie La Volige,,,,,,,,,,,,
ce,,,Jeudi 7,21h,Blue Zinc,,au chapeau,c,,,mus. acoustique irlandaise,,,,,,,,,,,,,
jlb,,,Jeudi 7,20h30,La Castélorienne,Montval-sur-Loir,12 à 28 €,sv,C'st lalamour,Les divalala,trio vocal,,,,,,,,,,,,,
tu,,,Jeudi 7,19h,La Chicane,,0 €,c,,Jammes & Bekraoui Jazz Duo,"guitare, trompette",,,,,,,,,,,,,
tu,Pint of science,conférence + concert,Jeudi 7,21h,Le Barouf,,0 €,c,,duo Sandra Caroll Mat Mathis,rock pop,,,,,,,,,,,,,
tu,,,Jeudi 7,21h,Le Lézard,,au chapeau,c,,Fantôme Josepha,duo ghost wave,,Cedric Thimon,soufflé/electro assisté,,,,,,,,,,
pl,Superforma,,Jeudi 7,20h30,Les Saulnières ,,13 à 20€,c,,Matthis Pascaud et Hugh Coltman,"Blues, Jazz",,Aymeric Maini,,,,,,,,,,,
zz,,,Mardi 19,20h30,Église Saint Gilles,Arnage,"0€, résa obligatoire à l'EEA Django Reinhardt",c,,,Concert de Noël,,,,,,,,,,,,,
jlb,,,Mardi 19,20h30,La Castélorienne,Montval-sur-Loir,7 à 14 €,sv,,,Carte blanche a Renzo Mayda (jazz),,,,,,,,,,,,,
ce,,,Mercredi 13,20h30,Blue Zinc,,au chapeau,c,,Itemm Gang,Concert + Jam (cuivres+cordes),,,,,,,,,,,,,
tu,Festival La Mandibule,,Mercredi 13,hnc,Eve scène universitaire,,0 €,c,,BIG BAND DE L'UNIV.,jazz,,bloom,indie rock,,dj set,,,,,,,,
ce,,,Mercredi 20,19h30,Blue Zinc,,au chapeau,c,,,Apéro Chansons (scène ouverte),,,,,,,,,,,,,
zz,,,Mercredi 20,20h30,Salle des concerts,,0 €,sv,Chorale de Noël,Elèves du consevatoire,,,,,,,,,,,,,,
ce,,,Mercredi 6,20h,Blue Zinc,,au chapeau,c,,,Boeuf Bal Folk (concert + danse),,,,,,,,,,,,,
tu,,,Mercredi 6,20h30,Brasserie Septante Deux,,0 €,c,,Whoman,indie Pop/Bruxelles,We’ve been here before,folk/angers,,,,,,,,,,,
