initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
"tu",,,"Dimanche 25","18h30","Le Pilier Rouge",,"au chapeau","c",,"FANNY MARCON + EDDA BEL ABYSSE","Incantations sonores Hypnotiques",,,,,,,,,,,,,,
"zz",,,"Dimanche 4","14h","Musée de Tessé",,0 €,"c",,"ballade musicale","élèves du conservatoire",,,,,,,,,,,,,,
"ce",,,"Jeudi 1","21h","Blue Zinc",,"au chapeau","c",,,"mus. irlandaise acoustique",,,,,,,,,,,,,,
"tu","Finale du Tremplin Éclosion","concours rap/hip-hop","Jeudi 1","19h","Le Barouf",,0 €,"c",,"Open mic by Hunterz ",,,,,,,,,,,,,,,
"ba","Scène ouverte toutes disciplines du lundi au jeudi 17h, du vendredi au dimanche 20h",,"Jeudi 1","17H-23h","Le Café de la Gare","Chenu",0 €,"c",,,,,,,,,,,,,,,,,
"ce","Le Mans Afterwork",,"Jeudi 1","19h","Le Local a Bières",,"tnc","c",,"Rowena & Annabelle","dj set",,"LVK","DJ",,,,,,,,,,,
"ce",,,"Jeudi 15","21h","Blue Zinc",,"au chapeau","c",,,"Musique irlandaise acoustique",,,,,,,,,,,,,,
"tu",,,"Jeudi 15","20h30","Brasserie Septante Deux",,"prix libre","c",,"Jim Ballon","psych pop/tours",,,,,,,,,,,,,,
"tu","Orga cortex",,"Jeudi 15","21h","Le Lézard",,"prix libre","c",,"POLEVAULTER","duo noise punk/UK",,,,,,,,,,,"https://www.youtube.com/watch?v=3fKMpEVQgVM",,,
"tu","Superforma",,"Jeudi 15","20h30","Les Saulnières ",,6 €,"c",,"Molto Morbidi","alt pop",,"MACHINE ET MOI","trap pop",,,,,,,,"https://superforma.fr/agenda/molto-morbidi-machine-moi-double-release-party?fbclid=IwAR1YxJTbWZUc68xiL_AMO3oXKbBBPmzf5rxJjj1Puy1Eh1TSBZfSTs6mMAo",,,
"tu",,,"Jeudi 22","19h","Brasserie Septante Deux",,"prix libre","c",,"Dan beyond the clouds","alt folk + Flash tattoo Nuit des temps",,,,,,,,,,,,,,
"jlb",,,"Jeudi 22","20h30","La Castélorienne","Montval-sur-Loir","7 à 14€","c",,"Tarmac Rodéo d'Angers","swing, dixieland, rock, jazz punk",,,,,,,,,,,,,,
"tu","Superforma",,"Jeudi 22","20h30","Les Saulnières ",,"0 à 13 €","c",,"ISHKERO","jazz rock",,"LÉON PHAL","jazz",,,,,,,,,,,
"tu","Soirée Electric campus",,"Jeudi 8","20h30","Brasserie Septante Deux",,"prix libre","c",,"Sept ","pop/soul",,"Wuu Jia","Rap old School",,"Bétïses","Hard Techno/ Trance",,"Hiddentitie ","hard techno",,,,,
"tu",,,"Jeudi 8","19h","La Chicane",,"tnc","c",,"SOLINCA & Anja Loma","folk et guitare",,,,,,,,,,,,,,
"tu","Pint Of Science","Conférence + Concert","Jeudi 8","20h","Le Barouf",,0 €,"c",,,,,,,,,,,,,,,,,
"tu","Garage5",,"Jeudi 8","21h","Le Lézard",,"prix libre","c",,"Guilhem All","Turnabilist",,"Le diable dégoutant","transe médiévale",,,,,,,,,,,
"tu","Les Jeudis de Panurge",,"Jeudi 8","19h","Le Rabelais","Changé",0 €,"c",,"Leather Wings","glam rock",,,,,,,,,,,,,,
"tu","Audition iNOUïS du Printemps de Bourges",,"Jeudi 8","19h30","Les Saulnières ",,"0€ sur résa","c",,"BASIC PARTNER","alt rock",,"hyper jacuzzi","acid tech instrumental",,"ÎLE DE GARDE + PAULVITESSE! + TREAKS",,,"NOUVEAU MONICA","électro",,"https://superforma.fr/agenda/auditions-pays-de-la-loire-des-inouis-du-printemps-de-bourges-2024?fbclid=IwAR0W8XbTvs2DhUt94gXSGY5CwFFlprNTD5bUzpk98Z9g4kIRo4sCHSzBnfA",,,
"tu",,,"Mardi 27","20h","Le Barouf",,0 €,"c",,"Edda Bel Abysse + guest","synth pop",,,,,,,,,,,,,,
"zz",,,"Mardi 27","20h30","Le Pâtis",,"tnc","c",,,"Jam par l'INM",,,,,,,,,,,,,,
"bl","Festival Malices au Pays du Loir",,"Mardi 27","10h30 & 15h","Salle Coppélia","La Flèche",4 €,"c",,"L'ogre en papier","Ben Herbert Larue","chanson à grande bouche pour petites oreilles",,,,,,,,,,,,,
"tu","Superforma",,"Mardi 6","18h30","Les Saulnières ",,"6 à 11 €","c",,"la fontaine unplugged","chanson",,,,,,,,,,,,,,
"tu","Garage5",,"Mercredi 14","20h30","Le Lézard",,"prix libre","c",,"Tzii","vapor dub",,"Catherine Danger","triphop dub",,,,,,,,,,,
"ce","Association Tempo",,"Mercredi 21","20h","Blue Zinc",,"au chapeau","c",,,"Scène ouverte + Jam",,,,,,,,,,,,,,
"tu",,,"Mercredi 21","21h","Le Lézard",,0 €,"c",,"Sergueï spoutnik","électro/le mans",,"apollo noir","électro/Auvergne",,,,,,,,,,,
"ce",,,"Mercredi 28","19h30","Blue Zinc",,"au chapeau","c",,,"Apéro Chansons (Scène ouverte)",,,,,,,,,,,,,,
"ce",,,"Mercredi 7","20h","Blue Zinc",,"au chapeau","c",,,"Boeuf Bal Folk (danse & concert)",,,,,,,,,,,,,,
"tu",,,"Mercredi 7","21h","Le Zoo",,"au chapeau","c",,"Jam St Co Musicos","jam session",,,,,,,,,,,,,,
"zz",,,"Samedi 10","20h","Boire du bon","Saint-Pavace",10 €,"c",,"Alba haca duo","jazz",,,,,,,,,,,,,,
"ba",,,"Samedi 10","14h","Eve scène universitaire","Le Mans",0 €,"c",,"Sympho'Campus","Orchestre symphonique de l'université",,,,,,,,,,,,,,
"tu","Superforma",,"Samedi 10","20h","L'Oasis",,"20 à 24 €","c",,"tsew the kid","pop rap",,"LAPOSTROZ","rap",,,,,,,,"https://superforma.fr/agenda/tsew-kid-lapostroz",,,
"jlb","Festival diverscènes / Pirate Party",,"Samedi 10","20h00","La piraterie",,"tnc","c",,"DJ Prosper","musique",,,,,,,,,,,,,,
"tu",,,"Samedi 10","21h","Le Guet à Pintes",,0 €,"c",,"C4","punk rock",,,,,,,,,,,,,,
"tu",,,"Samedi 10","21h","Le Zoo",,"au chapeau","c",,"Bonhome Tétard","ch. fr.",,,,,,,,,,,,,,
"zz",,,"Samedi 10","19h","Restaurant l'Eternel","La Fontaine-Saint-Martin",0 €,"c",,"Ernesto Molrallès Trio","chansons swing",,,,,,,,,,,,,,
"pl","Superforma",,"Samedi 10","20h30","Théâtre de Chaoué","Allonnes","6€ à 13 €","c",,"Bruit noir","spoken post rock",,"Gontard","spoken rock",,,,,,,,"https://superforma.fr/agenda/bruit-noir-gontard",,,
"jlb",,,"Samedi 17","20h","Bistro Broc Café","Changé",0 €,"c",,"Trio Vannier","chanson française, folk avec des teintes de blues et de jazz.",,"Grisbyband","soul funk",,,,,,,,,,,
"zz",,,"Samedi 17","20h","Boire du bon","Saint-Pavace",15 €,"c",,"In time trio","jazz",,,,,,,,,,,,,,
"tu",,,"Samedi 17","20h30","Espace Le Narais","Saint-Mars-la-Brière","4 à 10€","c",,"début de bal","trio vocal",,"poolidor","hypno-trad électro",,,,,,,,,,,
"tu","Superforma",,"Samedi 17","20h30","L'Alambik MJC Ronceray",,"8 à 13 €","c",,"8°6 CREW","ska redskin reggae",,"DIRTY OLD MAT","ch.punk",,,,,,,,,,,
"bl",,,"Samedi 17","20h30","L'Entracte","Sablé-sur-Sarthe","38 à 42€","c",,"Goldmen","musique",,,,,,,,,,,,,,
"tu",,,"Samedi 17","21h","Le Zoo",,"au chapeau","c",,"Mat Mathis & Didier","rock blues",,,,,,,,,,,,,,
"zz",,,"Samedi 17","20h","Salle Polyvalente","Brette-les-Pins",9 €,"c",,"war heroes","tribute to jimi hendrix",,"brains connection","électro libre",,,,,,,,,,,
"ce","Orga Cooking Chaos",,"Samedi 24","21h","Blue Zinc",,"au chapeau","c",,"Arhios + Among tides","rock altrumental",,,,,,,,,,,,,,
"zz",,,"Samedi 24","20h","Boire du bon","Saint-Pavace",10 €,"c",,"Stan Lafférière & Nicolas Rousserie","jazz",,,,,,,,,,,,,,
"tu",,,"Samedi 24","20h30","Brasserie Septante Deux",,"prix libre","c",,"Pierre Gisèle","Pop en Français/Bordeaux",,,,,,,,,,,,,,
"tu",,,"Samedi 24","21h","Le Barouf",,0 €,"c",,"only wax #38 feat dj moar","hip hop , funk , Soul",,"La Carotte & Dj Vince","urban dj set",,,,,,,,,,,
"tu",,,"Samedi 24","21h","Le Zoo",,"au chapeau","c",,"Matt Olmek","vinyle techno",,,,,,,,,,,,,,
"zz",,,"Samedi 3","20h","Boire du bon","Saint-Pavace",15 €,"c",,"Trio Pilippe Duchemin/Patricia Lebeugle/Nicolas Peslier","jazz",,,,,,,,,,,,,,
"tu",,,"Samedi 3","21h","Le Zoo",,"au chapeau","c",,"Début de Bal","trio vocal",,,,,,,,,,,,,,
"ba",,,"Vendredi 16","19h30","Bar l'Olivier","Le Mans",0 €,"c",,"Sandra Caroll & Mat Mathis","Musique Blues,Soul,Gospel",,,,,,,,,,,,,,
"ce",,,"Vendredi 16","21h","Blue Zinc",,"au chapeau","c",,"Run Ronnie Run","rock",,,,,,,,,,,,,,
"tu","Soirée Aspects","House, ̥Techno, ̥Djing","Vendredi 16","18h-6h","Hall d'Antarès",,"12€ prévente, 16€ s. place","c",,"didier allyne","rex club/paris",,"atemi","days/Abstrack/nantes",,"karine","closer/berlin/kiev",,"paco vs gio, anilan, etc..",,,,,,
"zz",,,"Vendredi 16","20h30","L’Éolienne","Arnage","7 à 14€","c",,"Thomas Kahn","soul",,,,,,,,,,,,,,
"tu",,,"Vendredi 16","21h","Le Zoo",,"au chapeau","c",,"Etienne tout seul","ch. fr.",,,,,,,,,,,,,,
"tu","Superforma",,"Vendredi 16","20h30","Théâtre de Chaoué","Allonnes","6 à 13 €","c",,"glauque + drache","indie rap",,,,,,,,,,,"https://superforma.fr/agenda/glauque-drache",,,
"ce",,,"Vendredi 2","21h","Blue Zinc",,"au chapeau","c",,"Angle Mort","rock",,,,,,,,,,,,,,
"tu","Collectif Clair x BSD","Exposition + Live Machine","Vendredi 2","19h","Brasserie Septante Deux",,"prix libre","c",,"KØNY ","Concert Industriel Électromagnétique",,"WONANG ","Drum&Bass Expérimental",,"HNO3","Performance Sonore",,,,,,,,
"ba",,,"Vendredi 2","20h","Centre Culturel Athéna","La Ferté-Bernard","17€/14€/8€","sv","Mokaiesh chante Moustaki","Le temps de vivre","musique",,,,,,,,,,,,,,
"tu",,,"Vendredi 2","21h","Chez Marcelle",,0 €,"c",,"olmek","vinyle",,,,,,,,,,,,,,
