initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
bl,La Chapelle fait son festival,,Dimanche 14,16h,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4 à 10€,c,,Jive Me,electro pop,,,,,,,,,,,,,
zz,,,Dimanche 14,17h,Espace Saugonna,Mamers,0€,c,,orchestre d'harmonie de la sarthe,,,école de musique Maine Saosnois,,,,,,,,,,,
jlb,Rencontres Musicales,,Dimanche 14,16h,Musée de Tessé,,10 à 18€,sv,Le voyage d'hiver Schubert,,classique,,,,,,,,,,,,,
tu,,,Jeudi 11,21h,Le Barouf,,0€,c,,THE SELENITES BAND,"Ethio-groove, Kraütrock, Afrodelic",,,,,,,,,,,,,
tu,,,Jeudi 11,20h,Le Pilier Rouge,,au chapeau,c,,Funky Miracle Organisé Trio,"Groove, soul, Funk",,,,,,,,,,,,,
ce,,,Jeudi 18,21h,Blue Zinc,,au chapeau,c,,Collectif Racyne,DJ set electro,,,,,,,,,,,,,
tu,,,Jeudi 18,19h,La Chicane,,0€,c,,Astrid Veigne & Christian d'Asfeld,piano voix jazz-soul,,,,,,,,,,,,,
tu,,,Jeudi 18,21h,Le Barouf,,0€,c,,BRÖTCHEN DES TODES,(psychedelic noïse rock,,damian g even,dark folk,,,,,,,,,,
tu,,,Jeudi 18,21h,Le Zoo,,au chapeau,c,,groupe surprise,,,,,,,,,,,,,,
pl,Superforma,,Jeudi 18,20h30,Salle Jean Carmet,Allonnes,11 à 15€,c,,Gwendoline,Rock,,Hyperculte,,,,,,,,,,,
ce,,,Jeudi 25,21h,Blue Zinc,,au chapeau,c,,,mus.irlandaise acoustique,,,,,,,,,,,,,
tu,Garage5,,Jeudi 25,22h,Le Lézard,,prix libre,c,,PIZZA NOISE MAFIA,electro acide,,arno bruil,techno dancefloor,,,,,,,,,,
tu,,,Jeudi 25,20h,Le Pilier Rouge,,au chapeau,c,,Azuryte,pure live electro-folk,,,,,,,,,,,,,
ce,,,Jeudi 4,21h,Blue Zinc,,au chapeau,c,,,mus.irlandaise acoustique,,,,,,,,,,,,,
tu,,,Jeudi 4,19h,La Chicane,,0€,c,,Capeba,jazz cap-vert,,,,,,,,,,,,,
tu,,,Jeudi 4,21h,Le Barouf,,0€,c,,Hamasaari ,post prog,,,,,,,,,,,,,
tu,,,Jeudi 4,20h,Le Pilier Rouge,,au chapeau,c,,Heidi,folk,,,,,,,,,,,,,
pl,,Superforma,Jeudi 4,20h30,Salle Jean Carmet,Allonnes,9€à16€,c,,Frustration,punk,,The Big Idea,rock,,,,,,,,,,
jlb,,,Mardi 16,19h30,Bistro Broc Café,Changé,au chapeau,c,,Elektrik frogs,,,,,,,,,,,,,,
jlb,,,Mardi 2,19h30,Bistro Broc Café,Changé,au chapeau,c,,Did,Scène ouverte Pop Rock Blues,,,,,,,,,,,,,
jlb,,,Mardi 30,19h30,Bistro Broc Café,Changé,au chapeau,c,,"Frédéric, Véro & Kevin",,,,,,,,,,,,,,
zz,,,Mardi 9,20h,Chapelle de l’Oratoire,,0€,c,,orchestre symphonique du conservatoire,,,,,,,,,,,,,,
jlb,,,Mardi 9,20h,La Castélorienne,Montval-sur-Loir,Soirée Abonné,sv,Autour de Purcell,,,,,,,,,,,,,,,
bl,,,Mardi 9,20h30,Théâtre de la Halle-au-Blé,La Flèche,7 à 20€,sv,Profession Ténor,,Opéra concert - rencontre,,,,,,,,,,,,,
jlb,,,Mercredi 10,19h30,Bistro Broc Café,Changé,au chapeau,c,,DOREMI,,,,,,,,,,,,,,
jlb,,,Mercredi 17,19h30,Bistro Broc Café,Changé,au chapeau,c,,Louis,,,,,,,,,,,,,,
ce,Tempo,scène ouverte + JAM,Mercredi 17,20h,Blue Zinc,,au chapeau,c,,,,,,,,,,,,,,,,
zz,,,Mercredi 17,18h,Chapelle de l’Oratoire,,0€,sv,Autour de Gerardo Tamez,élèves du conservatoire,,,,,,,,,,,,,,
zz,,,Mercredi 17,19h,Salle des concerts,,0€,c,"voyage, paysages et cinéma",alto violon et harpe duconservatoire,,,,,,,,,,,,,,
jlb,,,Mercredi 24,19h30,Bistro Broc Café,Changé,au chapeau,c,,GTB Music,,,,,,,,,,,,,,
ce,Apéro Chansons,,Mercredi 24,19h30,Blue Zinc,,au chapeau,c,,,scène ouverte  ,,,,,,,,,,,,,
ce,Boeuf Bal Folk,,Mercredi 3,20h,Blue Zinc,,au chapeau,c,,,danse et concert,,,,,,,,,,,,,
zz,,,Mercredi 3,17h,Médiatèque Aragon,,0€,c,,Guitare et violon du conservatoire,,,,,,,,,,,,,,
jlb,,,Samedi 13,20h,Bistro Broc Café,Changé,au chapeau,c,,Louis,,,,,,,,,,,,,,
ce,,,Samedi 13,21h,Blue Zinc,,au chapeau,c,,Selector's Delight,DJ set funk/soul/reggae,,,,,,,,,,,,,
zz,,,Samedi 13,20h,Boire du bon,Saint-Pavace,15€,c,,JP Derourad invite : swingin' Bayonne,jazz,,,,,,,,,,,,,
tu,,,Samedi 13,21h,Brasserie Septante Deux,,0€,c,,karaoklm,Karaoké live,,,,,,,,,,,,,
zz,Rock'n'Cavern #2024,,Samedi 13,19h,Cave municipale,Vouvray sur Loir,5€,c,,lachage vocal du Brass'vie,chorale,,Les saints ans sinners,irish rock folk punk,,D-Track,punk'n'Slap,,DJ pRoot système,,,,,
zz,Final tremplin Vocal'Mans,,Samedi 13,20h,L’Éolienne,Arnage,5€,c,,,,,,,,,,,,,,,,
tu,Les Balades de Chico ,,Samedi 13,16h30,Salle des fêtes,Neuvillalais,tnc,c,,BOUT DE RAME,mus. irlandaise,,,,,,,,,,,,,
jlb,,,Samedi 20,20h,Bistro Broc Café,Changé,au chapeau,c,,Bout de rame,mus. irlandaise,,,,,,,,,,,,,
zz,,,Samedi 20,20h,Boire du bon,Saint-Pavace,15€,c,,Pierre Le Bot Trio,jazz,,,,,,,,,,,,,
tu,,,Samedi 20,20h,Le Lapin Blanc,,0€,c,,Alan,guitare voix acoustique,,,,,,,,,,,,,
tu,,,Samedi 20,21h,Le Lézard,,au chapeau,c,,Grøund ,post hardcore,,Lorne Malvo,screamo/le mans,,,,,,,,,,
tu,,,Samedi 20,21h,Le Zoo,,au chapeau,c,,Paul & Didier,rock blues,,,,,,,,,,,,,
zz,,,Samedi 20,16h,Musée JC Boulard,,0€,sv,Tout va bien se passer,guitare du conservatoire,,,,,,,,,,,,,,
jlb,,,Samedi 20,14h,Salle Atlantis,Saint-Cosme-en-Vairais,14€,c,,Les étoiles de Saint Cosme,Chanson française,,,,,,,,,,,,,
zz,,,Samedi 20,20h30,Salle G. Brassens,Yvré-l'Évêque,6 à 8€,c,,Soirée du jazz manouche,,,,,,,,,,,,,,
jlb,,,Samedi 27,20h,Bistro Broc Café,Changé,au chapeau,c,,Paul Tranzysong,,,,,,,,,,,,,,
ce,,,Samedi 27,20h30,Blue Zinc,,au chapeau,c,,DUSTY ROAD,,,THE CHRIS ROLLING SQUAD,métal,,,,,,,,,,
zz,,,Samedi 27,20h,Boire du bon,Saint-Pavace,15€,c,,Deepin' Organ avec olivier Leveau/Aristide d'Agostino/Dominique Métais,jazz,,,,,,,,,,,,,
zz,,,Samedi 27,19h,Guinguette des Tanneries,,0€,c,,Jojoba,reggae world,,,,,,,,,,,,,
tu,,,Samedi 27,20h,Le Lapin Blanc,,0€,c,,du vent dans les cordes,jazz,,,,,,,,,,,,,
jlb,,,Samedi 6,14h,Bar la Rotonde,Mamers,inc,c,,,Session Irlandaise,,,,,,,,,,,,,
jlb,,,Samedi 6,21h,Bistro Broc Café,Changé,au chapeau,c,,Stolen,Musique anglophone,,,,,,,,,,,,,
ce,,,Samedi 6,20h30,Blue Zinc,,au chapeau,c,,BL'OCK BAND,rock blues,,,,,,,,,,,,,
zz,,,Samedi 6,20h,Boire du bon,Saint-Pavace,15€,c,,Play staion (trompette),jazz,,,,,,,,,,,,,
tu,Salon de musique du monde,,Samedi 6,20h,CPFI,,prix libre,c,,BALDANDORJ AVIRMED,musique tuuli/mongolie,,,,,,,,,,,,,
zz,La fièvre du samedi matin,,Samedi 6,11h,La Fonderie,,0€,sv,Mémoire vive,Ensemble Offrandes,mus. classique,,,,,,,,,,,,,
bl,,,Samedi 6,20h30,L'Austral,Le Mans,prix libre,c,,Nick Wheeldon,folk,,,,,,,,,,,,,
tu,Connexions Festival,,Samedi 6,20h,Le Barouf,,0€,c,,OPEN MIC by hunterz,,,dj vince,soul funk hiphop,,,,,,,,,,
jlb,,,Samedi 6,20h30,Le Rabelais,,14 à 18€,c,,Barrut,Polyphonie,,,,,,,,,,,,,
tu,,,Samedi 6,21h,Le Zoo,,au chapeau,c,,Nano & Joelle,reprise des doors,,,,,,,,,,,,,
zz,,,Samedi 6,11h,Musée de Tessé,,0€,c,,cuivre junior du conservatoire,,,,,,,,,,,,,,
zz,,,Samedi 6,20h30,Salle G. Brassens,Yvré-l'Évêque,6 à 8€,c,,orchestre d'harmonie de la sarthe,,,ecole de musique d'Yvré l'Evêque,,,,,,,,,,,
pl,Soirée No Data #7 par Teriaki,,Samedi 6,20h30,Salle Jean Carmet,Allonnes,10 à 14€,c,,Gablé,bricolo pop,,heimat,post wave,,bothlane,solo drum & synthés,,,,,,,
zz,,,Samedi 6,19h,warehouse pub,Écommoy,0€,c,,Duc de berne,,,servietsky,deep house live/mix machines,,,,,,,,,,
jlb,,,Vendredi 12,20h,Bistro Broc Café,Changé,au chapeau,c,,Dernier Cri,,,,,,,,,,,,,,
ce,Zeco Festival,Soirée de soutien ,Vendredi 12,20h,Blue Zinc,,au chapeau,c,,,concert + DJ set,,,,,,,,,,,,,
tu,,,Vendredi 12,21h,Chez Marcelle,,0€,c,,bunzen,house ukg breakbeat techno,,,,,,,,,,,,,
tu,,,Vendredi 12,21h30,Le Barouf,,0€,c,,food fight,power pop punk/Rennes,,,,,,,,,,,,,
tu,Moth Frequency les 5 ans,,Vendredi 12,20h30,Le Lézard,,prix libre,c,,Zelöt,black metal,,KRV,raw black metal,,Cerbère ,sludge/doom,,,,,,,
tu,,,Vendredi 12,21h,Le Zoo,,au chapeau,c,,Azuryte,pure live electro-folk,,,,,,,,,,,,,
jlb,,,Vendredi 12,20h30,Salle Atlantis,Saint-Cosme-en-Vairais,6 à 12€,c,,Myriad Big Band,Jazz,,,,,,,,,,,,,
pl,Connexions Festival,,Vendredi 12,20h30,Salle Jean Carmet,Allonnes,10à17€,c,,Sheldon + Nayra,Rap/Hip Hop,,,,,,,,,,,,,
zz,,,Vendredi 19,20h30,26 rue Gambetta,,10€,c,,Henriette & les garçons,Chanson française,,,,,,,,,,résa au 06 33 59 08 07,,,
jlb,,,Vendredi 19,20h,Bistro Broc Café,changé,au chapeau,c,,Dernier Cri,,,,,,,,,,,,,,
ce,,,Vendredi 19,20h30,Blue Zinc,,au chapeau,c,,OHRIMA,,,FRACTAL UNIVERSE,,,LEIDENFROST,métal,,,,,,,
tu,,,Vendredi 19,20h30,Brasserie Septante Deux,,0€,c,,Loazo release party,Electronica/IDM live,,Nomisluap ,DJset UK club music,,,,,,,,,,
tu,,,Vendredi 19,21h,Chez Marcelle,,0€,c,,aylo,house,,,,,,,,,,,,,
jlb,,,Vendredi 19,20h30,La Castélorienne,Montval-sur-Loir,22 à 28€,c,,La truite,,,,,,,,,,,,,,
tu,,,Vendredi 19,20h,Le Pilier Rouge,,au chapeau,c,,Dan Beyond the Clouds,Soirée Open Mic,,,,,,,,,,,,,
tu,,,Vendredi 19,21h,Le Zoo,,au chapeau,c,,Jam session blues spirit,,,,,,,,,,,,,,
zz,,,Vendredi 19,20h,Salle des concerts,,0€,sv,fantaisie pour percussions,élèves du consevatoire,,,,,,,,,,,,,,
jlb,,,Vendredi 26,20h,Bistro Broc Café,Changé,au chapeau,c,,Olivia Deschamps,,,,,,,,,,,,,,
ce,,,Vendredi 26,20h30,Blue Zinc,,au chapeau,c,,ROBIN CAVAILLES & FRIENDS,beatbox,,,,,,,,,,,,,
