initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
ba,,,Mercredi 17,20h30,Eve scène universitaire,Le Mans,au chapeau,c,,Big Band de l'Université,,,,,,,,,,,,,,
ba,,,Mardi 9,20h30,Eve scène universitaire,Le Mans,4 à 7€,sv,Presque égal à,Asso. théâtre de l'université du Mans,th.,,,,,,,,,,,,,
ba,,,Mercredi 10,18h30,Eve scène universitaire,Le Mans,4 à 7€,sv,Presque égal à,Asso. théâtre de l'université du Mans,th.,,,,,,,,,,,,,
ba,,,Jeudi 11,20h30,Eve scène universitaire,Le Mans,4 à 7€,sv,Presque égal à,Asso. théâtre de l'université du Mans,th.,,,,,,,,,,,,,
ba,,,Vendredi 12,20h30,Eve scène universitaire,Le Mans,4 à 7€,sv,Presque égal à,Asso. théâtre de l'université du Mans,th.,,,,,,,,,,,,,
ba,Wizard Asso,,Vendredi 5,20h,Eve scène universitaire,Le Mans,13€,c,,Necrowretch + Rotten + NYX,Métal,,,,,,,,,,,,,
ba,,,Jeudi 4,20h,Eve scène universitaire,Le Mans,0 à 10€,sv,Droit dans les yeux,Marie-Francine le Jalu,th.,,,,,,,,,,,,,
ba,,,Mardi 2,20h30,Eve scène universitaire,Le Mans,4 à 10€,sv,Solène & Hubert montent Cyrano de Bergerac,Cie Improbable,th.,,,,,,,,,,,,,
ba,,,Jeudi 18,18h15,Salle des concerts,Le Mans,0€,sv,Rencontres autour du steel band,Conservatoire du Mans,,,,,,,,,,,,,,
ba,,,Vendredi 19,19h30,Bar L'Olivier,Le Mans,0€,c,,Dock West,,,,,,,,,,,,,,
ba,,,Jeudi 11,20h,Centre Culturel Athéna,La Ferté-Bernard,8 à 17€,sv,Inventaire,Cie Grenade,Danse,,,,,,,,,,,,,
ba,,,Jeudi 18,20h,Centre Culturel Athéna,La Ferté-Bernard,8 à 17€,sv,"Guten tag, Mme Merkel",Cie Les Oiseaux de minerve,,,,,,,,,,,,,,
