initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Dimanche 10,19h,Station Cité,,au chapeau,c,,SYL,blues rock,,,,,,,,,,,,,
jlb,,,Dimanche 10,17h,Th. du Passeur,,au chapeau,sv,Les enfants de Tanner,,Lecture,,,,,,,,,,,,,
jlb,,,Dimanche 10,17h30,Th. du Passeur,,8 à 10€,sv,Dans tes larmes Joseph,,drame,,,,,,,,,,,,,
jlb,,,Dimanche 17,18h,La Citadelle des Anges,Teloché,18 €,sv,La terre,spectacle seul,comédie musicale,,,,,,,,,,,,,
bl,,,Dimanche 24,15h30,Espace Scélia,Sargé-lès-le-Mans,10 à 13€,sv,Suzanne,Cie Tetrofort,th.,,,,,,,,,,,,,
ce,Le Set Comedy,et tous les dimanches,Dimanche 3,18h,Blue Zinc,,au chapeau,sv,,,humour ,,,,,,,,,,,,,
ce,,,Jeudi 14,20h,Blue Zinc,,au chapeau,c,,Atout Brassens,hommage,,,Session acoustique mus.irlandaise,,,,,,,,,,
tu,,,Jeudi 14,21h,Brasserie Septante Deux,,prix libre,c,,gros coeur,Psyché Tropical/Belgique,,,,,,,,,,,,,
tu,,,Jeudi 14,21h,Le Barouf,,0 €,c,,molto morbidi,synth-pop,,roboy,chansons pour k7,,,,,,,,,,
zz,,,Jeudi 14,20h30,Le Pâtis,,tnc,sv,M. et Mme D Pontivy,,comédie,,,,,,,,,,,,,
tu,,,Jeudi 14,20h,Le Pilier Rouge,,au chapeau,c,,zouj,folk funk sexy soul,,,,,,,,,,,,,
bl,,,Jeudi 14,20h30,Scène J.Le Theule,Sablé-sur-Sarthe,13 à 25€,sv,Illusions perdues,Pauline Bayle,th.,,,,,,,,,,,,,
ce,,,Jeudi 21,20h30,Blue Zinc,,au chapeau,sv,,Le Set Comedy,humour,,,,,,,,,,,,,
zz,,,Jeudi 21,19h à 22h,La Fabrique,,0 €,sv,,Greenwashing comedy club,stand up,,,,,,,,,,,,,
tu,,,Jeudi 21,21h,Le Barouf,,0 €,c,,Hotel Bary présente planetarium,expérience A/V + Dj Set aftershow,,,,,,,,,,,,,
zz,,,Jeudi 21,20h30,Le Pâtis,,tnc,sv,Au secours on a un bébé,,comédie,,,,,,,,,,,,,
tu,Superforma,,Jeudi 21,20h30,Les Saulnières ,,10 à 17€,c,,claude + noor,hip hop,,,,,,,,,,,,,
bl,,,Jeudi 21,"9h30, 11h & 14h30",Scène J.Le Theule,Sablé-sur-Sarthe,5/8€,sv,La Fabrique,Cie Sans Soucis,th. de papier & musique,,,,,,,,,,,,,
ce,Session acoustique,,Jeudi 28,21h,Blue Zinc,,au chapeau,c,,,Musique irlandaise,,,,,,,,,,,,,
tu,,,Jeudi 28,19h,La Chicane,,0 €,c,,Tomothée isnard et élie Nourry,duo jazz,,,,,,,,,,,,,
tu,,,Jeudi 28,20h,La Fonderie,,prix libre,sv,[IN]SE,Cie Marie Lenfant,danse musique,,,,,,,,,,,,,
zz,,,Jeudi 28,20h30,Le Pâtis,,tnc,sv,M. et Mme D Pontivy,,comédie,,,,,,,,,,,,,
pl,Superforma,,Jeudi 28,20h30,Salle Jean Carmet,Allonnes,16 à 23€,c,,Ludwig Von 88,"Punk, métal",,Droges ,"Post punk, Rock",,,,,,,,,,
pl,,,Jeudi 28,20h,Th. de Chaoué,Allonnes,5 €,sv,Pièce de cirque,,Théatre,,,,,,,,,,,,,
ce,,,Jeudi 7,20h30,Blue Zinc,,au chapeau,c,,Collectif Racyne,électro,,,,,,,,,,,,,
tu,Ramdam / Pint of Acoustics,,Jeudi 7,21h,Brasserie Septante Deux,,prix libre,c,,,Conférence,,Jacqueline,disco pop,,,,,,,,,,
tu,coprod Cortex,,Jeudi 7,21h,Le Barouf,,au chapeau,c,,Sovox,post punk garage/Marseille,,catchy péril,disco-punk psyché/Marseille,,,,,,,,,,
tu,,,Jeudi 7,19h30,Le Pilier Rouge,,0 €,sv,Quizz « Salut Fred ! »,,quiz&zic,,,,,,,,,,,,,
jlb,Changé d'Air,Soirée d'ouverture,Jeudi 7,19h,Le Rabelais,Changé,0 €,sv,,,danse,,,,,,,,,,,,,
zz,,,Jeudi 7,20h30,Salle des concerts,,35 €,sv,Au delà,geoffrey secco,concert sous hypnose,,,,,,,,,,,,,
pl,Festival Bepop,,Jeudi 7,20h30,Salle Jean Carmet,Allonnes,14 à 18€,c,,Kas product,rock,,Ciel,rock,,,,,,,,,,
jlb,Changé d'Air,,Lundi 11,17h,Le Rabelais,Changé,6 €,sv,La légende du cocotier,Céline Ripoll,"spectacle, contes",,,,,,,,,,,,,
tu,,,Lundi 4,20h,L'Instinct,Rouillon,au chapeau,c,,Azuryte,électro folk,,,,,,,,,,,,,
tu,CiRCUITS #21 / Collectif 3h10,,Mardi 12,20h30,Brasserie Septante Deux,,prix libre,c,,Brame de Zéphyr,jazz et musique mandingue/Caen,,,,,,,,,,,,,
tu,,,Mardi 12,20h30,Eve scène universitaire,,0 à 12€,c,,SOIRÉE JAZZ : MATTHIEU DONARIER TRIO + INUI,,,,,,,,,,,,,,
bl,,,Mardi 19,14h30,Espace Scélia,Sargé-lès-le-Mans,5/7€,sv,HOËL,Cie Les tombés de la lune,spectacle jeune public,,,,,,,,,,,,,
tu,Superforma,,Mardi 26,19h,Les Saulnières ,,6 à 11€,c,,Animaux Totem,duo rock & mus. classique,,,,,,,,,,,,,
