initiales,,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,,,,Dimanche 16,17h,Boire du bon,Saint-Pavace,au chapeau,c,,Deve Golitin,viole de gambe,,,,,,,,,,,,,
jlb,,,,Dimanche 16,17h00,La Citadelle des Anges,Teloché,12 €,sv,Femmes de guerres 2,Coup d'Pied,"Danse, théâtre, lecture de textes et projections",,,,,,,,,,,,,
zz,,Association Octavius,,Dimanche 2,16h,Église,Savigné-l'Évêque,au chapeau,sv,60' avec BACH ,Liviu Badiu,violon,,,,,,,,,,,,,
tu,,22è Festival des 24 courts,festival de courts métrage,Dimanche 2,16h à 22h30,L’Éolienne,Arnage,6 €,sv,,,,,,,,,,,,,,,,
bl,,,,Dimanche 2,17h,Salle du Colibri,Saint-Mars-de-Locquenay,5 à 10€,sv,L'hiver sera chaud,Ensemble tout contre / Mathieu Barbances,"théâtre de rue, comédie musicale et choeur battant",,,,,,,,,,,,,
jlb,,,,Dimanche 2,17h00,Théâtre du Passeur,,8 à 10 €,sv,Anonyme passager,,recital hors-piste,,,,,,,,,,,,,
jlb,,,,Dimanche 23,20h00,Bistro Broc Café,Changé,au chapeau,c,,Did and MatMathis,blues rock,,,,,,,,,,,,,
zz,,,,Dimanche 23,17h,Boire du bon,Saint-Pavace,au chapeau,c,,Quatuor Dilettante,,,,,,,,,,,,,,
zz,,,,Dimanche 23,15h,Salle G. Brassens,Yvré-l'Évêque,0 €,c,,,Concours tremplin interprètes Vocal'Mans / Vocal'Mômes,,,,,,,,,,,,,
jlb,,,,Dimanche 23,17h00,Théâtre du Passeur,,au chapeau,sv,Nouvelles de John Fante,Cie du tournant,theatre ,,,,,,,,,,,,,
tu,,,,Dimanche 9,15h,Le Pilier Rouge,,au chapeau,c,,Hamasaari  ,post prog,,,,,,,,,,,,,
jlb,,,,Dimanche 9,15h00,Théâtre Municipal,Mamers,5 à 10 €,sv,Tais-toi François !,Les trétaux de Malestable,th,,,,,,,,,,,,,
jlb,,Festimioches 14,du mercredi 12 au,en bref,10h00 à 23h00,L'Alambik MJC Ronceray,,5 à 7 €,sv,,,,,,,,,,,,,,,,
zz,,Festival Les Ours Aussi… (Ensemble Offrandes & Artistes invités),du 31/01 au 02/02,en bref,,La Fonderie & théatre P. Scarron,,tnc,,,,,,,,,,,,,,,,,
jlb,,,touts les weekends du vendredi au dimanche,en bref,15h00 et ou 21h00 selon le jour,Salle des concerts,,26 à 48 €,sv,Euphorie,la Flambée,Music Hall,,,,,,,,,,,,,
jlb,,comédie,https://www.16-19.fr,en bref,,x,,,,,,,,,,,,,,,,,,,
jlb,,soutien culture Sarthe,https://convergences72.fr,en bref,,x,,,,,,,,,,,,,,,,,,,
jlb,,soutien culture ,https://73pour100.fr,en bref,,x,,,,,,,,,,,,,,,,,,,
jlb,,Cabaret le Patis,Accueil - Cabaret Le Patis,en bref,,x,,,,,,,,,,,,,,,,,,,
ce,,,,Jeudi 13,20h,Blue Zinc,,au chapeau,c,,Session acoustique,mus. irl,,,,,,,,,,,,,
ce,,,,Jeudi 13,20h30,Blue Zinc,,au chapeau,sv,,Le Snam comedy club,Stand-up,,,,,,,,,,,,,
tu,,,,Jeudi 20,20h30,Brasserie Septante Deux,,prix libre,c,,Stanley Brinks (Herman Düne),folk/Allemagne,,,,,,,,,,,,,
tu,,Orga Cortex,,Jeudi 20,21h,Le Lézard,,prix libre,c,,ARNO DE CEA  AND THE CLOCKWORK  WIZARDS,brutal surf south west,,,,,,,,,,,,,
tu,,,,Jeudi 20,20h,Le Pilier Rouge,,au chapeau,c,,Glück ,"jazz, jungle, house",,,,,,,,,,,,,
jlb,,Association Festi rok,,Jeudi 20,19h00,Salle de l'Horloge,Mamers,tnc,c,,,Jam Session,,,,,,,,,,,,,
ce,,,,Jeudi 27,21h,Blue Zinc,,au chapeau,c,,session acoustique,mus. irl,,Collectif Racyne,Dj set electro,,,,,,,,,,
ce,,,,Jeudi 27,20h30,Blue Zinc,,,sv,,Le Snam comedy club,Stand-up,,,,,,,,,,,,,
jlb,,,,Jeudi 27,20h30,Centre Culturel Athéna,La Ferté-Bernard,8 à 18 €,sv,Maldonne ,Leila Ka,danse,,,,,,,,,,,,,
jlb,,,,Jeudi 27,20h30,Espace Saugonna,Montval-sur-Loir,12 à 28 €,sv,Denali,Cie Panorama,theatre ,,,,,,,,,,,,,
jlb,,,,Jeudi 27,19h,Le Chapiteau du Plongeoir,,5 à 12 €,sv,Pling-Klang,Cirque en Kit,cirque,,,,,,,,,,,,,
tu,,Orga Cortex,,Jeudi 27,21h,Le Lézard,,prix libre,c,,SWEATY PALMS,électro no wave/Ecosse,,,,,,,,,,,,,
pl,,,,Jeudi 27,20h30,Les Saulnières ,,13 à 20 €,c,,Sophie Alour,Blues/Jazz,,Tibre,Blues/Jazz,,,,,,,,,,
bl,,,,Jeudi 27,20h30,Salle Coppélia,La Flèche,7 à 15€,sv,Roméo et Juliette,Cie Les Assoiffés d'Azur,théâtre,,,,,,,,,,,,,
pl,,,,Jeudi 27,20h30,Salle Jean Carmet,Allonnes,8 à 15 €,c,,Ojos,Electro/Pop,,,,,,,,,,,,,
bl,,,,Jeudi 27,10h et 14h30,Scène J.Le Theule,Sablé-sur-Sarthe,8 à 13€,sv,Ronces,Cie Kokeshi,danse,,,,,,,,,,,,,
ce,,,,Jeudi 6,21h,Blue Zinc,,au chapeau,c,,Collectif VMC,Dj set electro,,,,,,,,,,,,,
pl,,Festival La Nebuleuse,par l'asso Electrik Campus,Jeudi 6,18 h,Eve scène universitaire,,8 à 10 €,c,,Bunzen,uk garage house,,Slayme,Rap,,Anna Kova & Full Green + Lynx IRL,Rap/Soul,,Sharlee,house/Marseille,,,,
tu,,Pint of Curruption,conférence + concert,Jeudi 6,20h,Le Barouf,,0€,c,,teenage bed,low folk,,,,,,,,,,,,,
tu,,Garage5,,Jeudi 6,20h30,Le Lézard,,prix libre,c,,la baracande,collectif la novia/tradi folk exp,,,,,,,,,,,,,
jlb,,Jeudi de panurge,,Jeudi 6,19h00,Le Rabelais,Changé,au chapeau,c,,Lizy Ash,,,,,,,,,,,,,,
BL,,,,Jeudi 6,20h30,Palace Carnot,Sablé-sur-Sarthe,8 à 13€,sv,Là où vont nos pères,Florent Hermet,BD concert,,,,,,,,,,,,,
jlb,,Association Festi rok,,Jeudi 6,19h00,Salle de l'Horloge,Mamers,tnc,c,,,Jam Session,,,,,,,,,,,,,
pl,,,,Jeudi 6,20h30,Salle Jean Carmet,Allonnes,13 à 20 €,c,,Lescop,Pop,,Simone Ringer,Pop,,,,,,,,,,
jlb,,Théâtra Acthalia,,Jeudi 6,20h30,Théâtre Paul Scarron,,10 à 18 €,sv,Voyage à Napoli,Lina Lamara,theatre ,,,,,,,,,,,,,
jlb,,,,Mardi 11,20h00,Bistro Broc Café,Changé,au chapeau,c,,"Bruno, Jacky ",,,,,,,,,,,,,,
tu,,"BAD ""JAM"" SESSION",session jam jazz & more,Mardi 11,20h30,Brasserie Septante Deux,,0€,c,,Deve Golitin,basse de viole guitare,,,Session Jam,,,,,,,,,,
jlb,,,,Mardi 18,20h00,Bistro Broc Café,Changé,au chapeau,c,,Joélia & Cie,,,,,,,,,,,,,,
jlb,,,,Mardi 25,19h00,Le Chapiteau du Plongeoir,,5 à 12 €,sv,Silex,Cie Sid,Conférence acrobatique,,,,,,,,,,,,,
jlb,,,,Mardi 25,19h,Le Chapiteau du Plongeoir,,5 à 12 €,sv,Pling-Klang,Cirque en Kit,cirque,,,,,,,,,,,,,
pl,,,,Mardi 25,17h30,Salle Jean Carmet,Allonnes,"2,50 à 6 €",sv,Dans ta valise,Compagnie Rêve Général,Theatre Jeune public,,,,,,,,,,,,,
bl,,,,Mardi 25,10h et 14h30,Scène J.Le Theule,Sablé-sur-Sarthe,8 à 13€,sv,Ronces,Cie Kokeshi,danse,,,,,,,,,,,,,
jlb,,,,Mardi 4,20h00,Bistro Broc Café,Changé,au chapeau,c,,Joélia & Cie,,,,,,,,,,,,,,
jlb,,,,Mardi 4,20h30,Eve scène universitaire,,complet,sv,La poésie de l'échec,Cie Marjolaine Minot,th,,,,,,,,,,,,,
tu,,,,Mardi 4,20h,The Lodge,,0€,sv,,Le C'est pas vrai Comedy Club,stand-up,,,,,,,,,,,,,
jlb,,,,Mercredi 12,20h00,Bistro Broc Café,Changé,au chapeau,c,,Du coté de chez Fred,,,,,,,,,,,,,,
ce,,Tempo,,Mercredi 12,20h,Blue Zinc,,au chapeau,c,,,Jam Session,,,,,,,,,,,,,
tu,,Orga Cortex,,Mercredi 12,21h,Le Lézard,,prix libre,c,,WASTED YOUTH CLUB,post punk garage/Hollande,,,,,,,,,,,,,
bl,,Malices au Pays #10,festival jeune public,Mercredi 12,15h et 18h30,Salle Coppélia,La Flèche,4 €,sv,Un océan d'amour,Cie La Salamandre,théâtre d'objet et univers de papier,,,,,,,,,,,,,
ce,,Tempo,,Mercredi 19,20h,Blue Zinc,,au chapeau,c,,,Jam Session,,,,,,,,,,,,,
tu,,La Fourche à Tigre,,Mercredi 19,20h30,Brasserie Septante Deux,,prix libre,c,,rest in gale,Pub-Rock/Paris,,,,,,,,,,,,,
tu,,,,Mercredi 19,15h,Quai des Arts,Vibraye,4 à 6€,sv,Alice aux pays des miroirs,Gaëlle Hispard & Mathieu Gerhardt,th. musical +4 ans,,,,,,,,,,,,,
