,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"TU",,,"Dimanche 3","16h00","Château de Courtanvaux","Bessé-sur-Braye","8 à 15€","c",,"Céline Bonacina & Laurent Dehors","jazz",,,,,,,,,,
"AL",,,"Dimanche 3","16h","Eglise","La Bazoge","0€","c",,"Chorale Amusicoeur","Ch. fr., gospel","Ecart de ton","ch. de la renaissance",,,,,"https://def773hwqc19t.cloudfront.net/events/attachments/1512/202231793128127832_concert_amusicoeur_3_avril_2022_002.jpg",,,
"MG",,,"Dimanche 3","18h","Le Rabelais","Changé","0€","c",,"Stratosfonic",,"KD Orchestre","Battle d'orchestres",,,,,"https://www.lerabelais.org/evenement/battle-dorchestres-stratosfonic-kd-orchestre/",,,
"TU","Musiques d'ici et d'ailleurs",,"Dimanche 3","16h","Musée de Tessé","Le Mans","15 à 18€","c",,"Marie-José Delvincourt & David Harlé","piano, violoncelle",,,,,,,,,,
"JB",,,"Dimanche 3","16h","Péniche Excelsior",,"5 à 11€","c",,"Tout Bleu","ambient experimental","Surprise Barbue","Foire aux synthés",,,,,"https://toutbleu.bandcamp.com/","https://www.youtube.com/watch?v=wg7lfBNXvM8",,
"JLB",,,"Dimanche 3","17h00","Théâtre du Passeur","Le Mans","8 à 10€","sv","Épipurien ","Cie la Quincaillerie","Th. clown",,,,,,,"https://cie-la-quincaillerie.assoconnect.com/",,,
"CE","Apéro sur le zinc",,"Jeudi 14","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Origami","jazz",,,,,,,,,,
"CE","Apéro sur le zinc",,"Jeudi 21","19h","L'Épicerie sur le Zinc",,"au chapeau ","c",,"Belle Ile en Blues","blues/jazzy electrique",,,,,,,"https://www.facebook.com/SaraPhilippe72/",,,
"JLB",,,"Jeudi 28","20h00","Centre Culturel Athéna","La Ferté-Bernard","6 à 16,90€","c",,"Kaz Hawkins memories of Etta James","Soul-blues",,,,,,,"https://ontheroad-again.eu/",,,
"al",,,"Jeudi 28","18h30","Eve scène universitaire",,"0€","sv","Ca ira (1) fin de Louis","Atelier théâtre de l'Université","Th.",,,,,,,,,,
"CE","Apéro sur le zinc",,"Jeudi 28","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Dolly and The Beast","blues/jazz/pop",,,,,,,"https://www.facebook.com/dollyandthebeast/",,,
