"initiales","festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle1","artiste1","style1","spectacle2","artiste2","style2","spectacle3","artiste3","style3","spectacle4","artiste4","style4","lien1","lien2","lien3","lien4"
"at",,,"Dimanche 11","17h30","Centre des expositions",,"10/20€","sv","Spectacle de Noël","Voltige circus","cirque",,,,,,,,,,,,,
"jlb",,,"Dimanche 11","17h","Eglise St Nicolas","Coulaines","au chapeau","c",,"“A Christmas Carol” Essenti'elles","chants de Noêl",,,,,,,,,,,,,
"AT",,,"Dimanche 11","15h + 17h","L'Alambik",,"0 €","sv","Bibliotron","Babel Fish Cie","marionnettes > 5 ans",,,,,,,,,,,,,
"AT",,,"Dimanche 11","12h","L'Espal",,"17/35€","sv","La rose des vents",,"cuisine et mus.",,,,,,,,,,,,,
"AT",,,"Dimanche 11","16h30","La Cité du cirque",,"4/8€","sv","L'homme canon","Rémi Luchez","cirque",,,,,,,,,,,,,
"at",,,"Dimanche 11","15h","Le Pâtis",,"14/20€","sv","Millenium party",,"spectacle",,,,,,,,,,,,,
"at",,,"Dimanche 11","10h","Local des As",,"prix libre","c",,"Azuryte","electro folk",,,,,,,,,,,"https://www.facebook.com/events/3310046489236911/?privacy_mutation_token=eyJ0eXBlIjowLCJjcmVhdGlvbl90aW1lIjoxNjY5NDg3NDU3LCJjYWxsc2l0ZV9pZCI6MzU5MDM2MDAxOTY4NDMyfQ%3D%3D&acontext=%7B%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22multi_join_nearby%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22suggested_events%5C%22%2C%5C%22extra_data%5C%22%3A[]%7D]%22%7D&__xts__[0]=68.ARBdxtcX79qVGWhfjv4fupIyFUXGGjLKlCpxbQ0rAFA_j-9pBteylcwzwEo0IGsQAkcrCAgJHzVuckXe59jdlIbV2dkOy7ca7bE72sAM7oWbz1H-MQHiG-wJO-JdO4FB8JsQiLM1gv0vuoieRhInyw5rpgoCHNNFFtNDsT0-mJyu245yLAUuzdDjIhd53hqxE_5qEyT6GnV75NBAo9-XLXJFYwkcXcGqq40_n909HTvv50F0ul5TtjCVogNIf0ba1wypxhNbrkegfAGm-qTF5CSUw0JqZz4KnuM",,
"jlb",,,"Dimanche 11","17h","Théâtre du Passeur",,"au chapeau","sv","La patte du chat",,"th. à partir de 12 ans",,,,,,,,,,,,,
"tu",,,"Dimanche 11","17h","Théâtre Épidaure","Bouloire","8€ / 5€","sv","Jimmy et ses soeurs","Cie de Louise","th. à partir de 8 ans",,,,,,,,,,,,,
"zz",,,"Dimanche 18","15h30","Eglise","Brette-les-Pins","au chapeau","c",,"Quatuor accordo","classique & tsigane",,,,,,,,,,,,,
"AT",,,"Dimanche 18","11h30 + 14h30","Eve scène universitaire",,"0 €","sv","SOS ! Comédie liquide","Cie Coup d'pied","duo burlesque th. et danse > 5 ans",,,,,,,,,,,,,
"AT",,,"Dimanche 18","17h","L'Envol","La Bazoge","0 €","c",,"Christmas tree","concert de Noël",,,,,,,,,,,,,
"AT",,,"Dimanche 18","16h30","Le Chapiteau - Cité du cirque",,"4/8€","sv","Der Lauf","Vélocimanes Associés","cirque",,,,,,,,,,,,,
"AT",,,"Dimanche 18","17h","Le Val’Rhonne","Moncé-en-Belin","5 €","sv","Noël, le sapin et moi","Cie Les éléments Disponibles","sp. musical > 3 ans",,,,,,,,,,,,,
"AT",,,"Dimanche 25","16h30","La Cité du Cique",,"4/8€","sv","Le syndrome de Cassandre","Cie l'Absente","cirque > 14 ans",,,,,,,,,,,,,
"at",,,"Dimanche 4","10h, 14h, 17h30","Centre des expositions",,"10/20€","sv","Spectacle de Noël","Voltige circus","cirque",,,,,,,,,,,"https://www.facebook.com/events/1278885049610388/1278885052943721?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22suggested_events%22%2C%22surface%22%3A%22multi_join_nearby%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D]%2C%22ref_notif_type%22%3Anull%7D",,
"AT",,,"Dimanche 4","16h","Chapiteau Mimulus","Fresnay-sur-Sarthe","5 €","sv","L'orchestre d'harmonie fait son cirque !","OHAM et l'école Mimulus","concert et spectacles",,,,,,,,,,,,,
"AT",,,"Dimanche 4","14h30 + 17h","école primaire Montaigu",,"0 €","sv","Songe qui peut","Th. du Zouave","sp. musical > 5 ans",,,,,,,,,,,,,
"AT",,,"Dimanche 4","11h30 + 14h30","Maison de quartier Charles Trénet",,"0 €","sv","L'école des petits Robert","Cie Robert et moi","th. et chansons humoristiques",,,,,,,,,,,,,
"AT",,,"Dimanche 4","16h","Musée de Tessé",,"10/18€ Réservations: 06 10 53 38 40 - acthalia@hotmail.fr","c",,"De Dom Juan à Faust","mus. classique",,,,,,,,,,,,,
"jlb",,,"Dimanche 4","17h","Théâtre du Passeur",,"8 €","sv","La Peste",,"th. à partir de 15 ans",,,,,,,,,,,,,
"AT",,,"Jeudi 1","18h","Aux 3 brasseurs","La Chapelle-Saint-Aubin","prix libre","c",,"Azuryte","electro-folk",,,,,,,,,,,,,
"CE","Apéro Concert",,"Jeudi 1","20h","Blue Zinc",,"au chapeau","c",,"LOCOMO","solar groove",,,,,,,,,,,,,
"jlb","Soirées starter",,"Jeudi 1","20h30","Eve scène universitaire",,"0 €","c",,"Ineige","pop rock","Teenage Bed","folk/pop grunge",,,,,,,,,,,
"zz",,,"Jeudi 1","20h","La Fonderie",,"5 €","sv","Espace temps - Espace vide","Cie O'koul",,,,,,,,,,,,,,
"AT",,,"Jeudi 1","20h","Les Quinconces - Petit Théâtre",,"9/24€","sv","L'été des charognes",,"th.",,,,,,,,,,,"https://billetterie.quinconces-espal.com/spectacle?id_spectacle=2556&lng=1",,
