,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4"
"MG",,,"Samedi 26","20h","Le Rabelais","Changé","12 à 18€","c",,"MANOU GALLO","afro groove","CRÈME",,,,,
"MG",,,"Mardi 1","20h30","Salle G. Brassens","Yvré-l'Évêque","5/7€","sv","Aux plus adultes que nous","Et Alors Cie !","théâtre > 12 ans",,,,,,
"MG",,,"Mardi 8","16h","Salle G. Brassens","Yvré-l'Évêque","3,5/5€","sv","Songe qui peut","Théâtre du Zouave","th. mus. > 6 ans",,,,,,
"MG",,,"Jeudi 3","20h30","Salle Michel Berger","Savigné-l'Évêque","5 à 14€","c",,"BIG TURKEY'S POWER","soul, funk, pop",,,,,,
"JLB",,,"Mardi 8","15h","Centre Culturel Athéna","La Ferté-Bernard",5 €,"sv","Casse-tête","Théâtre Bascule","cirque, jonglage",,,,,,
"JLB",,,"Jeudi 24","20h","Centre Culturel Athéna","La Ferté-Bernard","5/12,90€","sv","Intro et Reghma","Cie Etra","danse",,,,,,
"JLB",,,"Dimanche 27","17h","Théâtre du Passeur","Le Mans",5 €,"sv","Francis Scott Fitzgerald","J Boiron, P Connard","lecture",,,,,,
"JLB",,,"Jeudi 3","10h","La Castelorienne","Montval-sur-Loir",4 €,"sv","Emoi et moi",,"ciné concert",,,,,,
"JLB",,,"Vendredi 4","16h30","La Castelorienne","Montval-sur-Loir",4 €,"sv","Rien a dire","Leanr Ribera","Théatre gestuel",,,,,,
"JLB",,,"Mardi 22","20h30","La Castelorienne","Montval-sur-Loir","6/18€","sv","Cyrano","Cie Miranda","Théâtre ",,,,,,
"JLB",,,"Dimanche 27","17h","La Castelorienne","Montval-sur-Loir",12 €,"c",,"American songs","concert",,,,,,
"AT",,,"Mardi 8","20h30","Eve scène universitaire",,"4 à 10 €","sv","L'été des charognes","Cie A trois branches","théâtre et musique",,,,,,
"AT",,,"Jeudi 10","18h30","Eve scène universitaire",,"4 à 10 €","sv","Cactus","Réciproque cie","th.",,,,,,
"AT",,,"Vendredi 25","19h","Le Val'Rhonne","Moncé-en-Belin",8 €,"sv","Puisqu'on a toujours fait comme ça","Collectif Grand Maximum","th. > 10 ans","Tic Tac Impro","th. d'impro",,,,
"AT",,,"Vendredi 4","21h","Salle des concerts",,"10 à 18 €","sv","Pôvre vieille démocrasseuse","Sol – Marc Favreau","th.",,,,,,
"AT",,,"Jeudi 24","21h","L'Acthalia",,"10 à 18 €","sv","Enfin vieille !","Laura Elko","th.",,,,,,
"AT",,,"Vendredi 25","21h","L'Acthalia",,"10 à 18 €","sv","Enfin vieille !","Laura Elko","th.",,,,,,
"AT",,,"Samedi 26","21h","L'Acthalia",,"10 à 18 €","sv","Enfin vieille !","Laura Elko","th.",,,,,,
"AT",,,"Dimanche 27","17h","L'Acthalia",,"10 à 18 €","sv","Enfin vieille !","Laura Elko","th.",,,,,,
"aT",,,"Vendredi 4","20h30","Le Cournesnil","Loué","4 à 10 €","sv","Cruda","Collectif A Sens Unique","cirque",,,,,,
"at",,,"Samedi 26","20h30","La Longère","Coulans-sur-Gée","4 à 10 €","sv","Soirée Circo-Loto","Cirque Exalté","cirque et loto",,,,,,
"at","Festival Plein Champ","tremplin mus. actuelles","Samedi 19","19h","Espace Vègre et Champagne","Brûlon","5 à 6 €","c",,"ALEAA",,"DJAZARAD",,"SHELTER COLONY",,"DRAGON'S BAND",
"ce",,,"Mercredi 2","19h30","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Boeuf Folk sans Bal",,,,,,,
"ce","Apéro sur le zinc",,"Jeudi 3","19h ","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Dolly and the Beast","pop",,,,,,
"ce",,,"Vendredi 4","20h30","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"TROIPLUSSIN ","chante Moustaki",,,,,,
"ce","Apérock",,"Mardi 8","19h","L'Épicerie sur le Zinc","Le Mans",0 €,"c",,"scène amateurs s/inscription",,,,,,,
"ce","Apéro sur le zinc",,"Jeudi 10","19h","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Accelerando","jazz",,,,,,
"ce","Apéro sur le zinc",,"Jeudi 17","19h","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Zouj","soul, blues, pop",,,,,,
"ce","Blue Dog Festival","Disco - House","Vendredi 18","20h30","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Bunzen",,"Kreymeister",,"Georges Power",,,
"ce","Apéro Chansons",,"Mercredi 23","19h","L'Épicerie sur le Zinc","Le Mans",0 €,"c",,"scène amateurs s/inscription",,,,,,,
"ce","Apéro sur le zinc",,"Jeudi 24","19h","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Backson","Funk, blues, rock",,,,,,
"ce",,,"Jeudi 24","21h","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Session mus.irlandaise",,,,,,,
"ce",,,"Vendredi 25","20h30","L'Épicerie sur le Zinc","Le Mans","au chapeau ","c",,"Un air, deux familles (Bill & Max Vétillard)",,,,,,,
"ce",,,"Samedi 26","20h ","Le Local a Bières","Arnage",0 €,"c",,"Overdrivers","Rock","The Soundroots","Rock",,,,
"jb","La fièvre du samedi matin",,"Samedi 5","11h","La Fonderie",,0 €,"c",,"Ensemble Offrandes","Musique contemporaine",,,,,,
"jb",,,"vendredi 11","15h","La Fonderie",,5 €,"sv","Les brûlures","Cie Punto y Trazo","cirque & musique",,,,,,
"jb",,,"Mardi 1","19h","Les Quinconces",,"9 à 23€","sv","Anarchy, l'harmonie du désordre","Cie Chute Libre","danse",,,,,,
"jb",,,"Mercredi 2","19h","Les Quinconces",,"9 à 23€","sv","Anarchy, l'harmonie du désordre","Cie Chute Libre","danse",,,,,,
"jb",,,"Mardi 1","20h30","L'Espal",,"9 à 23€","sv","Nous, dans le désordre","Cie Hyppolyte a mal au coeur ","théâtre dès 14 ans",,,,,,
"jb",,,"Mercredi 2","20h30","L'Espal",,"9 à 23€","sv","Nous, dans le désordre","Cie Hyppolyte a mal au coeur ","théâtre dès 14 ans",,,,,,
"jb",,,"Jeudi 17","11h & 16h","Les Quinconces - Petit Théâtre",,5 €,"sv","Charlie et le Djingpouite","Compagnie La Petite Fabrique","théâtre dès 6 ans",,,,,,
"jb",,,"Vendredi 18","11h & 16h","Les Quinconces - Petit Théâtre",,5 €,"sv","Charlie et le Djingpouite","Compagnie La Petite Fabrique","théâtre dès 6 ans",,,,,,
"jb",,,"Samedi 19","11h & 16h","Les Quinconces - Petit Théâtre",,5 €,"sv","Charlie et le Djingpouite","Compagnie La Petite Fabrique","théâtre dès 6 ans",,,,,,
"jb",,,"Mardi 22","20h","Les Quinconces",,"9 à 23€","sv","Candide","Arnaud Meunier","théâtre dès 14 ans",,,,,,
"jb",,,"Mercredi 23","19h","Les Quinconces",,"9 à 23€","sv","Candide","Arnaud Meunier","théâtre dès 14 ans",,,,,,
"jb",,,"Jeudi 24","9h30 & 15h","Les Quinconces - Petit Théâtre",,5 €,"sv","Le complexe du pingouin","Cie Le Mouton Carré","théâtre dès 3 ans",,,,,,
"jb",,,"Vendredi 25","9h30 & 15h","Les Quinconces - Petit Théâtre",,5 €,"sv","Le complexe du pingouin","Cie Le Mouton Carré","théâtre dès 3 ans",,,,,,
"jb",,,"Samedi 26","10h30 & 15h","Les Quinconces - Petit Théâtre",,5 €,"sv","Le complexe du pingouin","Cie Le Mouton Carré","théâtre dès 3 ans",,,,,,
"jb",,,"Dimanche 27","10h30 & 15h","Les Quinconces - Petit Théâtre",,5 €,"sv","Le complexe du pingouin","Cie Le Mouton Carré","théâtre dès 3 ans",,,,,,
"jb",,,"Vendredi 25","20h","L'Espal",,"9 à 23€","sv","Zugzwang","Galactik Ensemble","cirque dès 8 ans",,,,,,
"jb","Festi'Mioches #11",,"Mercredi 9","15h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Songe qui peut","Théâtre du Zouave","spectacle dès 6 ans",,,,,,
"jb","Festi'Mioches #11",,"Mercredi 9","17h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Les kioubes","Cie Les Gamettes","spectacle dès 3 ans",,,,,,
"jb","Festi'Mioches #11",,"Mercredi 9","20h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Donjon et pigeon","Cie Heidi a bien grandi","spectacle ",,,,,,
"jb","Festi'Mioches #11",,"Jeudi 10","10h30 ","L’Alambik MJC Ronceray",,"4 à 6€","sv","Nid haut nid bas Onichliba","Cie La Tangente","spectacle dès 18 mois",,,,,,
"jb","Festi'Mioches #11",,"Jeudi 10","15h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Chloé et le poum poum tchac","Cie les léz'arts vers","spectacle dès 6 ans",,,,,,
"jb","Festi'Mioches #11",,"Jeudi 10","20h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Faim","Cie les filles de l'Ogre","spectacle dès 7 ans",,,,,,
"jb","Festi'Mioches #11",,"Vendredi 11","10h30","L’Alambik MJC Ronceray",,"4 à 6€","sv","Vite! Vite! Vite!","Cie Tétrofort","spectacle dès 3 ans",,,,,,
"jb","Festi'Mioches #11",,"Vendredi 11","15h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Movais élève","Cie Sécateur","spectacle dès 9 ans",,,,,,
"jb","Festi'Mioches #11",,"Vendredi 11","20h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Les Lebrun sont au jardin","Cie Tetrofort","spectacle",,,,,,
"jb",,,"Mercredi 2","20h30","La Péniche Excelsior","Allonnes","5 à 11€","c",,"Louis Jucker","chanson folk rock","Clelia Vega","chanson folk",,,,
"jb","Festival DiverScènes",,"Mercredi 9","20h","Les Saulnières ",,"14 à 20€","c",,"Fred Wesley & The New JB's","funk ","Jean Pierre Derouard 6tet","funk jazz",,,,
"jb","Festi'Mioches #11",,"Vendredi 11","18h30","L’Alambik MJC Ronceray",,"4 à 6€","c",,"Pixmix Kids","dj set electro",,,,,,
"jb",,,"Vendredi 18","20h30","L’Alambik MJC Ronceray",,0 €,"c",,"Décibels","jazz","Go To The Dogs","jazz",,,,
"jb",,,"Vendredi 18","20h30","La Péniche Excelsior","Allonnes","5 à 11€","c",,"Grive","chanson shoegaze","La Houle","noisy french pop",,,,
"jb","Temps Fort Tango",,"Samedi 19","20h30","Les Saulnières ",,"8 à 12€","c",,"El Tango Club",,,,,,,
"jb",,,"Mardi 22","20h","L'Oasis",,33 €,"c",,"Ange","rock progressif",,,,,,
"jb",,,"Vendredi 25","20h","L'Oasis",,"21 à 27€","c",,"La Femme","french pop",,,,,,
"jb","Festival 1ère Page",,"Mardi 1","18h30","L'Éolienne","Arnage","4 à 6€","sv","Pop Up","Cie Ilot 135","lecture dès 2 ans",,,,,,
"jb",,,"Mardi 22","18h30","L’Éolienne","Arnage","4 à 6€","sv","Mioba","Cie Fais pas ci fais pas ça","spectacle musical dès 5 ans",,,,,,
"jb",,,"Vendredi 25","20h30","L’Éolienne","Arnage","7 à 14€","sv","L'Inizio","Cie Chriki'Z","danse dès 8 ans",,,,,,
"jb",,,"Vendredi 4","20h30","Bières et Chopes",,0 €,"c",,"La Dernière Goutte","rock français",,,,,,
"jb","Moth Frequency - Garage5",,"Vendredi 25","20h30","Le Lézard",,"au chapeau","c",,"The Absolute Never","thunder blues","Nout","jazz noise",,,,
"jb",,,"Samedi 19","20h30","Le Lézard",,"au chapeau","c",,"La Jungle","transe rock",,,,,,
