"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","troupe","style_spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4"
,,"Samedi 29","20h30","Esp. H. Salvador","Coulaines","12 à 15€","spectacle vivant","Effets secondaires","Théâtre de l'Acthalia","théâtre",,,,,,,,
,,"Dimanche 30","16h","Esp. H. Salvador","Coulaines","12 à 15€","spectacle vivant","Effets secondaires","Théâtre de l'Acthalia","théâtre",,,,,,,,
,,"Dimanche 9","17h","Le Rabelais","Changé","5 à 9€","spectacle vivant","De la campagne à la ville... et vice versa","Pérenne Cie","théâtre",,,,,,,,
,,"Samedi 15","20h30","Le Rabelais","Changé","3/5€","spectacle vivant","Faim de séries #7","Les Candiratons","théâtre d'impro",,,,,,,,
,,"Samedi 22","20h30","Le Rabelais","Changé","8 à 12€","spectacle vivant","G.R.A.I.N.","Compagnie Mmm","théâtre",,,,,,,,
,,"Dimanche 30","17h","Le Rabelais","Changé","5 à 9€","spectacle vivant","Bazar","Créatures compagnie","conte, marionnettes et objets, > 4 ans",,,,,,,,
,,"Samedi 29","20h30","salle G. Brassens","Yvré-l'Évêque","3/7€","spectacle vivant","Fallait pas les agacer !","Les Baladins de l'Huisne","théâtre amateur",,,,,,,,
,,"Dimanche 30","15h","salle G. Brassens","Yvré-l'Évêque","3/7€","spectacle vivant","Fallait pas les agacer !","Les Baladins de l'Huisne","théâtre amateur",,,,,,,,
,,"Jeudi 13","20h30","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","La nostalgies des blattes","Compagnie des transports","théâtre",,,,,,,,
,,"Vendredi 14","20h30","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","La nostalgies des blattes","Compagnie des transports","théâtre",,,,,,,,
,,"Samedi 15","18h30","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","La nostalgies des blattes","Compagnie des transports","théâtre",,,,,,,,
,,"Dimanche 16","17h00","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","La nostalgies des blattes","Compagnie des transports","théâtre",,,,,,,,
,,"Samedi 22","17h00","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","Oh ! La belle plante","La Cigalle Spectacles","théâtre jeunesse",,,,,,,,
,,"Dimanche 23","10h-17h","Théatre du Passeur","Le Mans",30 €,"spectacle vivant","Les stages conte Adultes","Rozen BODIN","conte Adultes",,,,,,,,
,,"Vendredi 28","20h30","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","Pordenone","Compagnie ATEC","théâtre",,,,,,,,
,,"Samedi 29","18h30","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","Pordenone","Compagnie ATEC","théâtre",,,,,,,,
,,"Dimanche 30","17h00","Théatre du Passeur","Le Mans","8 et 10€","spectacle vivant","Pordenone","Compagnie ATEC","théâtre",,,,,,,,
,,"Dimanche 23","n.c.","Salle Jean de la Fontaine","Marolles-les-Braults","n.c.","concert",,,,"Concert de flûtes",,,,,,,
,,"Dimanche 30","15h00","Espace Saugonna","Mamers",,"spectacle vivant","Rencontres Choregraphiques",,"danse",,,,,,,,
,,"Jeudi 13","20h00","Centre Culturel Athena","La Ferté-Bernard","16,90/12,90/8/6€","spectacle vivant","L'ile des esclave","Centre dramatique de Tours","théâtre",,,,,,,,
,,"Mercredi 19","20h00","Centre Culturel Athena","La Ferté-Bernard","12,90/8,90/6/5€","spectacle vivant","Toutes les choses géniales","Compagnie théâtre prisme","théâtre",,,,,,,,
,,"Jeudi 27","20h00","Centre Culturel Athena","La Ferté-Bernard","24,90/20,90/12/10€","spectacle vivant","Des Plans Sur La comète","Atelier Théâtre Actuel","théâtre",,,,,,,,
,,"Jeudi 6","20h30","Castelorienne","Château-du-Loir","18/12/8€","spectacle vivant","Camarades","Les Maladroits","théâtre",,,,,,,,
,,"Mardi 18","20h30","Castelorienne","Château-du-Loir",6 €,"spectacle vivant","Le Père","Jamais 2 sans 3","théâtre",,,,,,,,
,,"Samedi 22","20h30","Castelorienne","Château-du-Loir","24/16/10€","spectacle vivant","Les filles aux mains jaunes","Sésam' Prod","théâtre",,,,,,,,
,,"Samedi 29","16h00","Castelorienne","Château-du-Loir",4 €,"concert",,,,"On marche sur la tête","concert, spectacle familial",,,,,,
,,"Jeudi 20","20h30","Le Lodge","Le Mans",0 €,"concert",,,,"ZOUJ","soul/pop/blues",,,,,,
,,"Mardi 11","20h30","Le Palace","Sablé-sur-Sarthe","5/8€","spectacle vivant","Crin Blanc","Compagnie Anaya","ciné-concert",,,,,,,,
,,"Vendredi 28","20h30","Espace Madeleine Marie","Sablé-sur-Sarthe","8/10/13€","spectacle vivant","Les habits neufs de l'Empereur","Compagnie Escale","théâtre d'ombres",,,,,,,,
,,"Samedi 15","20h30","Salle des fêtes","Précigné","8/10/13€","concert",,,,"Passage en revue","spectacle musical",,,,,,
,,"Dimanche 16","20h30","Salle des fêtes","Précigné","8/10/13€","concert",,,,"Passage en revue","spectacle musical",,,,,,
