,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"AL","Les pique-nique electroniques","funk-house","Dimanche 10","12h-20h","Bords de l'Huisne","Champagné","0 €","C",,"My name is Jeanne",,"Petaire et Stevaine",,"Mikki",,,,,,,
"CE","Le Son des Cuivres","Musiques cuivrées","Dimanche 10","11h à 0h","Espace Saugonna","Mamers","0€/15 à 20€","c",,"Alp'Penta Brass + Ens. Cuivres de Normandie...",,"Sergueï Nakariakov & Maria Meerovitch + Ens. cuivres de Belgique",,,,,,,,,
"AL",,,"Dimanche 10","17h30","La Guinguette des Tanneries",,"0 €","C",,"Puissance 4000","electro funk",,,,,,,,,,
"JLB",,,"Dimanche 10","17h","8 rue de Cyrus",,"au chapeau","c",,"Pianoctambule",,,,,,,,,,,
"JLB","Festival Musica","spectacle vivant","Dimanche 10",,"Parc de Tessé",,"10 à 50€","c",,"Musica","Musique Classique",,,,,,,,,,
"AL",,,"Dimanche 17","17h30","La Guinguette des Tanneries",,"0 €","C",,"Pete Byrd","folk country",,,,,,,,,,
"JLB",,,"Dimanche 17","17h","8 rue de Cyrus",,"au chapeau","c",,"Pianoctambule",,,,,,,,,,,
"AL",,,"Dimanche 24","17h30","La Guinguette des Tanneries",,"0 €","C",,"vetillard coutable","musique irlandaise",,,,,,,,,,
"AL","La belle virée","Arts de rue","Dimanche 24","15h30",,"Saint-Jean-du-Bois","au chapeau","sv","Amuse Trois","Abrazik","humour musique",,,,,,,,,,
"AL","La belle virée","Arts de rue","Dimanche 24","18h",,"Saint-Jean-du-Bois","au chapeau","sv","Monsieur Jacques","Cie Cirque au carré et la Canaille","jonglage humour",,,,,,,,,,
"AL","La belle virée","Arts de rue","Dimanche 24","21h",,"Saint-Jean-du-Bois","au chapeau","sv","Opus 7","Circa Tsuica","fanfare acrobatie",,,,,,,,,,
"AL",,,"Dimanche 3","17h30","La Guinguette des Tanneries",,"0 €","C",,"Trio Jazz Sunday","jazz manouche",,,,,,,,,,
"AL","Festival Plein Champ","Arts urbains","Dimanche 3","12h-21h","Parc Gué de Maulny",,"0 €","C",,"Les rêveries","electro","Only wax","funk / hip hop","Degiheugi et flo the kid","trip hop",,,,,,
"JLB","Un Piano au Jardin",,"Dimanche 3","17h","8 rue de Cyrus",,"au chapeau","sv","Pianoctambule",,,,,,,,,,,,
"JLB",,,"Dimanche 3","16h","Jardin des Plantes",,"0 €","sv","Un Dimandhe au Kiosque",,,,,,,,,,,,
"AL",,,"Dimanche 3","20h","MJC Jacques Prévert",,"au chapeau","sv","Le cercle des illusionistes","Atelier th. de la MJC Prévert","th.",,,,,,,,,,
"JB",,,"Jeudi 14","20h","Le Pilier Rouge",,"0 €","c",,"Edda Bel Abysse","ch. & cantates sur synthé ",,,,,,,,,,
"AL",,,"Jeudi 14","t.n.c",,"Saint-Célerin","0 €","C",,"LES HABITS DU DIMANCHE","chanson",,,,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 14","18h30","Parc de L'Épine",,"0 €","sv","Movais Elèves","Compagnie Sécateur","Théâtre dessins dès 10 ans",,,,,,,"https://www.facebook.com/ciesecateur",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 14","20h","Parc de L'Épine",,"0 €","sv","Appuie Toi sur Moi","Cirquons Flex","Cirque Endémique de la Réunion",,,,,,,"www.cirquonsflex.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 14","21h","Parc de L'Épine",,"0 €","sv","A(AP)TRIDES","Cie La Buse","Théâtre de rue",,,,,,,"https://www.facebook.com/Compagnie-LA-BUSE",,,
"JB","Boeuf musical du Pilier","jazz & more","Jeudi 21","20h30","Le Pilier Rouge",,"au chapeau","c",,"Deve Golitin, T. Renou, J-E Doucet",,,,,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 21","19h","Ecole Garnier-Pagès",,"0 €","sv","Couverture","Compagnie Ecart","Théâtre d'objet dansé",,,,,,,"https://cieecart.wixsite.com/couverture",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 21","20h","Ecole Garnier-Pagès",,"0 €","sv","Voyages Capel","Cie DBK","Arts de la rue",,,,,,,"https://fr-fr.facebook.com/compagnie.dbk",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 21","21h","Ecole Garnier-Pagès",,"0 €","sv","Les Petits Duos","Compagnie 29x27","Danse autour de table de bistrot",,,,,,,"https://www.29x27.com",,,
"JB",,,"Jeudi 28","20h","Le Pilier Rouge",,"au chapeau","c",,"Djazarad","funk",,,,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 28","18h30","Parc de Tessé",,"0 €","sv","L'Hippodrome De Poche","Cie Lez'Arts vers","Courses Hippiques de poche dès 6 ans",,,,,,,"www.lezartsvers.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 28","20h","Parc de Tessé",,"0 €","sv","Boate/Odyssée Migratoire","Cirque Rouage","Cirque en rue",,,,,,,"https://www.cirque-rouages.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 28","21h","Parc de Tessé",,"0 €","sv","Trop Près du Mur","Typhus Bronx","Clown Caustique",,,,,,,"www.artenprod.fr/typhus-bronx/",,,
"CE",,,"Jeudi 7","19h ","L'Épicerie sur le Zinc",,"au chapeau","c",,"Complètement Pomme","reprises de Pomme",,,,,,,,,,
"CE",,,"Jeudi 7","21h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Session Musique Irlandaise",,,,,,,,,,,
"JB",,,"Jeudi 7","19h30","Le Pilier Rouge",,"au chapeau","c",,"Glück","jungle drum n' bass house acoustique",,,,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 7","18h","Jardins de La Cathédrale",,"0 €","sv","SIESTE OPERA","Musica","Musique Lyrique",,,,,,,"www.musica-lemans.fr",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 7","19h15","Parking Quinconces",,"0 €","sv","La Peur au Ventre/Solo pour Fils de Cascadeur","Compagnie Toi D'Abord","Cascade à mini moto",,,,,,,"https://cietoidabord.wixsite.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Jeudi 7","20h30","Théâtre Paul Scarron",,"0 €","sv","PUISQU'ON A TOUJOURS FAIT COMME CA","Grand Maximum","théâtre dès 10 ans",,,,,,,"www.grand-maximum.com",,,
"CE",,,"Mardi 12","20h30","L'Épicerie sur le Zinc",,"au chapeau","c",,"PARA IR quintet  ","Tango argentin",,,,,,,,,,
"JLB","Les Mardis de la Chanson","spectacle vivant","Mardi 12","20h30","Île aux Planches",,"0 €","sv","Le Mans Cité Chansons",,"Chant",,,,,,,,,,
"JLB","Les Mardis de la Chanson","spectacle vivant","Mardi 19","20h30","Île aux Planches",,"0 €","sv","Le Mans Cité Chansons",,"Chant",,,,,,,,,,
"JLB","Les Mardis de la Chanson","spectacle vivant","Mardi 26","20h30","Île aux Planches",,"0 €","sv","Le Mans Cité Chansons",,"Chant",,,,,,,,,,
"JLB","Les Mardis de la Chanson","spectacle vivant","Mardi 5","20h30","Île aux Planches",,"0 €","sv","Le Mans Cité Chansons",,"Chant",,,,,,,,,,
"JB","Only Wax All Stars",,"Mercredi 13","21h-3h","Le Barouf",,"0 €","c",,"la carotte",,"mounsif",,"dj vince",,"le toub + evenn",,,,,
"JB",,,"Mercredi 13","18h30","Le Pilier Rouge",,"0 €","c",,"Dj Social Club",,,,,,,,,,,
"JB",,,"Mercredi 13","21h","Le Zoo",,"au chapeau","c",,"Paul & Didier","folk rock blues",,,,,,,,,,
"CE","Boeuf Bal Folk ","Bal","Mercredi 6","20h ","L'Épicerie sur le Zinc",,"0 €","c",,"danses diverses",,,,,,,,,,,
"JB",,,"Mercredi 6","19h","Le Zoo",,"au chapeau","c",,"Musicos de St Co","jam session",,,,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Mercredi 6","20h30","Théâtre Paul Scarron",,"0 €","sv","PUISQU'ON A TOUJOURS FAIT COMME CA","Grand Maximum","théâtre dès 10 ans",,,,,,,"www.grand-maximum.com",,,
"AL","Un été à l'Epau",,"Samedi 16","20h30","Abbaye de l'Epau",,"0 €","c",,"Go to the dogs + Dudu Kouate","création jazz et musique sénégalaise",,,,,,,,,,
"JB",,,"Samedi 16","20h","Le Lapin Blanc",,"0 €","c",,"Puissance 4000","hip hop du futur",,,,,,,,,,
"AL","Festival A tout bout d'champ","concerts","Samedi 16","17h30",,"Chantenay-Villedieu","13/15€","c",,"La rue Ketanou","ch. fr.","Yaniss Odua","reggae, ragga","Léonie","pop","atoem","electro pop","https://www.festivalatoutboutdchamp.com/programmation",,,
"AL","Les Veillées","Arts de rue","Samedi 16","15h, 16h, 17h, 18h","Plaine de Chaoué","Allonnes","0 €","sv","[IN]TIME","Stéphane Norbert","Concert au casque dès 6 ans",,,,,,,,,,
"AL","Les Veillées","Arts de rue","Samedi 16","21h","Plaine de Chaoué","Allonnes","0 €","sv","Les brûlures","Cie Punto y Trazo","trapèze et musique live",,,,,,,,,,
"JB",,,"Samedi 2","20h","Le Lapin Blanc",,"0 €","c",,"John Maine","rock cover",,,,,,,,,,
"AL","Festival Pop au parc","concerts","Samedi 2","21h","Parc du château","Sablé-sur-Sarthe","0 €","c",,"La caravane passe","ch. gipsy","Gauvain Sers","ch.",,,,,,,,
"AL","Festival Plein Champ","Arts urbains","Samedi 2","12h-1h","Parc Gué de Maulny",,"0 €","C",,"Great Man Hiboo","Electro / hip hop","Aune","technopop","Blutch","electro / breakbeat","Ours samplus","Trip hop / electro",,,,
"JB",,,"Samedi 2","?","Tertre Rouge",,"0 €","c",,"Blokeish Tone duo","blues",,,,,,,,,,
"JB",,,"Samedi 2","20h30","L'Éolienne","Arnage","0 €","sv","La françoise des jeux","Cie La Gazinière","th. de rue et d'objets",,,,,,,,,,
"AL","Les Veillées","Arts de rue","Samedi 23","17h","Château de la Forêterie","Allonnes","0 €","sv","Monique sur les crêtes","Cie Belle Pagaille","spectacle de chemin dès 7 ans",,,,,,,,,,
"AL","Les Veillées","Arts de rue","Samedi 23","20h-22h","Château de la Forêterie","Allonnes","0 €","sv","L'agence Morin","Mic Mac Cie","petite forme participative dès 7 ans",,,,,,,,,,
"AL","Les Veillées","Arts de rue","Samedi 23","15h-17h","Esplanade Nelson Mandela","Allonnes","0 €","sv","L'agence Morin","Mic Mac Cie","petite forme participative dès 7 ans",,,,,,,,,,
"AL","La belle virée","Arts de rue","Samedi 23","15h30",,"Mézeray","au chapeau","sv","La lumière de nos rêves","Cie Qualité street","humour spirituel",,,,,,,,,,
"AL","La belle virée","Arts de rue","Samedi 23","18h",,"Mézeray","au chapeau","sv","Soaf II","Oxyput Cie","danse et théâtre",,,,,,,,,,
"AL","La belle virée","Arts de rue","Samedi 23","21h",,"Mézeray","au chapeau","sv","La Buya del Fandango","Cie La Belle Image","bal latino roots",,,,,,,,,,
"AL","Les Veillées","Arts de rue","Samedi 30","18h30","Esplanade Nelson Mandela","Allonnes","0 €","c",,"DENIS ET SON BARBARIE","chanson",,,,,,,,,,
"AL","Les Veillées","Arts de rue","Samedi 30","21h30","Esplanade Nelson Mandela","Allonnes","0 €","c",,"TROPICAL NIGHT","funk/pop",,,,,,,,,,
"CE","Le Son des Cuivres","Musiques cuivrées","Samedi 9","14h à 1h","Espace Saugonna","Mamers","0€/15 à 20€","c",,"Dodécabone + Nubu + Mass Band Tribu...",,"La Caravane Passe + Sinsémilia",,,,,,,,,
