,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"JB",,,"Dimanche 12","14h","Guinguette de la Gèmerie","Arnage","0 €","c",,"Orchestre du Quai de scène",,,,,,,,,,,
"JB",,,"Dimanche 19","13h","Guinguette de la Gèmerie","Arnage","0 €","c",,"Badegna Foli","pop",,,,,,,,,,
"al",,,"Dimanche 26","22h30","chapiteau promenade Newton",,"0 €","c",,"Hyperbien","pop noise hybride",,,,,,,,,,
"TU","43e Europajazz Festival",,"Dimanche 5","12h00","Abbaye Royale de l’Epau",,"18 à 24€","c",,"AIRELLE BESSON & BENJAMIN MOUSSAY","trompette piano","AIRELLE BESSON & LIONEL SUAREZ","trompette accordéon","FATTY SE DECHAINE","ciné concert","TRY !","quartet jazz","https://www.youtube.com/watch?v=UkgLfS0CYQk","https://www.youtube.com/watch?v=2EqtpirNXyQ",,
"JB",,,"Dimanche 5","13h","Guinguette de la Gèmerie","Arnage","0 €","c",,"Babel'Est","musique de l'Est",,,,,,,"https://www.youtube.com/watch?v=5OtrQY3PPZw",,,
"JB",,,"Dimanche 5","15h-21h","Île aux Planches",,"0 €","c",,"Fakear","dj set","Majes","tech house ","Tonioh Olsen","UK house / garage","secret guest",,"https://www.youtube.com/watch?v=-zZbkPnBtS8",,,
"MG","Festival Balayvré","festival folk par Adamada","Dimanche 5","12h","salle G. Brassens","Yvré-l'Évêque","Au chapeau","c",,"Les recycleurs de son (à 17 h)",,"Duo Aqhor + Celta 12","folk","Bœuf dézingué","folk",,,"https://balayvre.wixsite.com/balayvre",,,
"JB",,,"Jeudi 16","19h","Auberge","Ruillé-en-Champagne","0 €","c",,"Syl & Sab","blues",,,,,,,,,,
"JB","Under The Trees","world music trip","Jeudi 16","20h","Le Pilier Rouge",,"au chapeau","c",,"Solinca",,"Damian G. Even",,"From Above These Clouds",,,,"https://www.facebook.com/solincamusic",,,
"CE","Apéro sur le Zinc",,"Jeudi 16","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Alba Haca","jazz/mus.du monde/ch.fr.",,,,,,,,,,
"TU","43e Europajazz Festival",,"Jeudi 2","17h00","Abbaye Royale de l’Epau",,"18 à 24€","c",,"TRIO M.O.M",,"GÉRALDINE LAURENT & FRANCOIS CORNELOUP",,"PAUL LAY TRIO « BACH’S GROOVE »",,"GÉRALDINE LAURENT QUARTET « COOKING » + MÉDÉRIC COLLIGNON + LE PEUPLE ETINCELLE",,"https://www.youtube.com/watch?v=URGaaPp7zks","https://www.youtube.com/watch?v=qIXubz8abVQ","https://www.youtube.com/watch?v=nwIaVYJm3UY",
"JB","Side Club #02","funk disco house french touch","Jeudi 2","21h","Le Barouf",,"0 €","c",,"Eden",,"Lizee",,"Knaille",,,,"https://fb.me/e/2jLbkzo3s",,,
"JB",,,"Jeudi 2","20h30","Le Pilier Rouge",,"au chapeau","c",,"Grise Lise","post rock",,,,,,,"https://www.youtube.com/watch?v=NjUZryhiX5o",,,
