festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle,artiste1,style1,artiste2,style2,artiste3,style3,artiste4,style4
,,Dimanche 13,16h30,Cité du cirque,Le Mans,4/8€,sv,Le lac des cygnes,Cie L'Eolienne,cirque,,,,,,
,,Dimanche 13,16h30,Musée de Tessé,Le Mans,tnc,c,,Fanny Azzuro,piano récital,,,,,,
,,Dimanche 13,17h,Théâtre du Passeur,Le Mans,8 €,sv,Les Séparés,Théâtre du Passeur,théâtre,,,,,,
Festival Printemps des Languages,,Dimanche 20,15h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/7/10€,sv,Le mont des Hérons,Cie. Les Volontiers,th,,,,,,
Oh Yeah! Oh Yeah!,,Dimanche 20,17h,L’Alambik MJC Ronceray,Le Mans,4 à 6€,c,,Black Bones,épopée pop jeune public,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Dimanche 20,17h,Le Rabelais,Changé,4/6€,sv,Là-Haut,Teatro All'improvviso,sp. dessiné >3 ans,,,,,,
,,Dimanche 27,16h30,Cité du cirque,Le Mans,4/8€,sv,Projet grand-mère,Cie Un loup pour l'homme,cirque,Cuir,Cirque,,,,
,,Dimanche 27,17h,Théâtre du Passeur,Le Mans,8/10€,sv,Du sang sur ma tartine,Cie Atetc,théâtre Adulte,,,,,,
,,Dimanche 27,15h,Théâtre Municipal,Mamers,tnc,sv,Les desssous entendus,Les tréteaux de Malestable,théâtre,,,,,,
American Songs,,Dimanche 6,17h,Église St. Aldric,Le Mans,15€ (0€ - 12 ans),c,,Chœur Résonnances,de la Louisiane à Broadway,,,,,,
,,Dimanche 6,15h,Espace Saugonna,Mamers,32 €,sv,La cuisine au beurre... ou à l'huile,Association Bourvil et compagnie,théâtre,,,,,,
Im Abendsonnendufte,,Dimanche 6,16h,La Fonderie,Le Mans,5 €,c,,Ensemble Offrandes/ PESSV / Conservatoire du Mans,Gustav Mahler création collective,,,,,,
,,Dimanche 6,18h-20h,Le Rabelais,Changé,n.c,sv,Un air de famille,La teme cie,theatre,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Dimanche 6,17h,Le Rabelais,Changé,4/6€,sv,Mes nouvelles chaussures,Cie l'Home Dibuxat,théâtre d'objets >3 ans,,,,,,
,,Dimanche 6,15h,Salle des fêtes,Neufchâtel-en-Saosnois,tnc,sv,Les desssous entendus,Les tréteaux de Malestable,théâtre,,,,,,
