"initiales","festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"JLB",,,"Dimanche 16","17h30","Théâtre du Passeur",,"au chapeau","sv","Rendez-vous Contes",,"contes",,,,,,,,,,
"TU",,,"Dimanche 2","17h","Jardins de Bellegarde","Savigné-l'Évêque","5/8/10€","sv","L'Été des Charognes","Cie À Trois Branches","th.>12 ans",,,,,,,,,,
"BL",,,"Dimanche 2","17h","Les Jardins de Belle Garde","Savigné-l'Évêque","5/10€","sv","L'été des Charognes","A trois Branches","théâtre dès 12 ans",,,,,,,,,,
"JLB",,,"Dimanche 2","17h","Théâtre du Passeur",,"8 à 10€","sv","La Nostalgie des Blattes",,"théâtre",,,,,,,,,,
"ce",,,"Dimanche 30","17h","Blue Zinc",,"0€","sv","Bingo Drag Queen",,,,,,,,,,,,
"TU","LadyFest","Un festival #féminin & #féministe","Dimanche 9","20h","Chapêlmêle","Alençon","prix libre","sv","Concerts / spectacles / Ateliers / Expo",,,,,,,,,,,,
"TU",,,"Dimanche 9","16h30","Cité du cirque",,"4 à 8€","sv","YIN","Cie Monad","cirque tout public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/yin-2/",,,
"ce",,,"Dimanche 9","17h","La Passerelle","Connerré","0 à 5€","sv","Dédale","Cie Bissextile","danse à partir de 6 ans",,,,,,,,,,
"AT",,,"Dimanche 9","16h30","Le Courmesnil","Loué","0€ Résa: 02.43.39.99.99","sv","Blanche neige","I. Sebaha","conte dès 4 ans",,,,,,,"https://www.culturelbn.fr/saison-culturelle/09-0ct-blanche-neige/",,,
"zz",,,"Dimanche 9","17h","Le Val’Rhonne","Moncé-en-Belin","5€","sv","Rond-Rond","Cie Piment",,,,,,,,,,,
"TU","Dimanches des Petites Cités de Caractère",,"Dimanche 9","19h30","Médiathèque","Saint-Calais","0€","sv","Arrêts sur Images","Cie Jamais 203","Ciné-spectacle documentaire déambulatoire",,,,,,,"https://ciejamais203.com/spectacles/arrets-sur-images/",,,
"ce",,,"Jeudi 13","19h30","Blue Zinc",,"au chapeau","c",,"Set Comedy ",,"Hendrix Coffee","trio rock/blues/jazz",,,,,,,,
"TU",,,"Jeudi 13","20h30","Comédie Le Mans",,"20€","sv","10 ans de mariage","Alil Vardar","Comédie",,,,,,,,,,
