nom_canonique,nom_normalise,style
(V)îvre,v ivre,
17ème édition du Festival de Théâtre Amateur,17eme edition du festival de theatre amateur,
1M58,1m58,
2 HEADED DOG,2 headed dog,
2'two & friends,2 two et friends,
5 façons de se tenir debout,5 facons de se tenir debout,
5es Hurlants,5es hurlants,
6RME,6rme,
7CLUB,7club,
[Sur]faces,sur faces,
A Barraud et R De Pressigny,a barraud et r de pressigny,
A TISSER QUE RYME,a tisser que ryme,
A-SIM,a sim,
A2ELE,a2ele,
AADD,aadd,
AARON,aaron,
Abaque,abaque,
ABD AL MALIK,aboulevard al malik,
Achille,achille,
ACIDITÉ,acidite,
ACNE,acne,
ACTION BEAT,action beat,
ADRIEN MONTEIRO,adrien monteiro,
Adrien WH,adrien wh,
ADRIENNE PAULY,adrienne pauly,
AFK,afk,
AIDAN BAKER,aidan baker,
AILLEURS,ailleurs,
AIRLINES,airlines,
ALBA HACA,alba haca,
Albert Meslay,albert meslay,
ALBERT ROSE,albert rose,
ALBIN DE LA SIMONE,albin de la simone,
ALDEBERT,aldebert,
ALEE,alee,
ALEXANDRE VARLET,alexandre varlet,
ALEXIS HK,alexis hk,
Alice Illusions,alice illusions,
Alil Vardar,alil vardar,
Alkal'1,alkal 1,
ALLEBOU,allebou,
"Alouette, gentille alouette",alouette gentille alouette,
ALPHA ZAYOS,alpha zayos,
ALUK TODOLO,aluk todolo,
ALYA,alya,
Amaranta,amaranta,
AMAZING OLD CHAPS,amazing old chaps,
Ami(s),ami s,
AMNESIE,amnesie,
Among Tides,among tides,
AMOR BELHOM DUO,amor belhom duo,
Amusiquons-nous,amusiquons nous,
AN PIERLE,an pierle,
ANA,ana,
ANAÏS,anais,
ANDREAS & NICOLAS,andreas et nicolas,
Andromaque,andromaque,
ANGE,ange,
ANGIL & THE HIDDENTRACKS,angil et the hiddentracks,
Angle Mort,angle mort,
ANILAN,anilan,
ANIS,anis,
ANNA,anna,
Anne Le Merdy,anne le merdy,
ANNE-SOPHIE,anne sophie,
Annie Camacho & Philippe Corbé,annie camacho et philippe corbe,
Antigone,antigone,
Antoine 4000,antoine 4000,
APERO,apero,
APEROCK,aperock,
"Aperock et chansons, L’",aperock et chansons l’,
APES O'CLOCK,apes o clock,
API UIZ,api uiz,
APOLLO,apollo,
APOLLO NOIR,apollo noir,
APORIA,aporia,
Appelez-moi madame cette heure du matin,appelez moi madame cette heure du matin,
Apéro autour du Piano,apero autour du piano,
Apéro chansons,apero chansons,
Apéro Chant Song,apero chant song,
Apéro Jazz Manouche,apero jazz manouche,
Apéro Jazz Manouche - Scène Ouverte,apero jazz manouche scene ouverte,
Apéro Lecture,apero lecture,
Apéro mix,apero mix,
AQME,aqme,
AQUARAMA,aquarama,
AQUASERGE,aquaserge,
ARABESQUE,arabesque,
ARAKNO,arakno,
ARASTA BAZAR,arasta bazar,
ARCHIMEDE,archimede,
ARLT,arlt,
ARNAUD REBOTINI,arnaud rebotini,
ARNO,arno,
ARNO GONZALEZ,arno gonzalez,
ART MONIKS,art moniks,
ARTEN ET DAIGON,arten et daigon,
ARTHER,arther,
ARTHUR H,arthur h,
artistes de M.E.R.C.I,artistes de m e r c i,
AS DE TREFLE,as de trefle,
AS YOU WANT,as you want,
ASA,asa,
ASLEEP WITH HOPE,asleep with hope,
ASSASSIN,assassin,
Asso. théâtre de l'université du Mans,asso theatre de l universite du mans,
Association W,association w,
ASTIAN BÈS,astian bes,
ASTON VILLA,aston villa,
Atelier d'écriture,atelier d ecriture,
Atelier Dix par Dix,atelier dix par dix,
Atelier du mardi,atelier du mardi,
Atelier Hors Champ,atelier hors champ,
Atelier Théâtre Actuel,atelier theatre actuel,
Atelier théâtre de l'Université,atelier theatre de l universite,
ATOEM,atoem,
ATOM K,atom k,
ATTIC TED,attic ted,
Atum Théâtre,atum theatre,
Au Cinéma Lux,au cinema lux,
AUNE,aune,
AWH,awh,
aylo,aylo,
AYO,ayo,
AZADI QUARTET,azadi quartet,
AZEIL,azeil,
AZICMUT,azicmut,
Azuryte,azuryte,
BABASS,babass,
BABEL,babel,
Babel'Est,babel est,
BABYLON CIRCUS,babylon circus,
BACK DOOR MEN,back door men,
BACK IN THE DAYS,back in the days,
BACKSON,backson,
BAD FAT,bad fat,
BAGARRE,bagarre,
BAILA SUAVE,baila suave,
BAJKA,bajka,
BAKOUA SOUND,bakoua sound,
BAL A BAHIA,bal a bahia,
BALAFON,balafon,
BALBAZAR,balbazar,
BALDESCAL,baldescal,
BAND'ACOUSTIK,band acoustik,
BAOBAL,baobal,
Baraka Prod,baraka prod,
