nom,ville,nom_normalise,adresse_numero,adresse_voie,code_postal,latitude,longitude,geo_source,geo_precision,nom_osm,is_generic
14 hameau de verze,Saint-Rémy-du-Val,14hameauverze,14,Hameau de Verze,72600,48.351913808477,0.220231769062038,manuel,exact,,
8 rue de Cyrus,Le Mans,8ruecyrus,8,Rue de Cyrus,72000,48.0051346,0.2134966,nominatim,exact,8,
Abbaye Royale de l'Epau,Le Mans,abbayeroyaleepau,,Rue de l'Estérel,72530,47.9912478,0.2423797,nominatim,exact,Abbaye Royale de l'Épau,
Antarès,Le Mans,antares,,Rue Juan Manuel Fangio,72100,47.9561565,0.226224,nominatim,exact,Antarès,
Archives Musicales du Mans,Le Mans,archivesmusicalesmans,,,72000,47.9859416762294,0.20994415132415,nominatim,exact,8,
Arrêt saint Martin,Le Mans,arretsaintmartin,,,72000,47.985727104451,0.209514976111933,nominatim,exact,Maison d'arrêt de Laval,
Au coeur des artistes,Le Mans,coeurartistes,17,Rue Gambetta,72000,48.0048597,0.1942828,nominatim,exact,Au cœur des artistes,
Auberge,Le Mans,auberge,72,Cour Saint-Victeur,72000,48.0071003,0.1906492,nominatim,exact,Auberge de la Fontaine,
Aux 3 Brasseurs,Le Mans,3brasseurs,,Rue Jean de Vignolles,72650,48.0467553,0.1720127,nominatim,approximate,3 Brasseurs,
Baccara La Sirène,Le Mans,baccarasirene,2,Rue Marchande,72000,48.006312764925,0.198720747621314,manuel,exact,Au Baccara,
Bar à Z’Arts,La Flèche,barz’arts,,Place de l'Hôtel de Ville,72200,47.7285228,0.5734835,nominatim,approximate,Café des Arts,
Bar de la Rotonde,Le Mans,barrotonde,,Giratoire de la Rotonde,72100,47.9573643,0.1986721,nominatim,approximate,Giratoire de la Rotonde,
Bar des sports,Le Mans,barsports,,Rue Principale,72380,48.1495581,0.1322235,nominatim,exact,Bar des sports,
Bar l'Olivier,Le Mans,barolivier,,Place George Washington,72000,47.9959093,0.2029105,nominatim,exact,L'Olivier,
Bars et restaurants,Le Mans,barsetrestaurants,,,72000,48.0073849,0.1967849,nominatim,city,Le Mans,
Base de loisirs,Lavaré,baseloisirs,,,,48.0539923,0.6525776,nominatim,exact,Base de Loisirs Lavaré,
Bât. H rue Maurice Ravel,Allonnes,bathruemauriceravel,,Rue Maurice Ravel,72700,47.9699605939392,0.161753205988298,manuel,exact,,
Bateau Lavoir Café,Le Mans,bateaulavoircafe,105 bis,Grande Rue,72000,48.0068338884214,0.195012999875588,manuel,exact,,
Beaux-Arts,Le Mans,beauxarts,,Place des Thermes,72000,48.0063067,0.1961357,nominatim,exact,École supérieure des beaux-arts,
Bibliotheque,Savigné-l'Évêque,bibliotheque,,,,48.0773296,0.2962126,nominatim,city,Savigné-l'Évêque,1
Bibliothèque,Bouloire,bibliotheque,,,,47.9724995,0.5524301,nominatim,city,Bouloire,1
Bibliothèque,Château-du-Loir,bibliotheque,,,,47.6965942,0.4159617,nominatim,exact,Bibliothèque-ludothèque,1
bibliothèque,La Chapelle-Saint-Aubin,bibliotheque,,,,48.0341335,0.1600629,nominatim,city,La Chapelle-Saint-Aubin,1
bibliothèque,La Flèche,bibliotheque,,,,47.742358,0.0569718,nominatim,exact,Bibliothèque,1
Bibliothèque,La Guierche,bibliotheque,,,,48.1132085,0.1943092,nominatim,city,La Guierche,1
Bibliothèque,Le Mans,bibliotheque,,,,48.0247785,0.3324378,nominatim,exact,Bibliothèque,1
Bibliothèque,Moncé en Belin,bibliotheque,,,,47.8941045,0.2038619,nominatim,city,Moncé-en-Belin,1
Bibliothèque,Saint-Calais,bibliotheque,,,,47.9206266,0.7430906,nominatim,exact,Musée-Bibliothèque,1
Bibliothèque,Saint-Georges-le-Gaultier,bibliotheque,,,,48.2968771,-0.1061149,nominatim,city,Saint-Georges-le-Gaultier,1
Bibliothèque,Sainte-Jamme-sur-Sarthe,bibliotheque,,,,48.1415274,0.1654889,nominatim,exact,Bibliothèque municipale,1
Bibliothèque,Savigné-l'Évêque,bibliotheque,,,,48.0773296,0.2962126,nominatim,city,Savigné-l'Évêque,1
Bibliothèque universitaire,Le Mans,bibliothequeuniversitaire,,Boulevard Paul d'Estournelles de Constant,72000,48.0160219,0.1605519,nominatim,exact,Bibliothèque universitaire,
Bières et Chopes,Le Mans,bieresetchopes,,Ligne droite des Hunaudières,72100,47.9529814,0.2291927,nominatim,exact,Bières et Chopes,
Bistro Broc Café,Le Mans,bistrobroccafe,,Boulevard des Ravalières,72560,47.9773437,0.2716957,nominatim,exact,Bistro Broc Café,
Bld Winston Churchill,Le Mans,bldwinstonchurchill,,Boulevard Winston Churchill,72000,48.0073849,0.1967849,manuel,exact,,
Blue Zinc,Le Mans,bluezinc,45,Avenue de la Libération,72000,48.0058613,0.1890035,nominatim,exact,Blue Zinc,
Boire du Bon,Le Mans,boirebon,,Rue du Monnet,72190,48.0378706,0.1880358,nominatim,exact,Boire du Bon,
Bords de l'Huisne,Le Mans,bordshuisne,,Boulevard Winston Churchill,72100,47.9907146,0.2199553,nominatim,exact,Bords de l'Huisne,
Brasserie Mage Malte,Mamers,brasseriemagemalte,109,Rue Charles Granger,72600,48.3561295160324,0.36801919128359,manuel,exact,,
Brasserie Septante-Deux,Le Mans,brasserieseptantedeux,21,Rue du Docteur Leroy,72000,48.0024693727632,0.196207617341453,manuel,exact,,
Café des Arts,La Chartre-sur-le-Loir,cafearts,5,Place de la Liberté,72340,47.7285228,0.5734835,nominatim,exact,Café des Arts,
Café des Brasseurs,Le Mans,cafebrasseurs,,,,48.0467553,0.1720127,nominatim,approximate,3 Brasseurs,
Café Folk,Le Mans,cafefolk,9,Rue du Cornet,72000,48.0049184,0.1953471,nominatim,exact,Cafe Folk,
Café théatre Éolienne,Arnage,cafetheatreeolienne,,,72230,47.9370691716989,0.185093001101646,nominatim,exact,,
Camion-théâtre,Le Mans,camiontheatre,,,,48.0073849,0.1967849,nominatim,city,Le Mans,
Campus de l'université,Le Mans,campusuniversite,,,,48.0171041,0.1626348,nominatim,approximate,Campus de l'Université du Mans,
Carré Plantagenêt,Le Mans,carreplantagenet,2,Rue Claude Blondeau,72000,48.0071116,0.1981579,nominatim,exact,Musée Jean-Claude-Boulard / Carré Plantagenêt,
Casa Minga,Le Mans,casaminga,,Rue Nationale,72000,48.0005414,0.1985619,nominatim,exact,Casa Minga,
Cathédrale Saint-Julien,Le Mans,cathedralesaintjulien,,Place Saint-Michel,72000,48.0093011,0.198797,nominatim,exact,Cathédrale Saint-Julien,
Cave municipale,Le Mans,cavemunicipale,,,72000,48.0073849,0.1967849,nominatim,city,Le Mans,
Caveau 105,Le Mans,caveau105,105,Grande Rue,72000,48.0068179926199,0.195070203819247,nominatim,exact,,
Centre Cial les Jacobins,Le Mans,centrecialjacobins,13,Rue Claude Blondeau,72000,48.0069312661394,0.199314678456944,manuel,exact,Centre commercial Les Jacobins,
Centre Culturel,Le Mans,centreculturel,,,,48.0078156,0.2007998,nominatim,exact,Centre culturel « Les Quinconces - L'Espal »,1
Centre Culturel,Saint-Calais,centreculturel,,Pl. de L Hôtel de ville,72120,47.9206472512812,0.743201655665312,nominatim,exact,Centre Culturel,1
Centre Culturel,Vaas,centreculturel,,,,47.6678665,0.3100938,nominatim,approximate,Espace Culturel,1
Centre Culturel,Sablé-sur-Sarthe,centreculturel,16,Rue Saint-Denis,72300,47.8390305355791,-0.337960932947041,manuel,exact,Espace Culturel,1
Centre Culturel,La Ferté-Bernard,centreculturel,,Av. du Général de Gaulle,72400,48.1827124401152,0.649546850769337,manuel,exact,Espace Culturel,1
Centre des Etangs-Chauds,Le Mans,centreetangschauds,,Chemin des Étangs Chauds,72100,47.9785994,0.2425382,nominatim,approximate,Chemin des Étangs Chauds,
Centre des expositions,Le Mans,centreexpositions,,Giratoire de l'Oasis,72100,47.9607676,0.2004644,nominatim,exact,Oasis - Centre des Expositions,
Centre équestre,Le Mans,centreequestre,,Chemin Rural des Métairies,72700,47.9606038,0.1673345,nominatim,exact,Centre Équestre,
Centre hospitalier,Le Mans,centrehospitalier,,Avenue Rubillard,72000,48.0154142,0.1777417,nominatim,exact,Centre hospitalier du Mans,
Centre Musical International de Roussigny,Saint-Ulphace,centremusicalinternationalroussigny,,,72320,48.1648892676544,0.845048028049695,manuel,exact,Centre Musical International de Roussigny,
Centre Social Mazagran,Le Mans,centresocialmazagran,,,,47.9712089,0.2128648,nominatim,approximate,Centre social des quartiers sud,
Centre St Christophe,La Chapelle-Saint-Aubin,centrestchristophe,,Chemin de Beauchene,72650,48.039266,0.1519688,nominatim,exact,Centre Saint-Christophe,
Centre Ville,Le Mans,centreville,,Place de la République,72000,48.0041261,0.1964694,nominatim,exact,Place de la République,
Chapelle de l'Oratoire,Le Mans,chapelleoratoire,,Rue Montesquieu,72000,48.0103371,0.2005372,nominatim,exact,Chapelle de l'Oratoire,
Chapelle Sainte Cécile,Le Mans,chapellesaintececile,,,,48.1195362,0.1812042,nominatim,approximate,Rue de la Chapelle Sainte-Anne,
Chapêlmêle,Alençon,chapelmele,,,61000,48.4377527,0.0704145,nominatim,exact,La Chapêlmèle,
Chapiteau,Le Mans,chapiteau,6,Boulevard Winston Churchill,72100,47.9865185,0.2127646,nominatim,exact,Le châpiteau,
Chapiteau bleu promenade Newton,Le Mans,chapiteaubleupromenadenewton,,Promenade Newton,72000,47.9874026929278,0.219866163054687,manuel,exact,,
Chapiteau bulle promenade Newton,Le Mans,chapiteaubullepromenadenewton,,Promenade Newton,72000,47.9873525018594,0.219941287567278,manuel,exact,,
Chapiteau du parc de Casablanca,Le Mans,chapiteauparccasablanca,,Rue de Casablanca,72000,48.0151797810582,0.230821110746493,manuel,exact,,
Chapiteau promenade Newton,Le Mans,chapiteaupromenadenewton,,Promenade Newton,72000,47.9873525018594,0.219941287567278,manuel,exact,,
"Chapiteau, parc de l'Epine",Le Mans,chapiteauparcepine,,Allée de Cannes,72000,48.0180809360434,0.178740280161252,manuel,exact,,
Château de Courtanvaux,Bessé-sur-Braye,chateaucourtanvaux,,,72310,47.8441875,0.7355992,nominatim,exact,Château de Courtanvaux,
Château de la Forêterie,Le Mans,chateauforeterie,,Chemin des Métairies,72700,47.9619338,0.1716336,nominatim,exact,Château de la Forêterie,
Chez Marcelle,Le Mans,chezmarcelle,,Rue des Ponts Neufs,72000,48.0065772,0.1981638,nominatim,exact,Chez Marcelle,
Chope et Compagnie,Saint-Saturnin,chopeetcompagnie,3,Rue des Petites Marniéres,72650,48.0467189990913,0.169825795725923,nominatim,exact,Chope et Compagnie,
Chope et Compagnie Le Mans Nord,Saint-Saturnin,chopeetcompagniemansnord,3,Rue des Petites Marnières,72650,48.0467189990913,0.169825795725923,manuel,exact,Chope & Compagnie,
Chope et Compagnie Le Mans Sud,Le Mans,chopeetcompagniemanssud,14,Bd René Cassin,72000,47.9802469528478,0.196176954063661,manuel,exact,Chope & Compagnie,
Chorus,Le Mans,chorus,,Place de la République,72000,48.0038380128902,0.195650270414633,manuel,exact,,
CHS,Allonnes,chs,20,Av. du 19 Mars 1962,72700,47.9592729252058,0.16381661333794,manuel,exact,,
Cinéma le Français,Le Mans,cinemafrancais,,Rue Gambetta,72000,48.005512517726,0.193236059320388,manuel,exact,,
Cinéma Le Kid,La Flèche,cinemakid,,,,47.6992923,-0.0758035,nominatim,exact,Cinéma le Kid,
Cinéma le Royal,Le Mans,cinemaroyal,,Avenue Félix Géneslay,72100,47.9687504,0.2040136,nominatim,exact,Le Royal,
Cinéma Rex,Mamers,cinemarex,2,Rue de la Gare,72600,48.3473279430055,0.364700949432122,nominatim,exact,Cinema Rex,
Circuit Bugatti,Le Mans,circuitbugatti,,Allée du Château du Houx,72100,47.9571572,0.2161411,nominatim,exact,Circuit Bugatti,
Circuit des 24 heures,Le Mans,circuit24heures,,Passerelle Dunlop,72100,47.9578006,0.2125049,nominatim,exact,Circuit des 24 Heures du Mans,
Cirque Mimulus,Fresnay-sur-Sarthe,cirquemimulus,,Place de la Gare,72130,48.2814645674503,0.0298359224983774,manuel,exact,,
Cité du cirque & promenade Newton,Le Mans,citecirqueetpromenadenewton,,,,47.9860917,0.2120548,nominatim,approximate,Le Plongeoir - Cité du Cirque,
Cité Plantagenêt,Le Mans,citeplantagenet,20,Rue des Chanoines,72000,48.008836,0.1971929,nominatim,exact,Cité Plantagenêt,
Club La Suite 72,Le Mans,clubsuite72,123,Avenue de la Libération,72000,48.0040684860758,0.186919540225561,manuel,exact,Discothèque La Suite,
Collégiale Saint-Pierre-la-Cour,Le Mans,collegialesaintpierrecour,,,,48.0070847,0.1968794,nominatim,exact,Collégiale Saint-Pierre-la-Cour,
Comédie Le Mans,Le Mans,comediemans,37,Rue nationale,72000,47.9999282792832,0.19922430212825,manuel,exact,,
Comissariat,Le Mans,comissariat,,,72000,48.0073849,0.1967849,nominatim,city,Le Mans,
Comité des fêtes,Le Mans,comitefetes,,Cour des Érables,72100,47.9789319,0.2315588,nominatim,exact,Association du Comité des Fêtes des Bruyères,
Complexe culturel Atlantis,Saint-Cosme-en-Vairais,complexeatlantis,,,,48.2739193,0.4598296,nominatim,exact,Complexe culturel Atlantis,
Conservatoire,Le Mans,conservatoire,,Escalier de la Pierre de Tucé,72000,48.008326,0.1960978,nominatim,exact,"Conservatoire à rayonnement départemental de musique, d'art dramatique et de danse du Mans",
CPFI,Le Mans,cpfi,11,Rue des Frères Gréban,72000,48.0055169,0.1892603,nominatim,exact,Centre du Patrimoine de la Facture Instrumentale,
Cri-Cri Plage,Solesmes,cricriplage,,,,47.8512165,-0.3070613,nominatim,exact,Cri-Cri Plage,
CTTM,Le Mans,cttm,20,Rue Thalès de Milet,72000,48.0189217,0.15926,nominatim,exact,CTTM,
Derrière le complexe R. Garnier,Allonnes,derrierecomplexergarnier,13,Avenue Charles de Gaulle,72700,47.9727682076964,0.159647541953421,manuel,exact,,
Domaine de la Gandonnière,Champgenéteux,domainegandonniere,,,,48.2812966,-0.4001172,nominatim,exact,Le Domaine,
Domaine du Gasseau,Saint-Léonard-des-Bois,domainegasseau,,,,48.3598847,-0.0769569,nominatim,exact,Domaine du Gasseau,
Dôme Sonore,Le Mans,domesonore,,,72000,48.0073849,0.1967849,nominatim,city,Le Mans,
École Camille Claudel,Le Mans,ecolecamilleclaudel,17,Rue d'Helsinki,72000,48.0191993,0.2118961,nominatim,exact,École élémentaire Camille Claudel,
École de l'Épau,Le Mans,ecoleepau,,,,47.9869475,0.2799148,nominatim,exact,École élémentaire de l'Épau,
École de musique de Saint Saturnin,Le Mans,ecolemusiquesaintsaturnin,,,,48.0148983,0.1543145,nominatim,approximate,Institut technologique européen des métiers de la musique,
École Garnier-Pagès,Le Mans,ecolegarnierpages,,Rue Garnier Pagès,72000,47.9940853,0.1747873,nominatim,exact,École élémentaire Garnier-Pages,
École Jean Mermoz,Le Mans,ecolejeanmermoz,,Rue du Capitaine Ferber,72100,47.9677189,0.2048675,nominatim,exact,École élémentaire Jean Mermoz,
École Maternelle des Maillets,Le Mans,ecolematernellemaillets,35B,Rue des Fontenelles,72000,48.0175484,0.2137524,nominatim,exact,École maternelle des Maillets,
École Philippeaux,Le Mans,ecolephilippeaux,,Rue de Préau,72100,47.987632,0.2074972,nominatim,exact,École élémentaire Pierre Philippeaux,
École primaire Montaigu,Le Mans,ecoleprimairemontaigu,,,,48.008821,0.0697157,nominatim,approximate,École primaire,
École Supérieure d'Art et de Design,Le Mans,ecolesuperieureartetdesign,,,,48.0189593,0.1576816,nominatim,approximate,École nationale supérieure d'ingénieurs du Mans,
Eglise,Brette-les-Pins,eglise,,,,47.9131644,0.3381217,nominatim,exact,Église Saint-Martin,1
Eglise,Champagné,eglise,,,,48.0261257149857,0.332801453818514,nominatim,exact,Eglise (St Charles),1
Eglise,La Bazoge,eglise,,,,48.0993272,0.1552981,nominatim,exact,Rue de l'Église,1
Eglise,Montval-sur-Loir,eglise,,,,47.6939067,0.4187247,nominatim,exact,Église Saint-Guingalois,1
Église,Arnage,eglise,,,,47.9307246,0.18456,nominatim,exact,Place de l'Église,1
Église,Bonnétable,eglise,,,,48.1744415,0.4291123,nominatim,exact,Église,1
Église,Brette-les-Pins,eglise,,,,47.9131644,0.3381217,nominatim,exact,Église Saint-Martin,1
Église,Changé,eglise,,,,47.9875117,0.2820787,nominatim,exact,Église,1
Église,Chantenay-Villedieu,eglise,,,,47.939198,-0.1644061,nominatim,exact,Église Saint-Georges,1
Église,Connerré,eglise,,,,48.0597754,0.4932309,nominatim,exact,Rue de l'Église,1
Église,Coulaines,eglise,,,,48.0238354,0.2048118,nominatim,exact,Église Saint-Nicolas,1
Église,Courceboeufs,eglise,,,,48.1367056,0.2867853,nominatim,exact,Église,1
Église,Courcival,eglise,,,,48.2292186,0.3962813,nominatim,exact,Église Saint-Brice,1
Église,Dollon,eglise,,,,48.0387007,0.5868168,nominatim,exact,Place de l'Église,1
Église,Fercé-sur-Sarthe,eglise,,,,47.90155,-0.0308953,nominatim,exact,Place de l'Église,1
Église,La Ferté-Bernard,eglise,,,,48.1861915,0.6531759,nominatim,exact,Église Notre-Dame des Marais,1
Église,La Flèche,eglise,,,,47.8385562,-0.3301195,nominatim,exact,Église,1
Église,La Suze-sur-Sarthe,eglise,,,,47.8896601,0.0274651,nominatim,exact,Église,1
Église,Lavaré,eglise,,,,48.053914,0.6456325,nominatim,exact,Église Saint-Pierre,1
Église,Le Mans,eglise,,,,47.8297945,0.2728886,nominatim,exact,Église,1
Église,Mamers,eglise,,,,48.1744415,0.4291123,nominatim,exact,Église,1
Église,Montval-sur-Loir,eglise,,,,47.6939067,0.4187247,nominatim,exact,Église Saint-Guingalois,1
Église,Mulsanne,eglise,,,,47.9056557,0.2496594,nominatim,exact,Rue de l'Église,1
Église,Poillé-sur-Vègre,eglise,,,,47.919614,-0.2651708,nominatim,exact,Impasse de l'Église,1
Église,Rouessé-Vassé,eglise,,,,48.1593255,-0.1993965,nominatim,exact,Place de l'Église,1
Église,Saint Pierre des Ormes,eglise,,,,48.3064828,0.4219807,nominatim,exact,Église Saint-Pierre,1
Église,Saint Saturnin,eglise,,,,48.0582464757113,0.152086572789397,nominatim,exact,Église Notre-Dame,1
Église,Saint-Mars-la-Brière,eglise,,,,48.0290708,0.3712418,nominatim,exact,Place de l'Église,1
Église,Saint-Vincent-des-Prés,eglise,,,,48.2960981,0.3854327,nominatim,exact,Église Saint-Viventien,1
Église,Savigné-l'Évêque,eglise,,,,48.0772719,0.2969996,nominatim,exact,Place de l'Église,1
Église,Sillé le Guillaume,eglise,,,,48.184581,-0.1265121,nominatim,exact,Église Notre-Dame de L'Assomption,1
Église,Tresson,eglise,,,,47.903532,0.575016,nominatim,exact,Église Saint-Martin,1
Église,Vancé,eglise,,,,47.831845,0.6468686,nominatim,exact,Église Saint-Martin,1
Église,Volnay,eglise,,,,47.9326369,0.4680528,nominatim,exact,Église,1
Église,Yvré-l'Évêque,eglise,,,,48.0136832,0.2717178,nominatim,exact,Église Saint-Germain,1
Église d'Arnage,Le Mans,eglisearnage,,Place de l'Église,72230,47.9307271,0.1845488,nominatim,exact,Place de l'Église,
Église de Bonnétable,Bonnétable,eglisebonnetable,,,72110,48.1744415,0.4291123,nominatim,exact,Église,
Eglise de Chevillé,Chevillé,eglisecheville,,Place du Café,72350,47.9482853,-0.2235765,nominatim,exact,Église Notre-Dame,
