variante,lieu_nom
108 - cent huit,Le 108
26 rue Gambetta (ancien ciné le Français),Le Français
"8, rue de Cyrus",8 rue de Cyrus
Abbaye de l'Epau,Abbaye Royale de l'Epau
Abbaye de l'Épau,Abbaye Royale de l'Epau
Abbaye royale de l'Épau,Abbaye Royale de l'Epau
Abbaye Royale de l’Epau,Abbaye Royale de l'Epau
"Au coeur des artistes, 14 rue Barbier",Au coeur des artistes
Bar la Rotonde,Bar de la Rotonde
Bar le Lezard,Le Lézard
bar le Lezard,Le Lézard
bar Le Palais,Le Palais
Bar Le Palais Le Mans,Le Palais
Bar le Passeport,Le Passeport
bar le Passeport,Le Passeport
Cabaret Le Patis,Le Pâtis
Capitainerie,La Capitainerie
Castelorienne,La Castélorienne
Chapelle de l'Oratoire du lycée Montesquieu,Chapelle de l'Oratoire
Chapiteau du Plongeoir,Le chapiteau du Plongeoir
chapiteau du plongeoir,Le chapiteau du Plongeoir
chapiteau parc de l'Epine,"Chapiteau, parc de l'Epine"
Chapiteau parc de l'Épine,"Chapiteau, parc de l'Epine"
Chapiteau plongeoir,Le chapiteau du Plongeoir
"Chapiteau, parc de Casablanca",Chapiteau du parc de Casablanca
Circuit de la Biere,Le Circuit de la Bière
Cité du cirque,La Cité du cirque
"Comédie, 37 rue nationale",Comédie Le Mans
CFPI,CPFI
CPFI (11 rue des Fr.Gréban),CPFI
Esp. H. Salvador,Espace Henri Salvador
Henri Salvador Coulaines,Espace Henri Salvador
S. Henri Salvador,Espace Henri Salvador
Esp. Henri Salvador,Espace Henri Salvador
Esp. culturel Henri Salvador,Espace Henri Salvador
E. Salvador,Espace Henri Salvador
Esp.Salvador,Espace Henri Salvador
Henri Salvador,Espace Henri Salvador
Espace Salvador,Espace Henri Salvador
Esp. Salvador,Espace Henri Salvador
Espace culturel Scélia,Espace Scélia
Espace Le Narais,Espace du Narais
Eve,EVE - Scène universitaire
FIAA,FIAA Le Mans
Guinguette des Tanneries,La guinguette des Tanneries
Il était une fois,Il était une fois...
Ile aux Planche,L'île aux Planches
Île aux Planches,L'île aux Planches
Île aux planches,L'île aux Planches
inc,l.n.c
Jardin de la cathédrale,Jardins de la cathédrale
Jardins de Bellegarde,Les Jardins de Belle Garde
Jardins des plantes,Jardin des Plantes
L'Alambik,L'Alambik MJC Ronceray
L'Athena,Centre Culturel Athéna
L'&cluse,Théâtre de l'Écluse
L'Ecluse,Théâtre de l'Écluse
L'Écluse,Théâtre de l'Écluse
L’Entracte,L'Entracte
L’Eolienne,L'Éolienne
L'Ilotco,L'Îlot Co
L'ÎlotCo,L'Îlot Co
"L'IlôtCo, Lieu-dit Le Gué Perroux",L'Îlot Co
L’Oasis,L'Oasis
La Bertoche,Théâtre de la Bertoche
La Brass'vie,Le Brass'vie
bar Le Viking's,Le Viking's
La Cité du Cique,La Cité du cirque
La Peniche,La Péniche Excelsior
La Péniche,La Péniche Excelsior
Le Cournesnil,Le Courmesnil
"Le kiosque à musique, jardin des plantes",Kiosque du jardin des Plantes
Le Lodge,The Lodge
"Le Mans Innovation (2ème étage), 57 Bd Demorieux",Le Mans Innovation
Le PCV,Le Passeport
le PCV,Le Passeport
Le Plongeoir - Cité du Cirque,Le Plongeoir
Le Val’Rhonne,Le Val'Rhonne
Les Cineatses,Les Cinéastes
Les Saunières,Les Saulnières
lnc,l.n.c
Maison de l'Eaumaison de l'eau,Maison de l'Eau
Le Scarron,Théâtre Paul Scarron
Maison de la Biennale (théâtre Paul Scarron),Théâtre Paul Scarron
Maison de quartier G. Moustaki,Maison de quartier Georges Moustaki
Maison de quartier Les Ardrières,Maison de quartier Les Ardriers
maison quartier l'oiselière,Maison de quartier l'Oiselière
Médiathèque Aragon,Médiathèque Louis Aragon
Médiathèque G. Sand,Médiathèque George Sand
MJC J. Prevert,MJC Prevert
MJC J.Prevert,MJC Prevert
MJC Jacques Prévert,MJC Prévert
p. rotonde du CLOUS,Parking rotonde du CROUS
Parc de l'Épne,Parc de l'Épine
Parc Gué de Maulny,Parc du Gué de Maulny
parc Gué Maulny,Parc du Gué de Maulny
Parking aérien Les Qinconces,Parking aérien des Quinconces
PCC,Palais des Congrès
PCV,PCC
Peniche,La Peniche Excelsior
PENICHE EXCELSIOR,La Peniche Excelsior
Peniche Excelsior,La Peniche Excelsior
Péniche Excelsior,La Péniche Excelsior
Place de la République (déambulation),Place de la république
Plaine Ronceray,Plaine du Ronceray
MJC Plaine du Ronceray Le Mans,Plaine du Ronceray
Prieuré de Mayanne,Prieuré de Mayenne
Quai des Arts,Le Quai des Arts
R-Volt Club,R-Volt
rue blondeau,Rue Claude Blondeau
S.Jean Carmet,Salle Jean Carmet
S. Jean Carmet,Salle Jean Carmet
S.Carmet,Salle Jean Carmet
Complexe Jean Carmet,Salle Jean Carmet
Salle Aimée Prilleux,Salle Aimée le Prilleux
Jean Carmet,Salle Jean Carmet
salle espace Vègre et Champagne,Espace Vègre et Champagne
salle G. Brassens,Salle Georges Brassens
Salle G. Brassens,Salle Georges Brassens
Théâtre Paul Scarron),Théâtre Paul Scarron
Labo Sonore,Le Labo Sonore
Le Caveau 105,Caveau 105
Filo Folie's,Les Filo Folie's
Le Washington DC,Washington DC
L’Inventaire,L'Inventaire
L’Alambik MJC Ronceray,L'Alambik MJC Ronceray
MJC Ronceray,L'Alambik MJC Ronceray
Le Vaud’,Le Vaud'
Théâtre Scarron,Théâtre Paul Scarron
L’Alambik!,L'Alambik MJC Ronceray
Scelia,Espace Scélia
Théâtre de l'Ecluse,Théâtre de l'Écluse
Th. Chaoué,Théâtre de Chaoué
Théâtre de l’Écluse,Théâtre de l'Écluse
Théâtre de l’Acthalia,Théâtre de l'Acthalia
Centre culturel J.Le Theule,Scène Joël Le Theule
Centre J. Le Theule,Scène Joël Le Theule
Scène J.Le Theule,Scène Joël Le Theule
Le Narais,Espace du Narais
Centre Culturel Joël Le Theule,Scène Joël Le Theule
Le Patis Le Mans,Le Pâtis
"L'Inventaire, MJC Prévert",'L'Inventaire
Le P.C.V.,Le Passeport
P.C.V.,Le Passeport
pub Le Terminus,Le Terminus
Aux Vickings,Le Viking's
