nom,ville,latitude,longitude,geo_source,geo_precision
Le Happy Days, Le Mans,48.0073849,0.1967849,nominatim,city
Bât. H rue Maurice Ravel,Allonnes,47.969283,0.1578819,nominatim,city
CHS,Allonnes,47.2833177,0.054068,nominatim,exact
EPSM de la Sarthe,Allonnes,47.9592411,0.162224,nominatim,exact
Guinguette,Allonnes,47.969283,0.1578819,nominatim,city
Gymnase André Malraux,Allonnes,47.9555768,0.167663,nominatim,exact
La Péniche Excelsior,Allonnes,47.969283,0.1578819,nominatim,city
Les Métairies,Allonnes,47.9598958,0.173158,nominatim,exact
Lycée André Malraux,Allonnes,47.9571368,0.1671889,nominatim,exact
Maison des arts,Allonnes,47.9699093,0.1640865,nominatim,exact
Place du Mail,Allonnes,47.9694701,0.160113,nominatim,exact
Salle G. Moquet,Allonnes,47.969283,0.1578819,nominatim,city
Salle Jean Carmet,Allonnes,47.9670232,0.1608339,nominatim,exact
V&B,Allonnes,47.9753232,0.1515879,nominatim,exact
derrière le complexe R. Garnier,Allonnes,47.969283,0.1578819,nominatim,city
L'Éolienne,Arnage,47.9366712,0.1841403,nominatim,exact
MJC Jacques Brel,Arnage,47.9269544,0.1889245,nominatim,city
Square Montreuil,Bouloire,47.9721857,0.5520972,nominatim,exact
Le Petit Pousset,Chahaignes,47.7416369,0.5149056,nominatim,city
Eglise de Chevillé,Chevillé,47.9482853,-0.2235765,nominatim,exact
L'Arena,Coulaines,48.0306873,0.2068691,nominatim,city
L'Herberie,Coulaines,48.0235536,0.2007431,nominatim,exact
Maison des chemins creux,Coulaines,48.0288184,0.2102631,nominatim,exact
Parc de la Gironde,Coulaines,48.025249,0.2073304,nominatim,exact
Place de l'Europe,Coulaines,48.0227483,0.2079682,nominatim,exact
Salle Les Sources,Coulaines,48.0306873,0.2068691,nominatim,city
Studio 101,Coulaines,48.0275835,0.1998299,nominatim,exact
HangArt,Coulans-sur-Gée,48.0179024,0.0083108,nominatim,exact
Salle André Voisin,Fresnay-sur-Sarthesalleandrevoisin,,,,
La Chaperie,Guécélard,47.8771768,0.1294751,nominatim,city
Le Val'Rhonne,La Bazoge,48.0989559,0.1544523,nominatim,city
Centre St Christophe,La Chapelle-Saint-Aubin,48.039266,0.1519688,nominatim,exact
Café des Arts,La Chartre-sur-le-Loir,47.7285228,0.5734835,nominatim,exact
Bar à Z’Arts,La Flèche,47.6968408,-0.0746149,nominatim,city
Lac de la Monnerie,La Flèche,47.6968408,-0.0746149,nominatim,city
Le Carroi,La Flèche,47.8134085,0.591242,nominatim,exact
Théâtre de la Halle-au-Blé,La Flèche,47.7002066,-0.0727053,nominatim,exact
Place du Kiosque,Le Lude,47.6572143,0.1551409,nominatim,city
14 hameau de verze,Le Mans,48.0073849,0.1967849,nominatim,city
8 rue de Cyrus,Le Mans,48.0051346,0.2134966,nominatim,exact
Abbaye,Le Mans,48.0017911,0.200267,nominatim,exact
Abbaye Royale de l'Epau,Le Mans,47.9912478,0.2423797,nominatim,exact
Antarès,Le Mans,47.9561565,0.226224,nominatim,exact
Archives Musicales du Mans,Le Mans,48.0073849,0.1967849,nominatim,city
Arrêt saint Martin,Le Mans,48.0073849,0.1967849,nominatim,city
Au coeur des artistes,Le Mans,48.0048597,0.1942828,nominatim,exact
Auberge,Le Mans,48.0071003,0.1906492,nominatim,exact
Aux 3 Brasseurs,Le Mans,48.0467553,0.1720127,nominatim,approximate
Baccara La Sirène,Le Mans,48.0073849,0.1967849,nominatim,city
Bar de la Rotonde,Le Mans,47.9570985,0.1992796,nominatim,approximate
Bar des sports,Le Mans,48.1495581,0.1322235,nominatim,exact
Bar l'Olivier,Le Mans,47.9959093,0.2029105,nominatim,exact
Bars et restaurants,Le Mans,48.0073849,0.1967849,nominatim,city
Base de loisirs,Le Mans,48.0073849,0.1967849,nominatim,city
Basserie Septante Deux,Le Mans,48.0073849,0.1967849,nominatim,city
Bateau Lavoir Café,Le Mans,48.0073849,0.1967849,nominatim,city
Beaux-Arts,Le Mans,48.0063067,0.1961357,nominatim,exact
Bibliothèque,Le Mans,48.0247785,0.3324378,nominatim,exact
Bibliothèque universitaire,Le Mans,48.0160219,0.1605519,nominatim,exact
Bistro Broc Café,Le Mans,47.9773437,0.2716957,nominatim,exact
Bières et Chopes,Le Mans,47.9529814,0.2291927,nominatim,exact
Blue Zinc,Le Mans,48.0058613,0.1890035,nominatim,exact
Boire du Bon,Le Mans,48.0378706,0.1880358,nominatim,exact
Bords de l'Huisne,Le Mans,47.9907146,0.2199553,nominatim,exact
Brasserie Mage Malte,Le Mans,48.0073849,0.1967849,nominatim,city
Brasserie Septante-Deux,Le Mans,48.0024436,0.1962031,nominatim,exact
CPFI,Le Mans,48.0055169,0.1892603,nominatim,exact
CTTM,Le Mans,48.0189217,0.15926,nominatim,exact
Café Folk,Le Mans,48.0049184,0.1953471,nominatim,exact
