bidul_numero,raw_text,nom,lieu_raw,ville_raw,tarif_raw,nom_spectacle,artiste,style
23,"AR+ RSW + EARTH AND FIRE, présentés par l'Association TERIAKI, Bouloire 21h, 20F",Association TERIAKI,,Bouloire,20F,,AR,
23,"AR+ RSW + EARTH AND FIRE, présentés par l'Association TERIAKI, Bouloire 21h, 20F",Association TERIAKI,,Bouloire,20F,,RSW,
23,"AR+ RSW + EARTH AND FIRE, présentés par l'Association TERIAKI, Bouloire 21h, 20F",Association TERIAKI,,Bouloire,20F,,EARTH AND FIRE,
43,"Soirée reggae avec SMALA FAMILIA (ska) + TWIRLING SOUND SYSTEM (reggae-ragga-dub), organisée par l'asso Teriaki, Le Petit Pousset, St Michel de Chahaignes 21h30, 20F",Soirée reggae organisée par l'asso Teriaki,Le Petit Pousset,St Michel de Chahaignes,20F,,SMALA FAMILIA,ska
43,"Soirée reggae avec SMALA FAMILIA (ska) + TWIRLING SOUND SYSTEM (reggae-ragga-dub), organisée par l'asso Teriaki, Le Petit Pousset, St Michel de Chahaignes 21h30, 20F",Soirée reggae organisée par l'asso Teriaki,Le Petit Pousset,St Michel de Chahaignes,20F,,TWIRLING SOUND SYSTEM,reggae-ragga-dub
67,"LÖBE RADIANT DUB SYSTEM (dub-électro) + BALISTIK (hip-hop) + YEN SOUND PROJECT (drum'n bass & jungle) + Sound system reggae/roots/dub + déco tchai shop, organisé par l'asso TERIAKI, Salle du Foyer Loisirs de Parigné-L'Evêque, 20h30, 4 et 5€ résa au 06 88 92 82 77",asso TERIAKI,Salle du Foyer Loisirs,Parigné-L'Evêque,4€ et 5€,,LÖBE RADIANT DUB SYSTEM,Dub-électro
67,"LÖBE RADIANT DUB SYSTEM (dub-électro) + BALISTIK (hip-hop) + YEN SOUND PROJECT (drum'n bass & jungle) + Sound system reggae/roots/dub + déco tchai shop, organisé par l'asso TERIAKI, Salle du Foyer Loisirs de Parigné-L'Evêque, 20h30, 4 et 5€ résa au 06 88 92 82 77",asso TERIAKI,Salle du Foyer Loisirs,Parigné-L'Evêque,4€ et 5€,,BALISTIK,hip-hop
67,"LÖBE RADIANT DUB SYSTEM (dub-électro) + BALISTIK (hip-hop) + YEN SOUND PROJECT (drum'n bass & jungle) + Sound system reggae/roots/dub + déco tchai shop, organisé par l'asso TERIAKI, Salle du Foyer Loisirs de Parigné-L'Evêque, 20h30, 4 et 5€ résa au 06 88 92 82 77",asso TERIAKI,Salle du Foyer Loisirs,Parigné-L'Evêque,4€ et 5€,,YEN SOUND PROJECT,drum'n bass & jungle
67,"LÖBE RADIANT DUB SYSTEM (dub-électro) + BALISTIK (hip-hop) + YEN SOUND PROJECT (drum'n bass & jungle) + Sound system reggae/roots/dub + déco tchai shop, organisé par l'asso TERIAKI, Salle du Foyer Loisirs de Parigné-L'Evêque, 20h30, 4 et 5€ résa au 06 88 92 82 77",asso TERIAKI,Salle du Foyer Loisirs,Parigné-L'Evêque,4€ et 5€,,Sound system reggae/roots/dub,
80,"L'asso Teriaki présente SOUL FIGHTER (dub ethnik) + IDEM (électrodub-rock), square Montreul, Bouloire 22h, 5€",L'asso Teriaki,square Montreul,Bouloire,5€,,SOUL FIGHTER,dub ethnik
80,"L'asso Teriaki présente SOUL FIGHTER (dub ethnik) + IDEM (électrodub-rock), square Montreul, Bouloire 22h, 5€",L'asso Teriaki,square Montreul,Bouloire,5€,,IDEM,électrodub-rock
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Collectif Slang,Nu-jazz
