variante,style_canonique
th.,théâtre
Th.,théâtre
th,théâtre
TH,théâtre
chanson française.,chanson française
chanson fr.,chanson française
chanson fr,chanson française
pop/rock,pop rock
rock-pop,pop rock
rock-blues,blues rock
standup,stand up
hiphop,hip-hop
musique du monde,world music
world,world music
World,world music
slam,slam poésie
SLAM,slam poésie
chanson,chanson française
CHANSON,chanson française
électronique,électro
electronic,électro
musique classique,classique
rnb,R&B
RNB,R&B
variété,variété française
VARIETE,variété française
variete,variété française
