jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
Voici les événements extraits de l'image sous forme de lignes CSV :

```csv
jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
Ve;01/07;POL'IN JAZZ BAND;jazz;Le Terminus;Le Mans;21h30;gratuit;
Ve;01/07;LES SUPREMES DINDES + LA GAILLARDE + AN LAH SHOQUE + LES BREUVACHONS;variété;Quais de l'Anille;St Calais;20h;gratuit;
Ve;01/07;MATCHBOX;blues;Le Stan;Le Mans;21h30;0€;
Sa;02/07;DANO HAIDER TRIO;blues;Le Stan;Le Mans;21h30;0€;
Sa;02/07;NO ONE IS INNOCENT + WASHINGTON DEAD CATS + HIJODATA;rock;Stade de la Pocherie;St Calais;20h30;15€ ou gratuit pour -12ans;
Sa;02/07;BROKEN STICK SOUND SYSTEM avec ZMK LION & TOMAWOK;reggae/dancehall;bar La Casa;Le Mans;4€;
Je;07/07;KOUROUDWE;percussions;PCV;Le Mans;21h;0€;
Ve;08/07;GRAND'MECQUE DES RURBOEUF + LES THANATONAUTES + MENTAT ROUTAGE + SEBKHA-CHOTT + CIE CLAQU'ETC + GENSAKU ORCHESTRA + VOX OF AN INDUSTRIAL NOWHERE;musiques nomades;Reuil;Reuil;5€;
Ve;08/07;SISTER BREAK;soul/jazz;bar La Ré Do;Sillé le Guillaume;21h;gratuit;
Sa;09/07;DJ SWEEK + GUEST;jungle/drum'n'bass;Tassillé;Tassillé;de 21h à 4h;4€;tél 06 20 89 88 80
Sa;09/07;LA CLASSE ORCHESTRE + VALENTIN + TONTON MONIK + OUTRAGE + SILVYA;rock;Stade de Souligé-sous-Ballon;Souligé-sous-Ballon;19h;4h;5€;
Di;10/07;MILITANT SOUND & BROKEN STICK;reggae/dancehall/dub;Le Backstage;Le Mans;4€;
Me;13/07;MILITANT SOUND SYSTEM;reggae;Le Backstage;Le Mans;21h;4€;
Ve;15/07;RICHARD ACCART QUARTET;jazz;L'Inventaire;Le Mans;21h;6€ à 9€;résa obligatoire
Sa;16/07;DJ LORD J;reggae;La Casa;Le Mans;21h30;0€;
Je;21/07;DJ LAURENZO;salsa;Le PCV;Le Mans;21h30;gratuit;
Je;28/07;DJ GROOM;reggae;Le PCV;Le Mans;21h30;gratuit;
Ve;19/08;DJ DOUBLE FIRE;électro festive;Le PCV;Le Mans;21h30;0€;
Sa;27/08;Festival TERIAKI;variété;La Danse du chien;Le Mans;19h;5€ à 6€;
Ve;01/07;ANAIS + KAAR KAAS SONN;chanson + rap;Salle 6 par 4;Entrammes;21h;7€;
Me;13/07;STRUP X + DJ BEATSUCKER;techno jungle;Le Mans;21h;7€;
Ve;22/07;MONTGOMERY + RILEY;rock;Le Mans;21h;7€;
Ve;12/08;PERCUBABA + LA VENGEANCE DU TIGRE;ska/reggae;Le Mans;21h;12€;
Sa;20/08;FANNY TASTIC + GUEST;rock + pop;Le Mans;21h;7€;
Me;24/08;SANTA MACAIRO ORKESTAR;fanfare déjantée;Le Mans;21h;7€;
Di;28/08;T'MP.M.;piano/percussions;Le Mans;16h;5€;
Ve;29/07;FESTIVAL LES 3 ELEPHANTS;variété;Amadou & Mariam + Chinzu + Rokia Traoré + Antibalas + Arno + The Film + High Tone + Kwal + DJ Vadim + Gomm + Pauline Croze;Le Mans;14€ à 17€;
Ve;01/07;Israël Vibration + Le Maximum Kouette + Rona Hartner & DJ Click + Smooth + No Bluff Sound + D'elph;reggae + rock alternatif + électro-tzigane + électro-soul + afro breakbeat;Festival au Foin de la Rue;St Denis de Gastines;20h;15€;
Sa;02/07;Luke + Magyd Cherfi + Balkan beat box + Idem + Polo;rock + chanson + électro-pop;Festival au Foin de la Rue;St Denis de Gastines;20h;15€;
Ve;23/07;FESTIVAL LA NUIT VERTE;variété;La Ruda + K2R Riddim + Improvisators dub + Ahimsa;Jallais;14€ à 17€;
Ve;22/07;FESTIVAL ART SONIC;variété;Tiken Jah Fakoly + Mass Hysteria + Lofofora + Svinkels + La Phaze + La Rumeur + Big Mama + N&SK + Kingston Kitchen 809 + Masnada + Sexyplode + Scenario rock + Okploide + Guns of Brixton;Briouze;14€ à 17€;
Ve;08/09;FESTIVAL LE CARREFOUR DU ROCK;variété;MATMATAH + RUDA + NO ONE IS INNOCENT + K2R RIDDIM + ETHS;L'Epinay Le Comte;17h;16€/20€ par soir et 28€/36€ les 2 soirs;
Ve;08/09;FESTIVAL LE CARREFOUR DU ROCK;variété;swing manouche, ska, reggae, dub, électro;Le Thé Vert;Nogent-le-Retrou;17h;16€/20€ par soir et 28€/36€ les 2 soirs;
Du;14/07;FESTIVAL CHAUFFER DANS LA NOIRECEUR;variété;Sergent Teyssot-Gay & Khaled Aljaramani, Présidentitchrac;Théâtre Blanche Aurore Céleste;Montmartin sur mer;17h;16€/20€ par soir et 28€/36€ les 2 soirs;
Ve;15/07;Rachid Taha + Kery James + Tagada Jones + Spoke Orchestra;variété;Aerofol + IL Fulgurante + Jon Smith & Deborah + Vive Le Rouge;Théâtre Blanche Aurore Céleste;Montmartin sur mer;17h;16€/20€ par soir et 28€/36€ les 2 soirs;
Sa;16/07;Sole + Zurribana + Orange Blossom + Experience + Shane Cough + Zeta Cancri + Sofa + Miss Hélium;variété;Horace Andy + Olli & The Bollywood Orchestra + Kaly Live Dub + Non Stop + Positive Roots Band + Gablé + None ID + The Elektrocution + V.J.;Théâtre Blanche Aurore Céleste;Montmartin sur mer;17h;16€/20€ par soir et 28€/36€ les 2 soirs;
```
Voici les événements extraits de l'image sous forme de ligne CSV :

```
Ve;08/07/2005;Cabaret de Quat'sous;théâtre musical;La Cie Comme la Lune;Le Mans;21h;6€ à 9€;résa obligatoire
Sa;02/07/2005;EXPOSITION 100 VISAGES POUR SAUVER PREVERT;exposition;MJC Jacques Prévert;Le Mans;à partir de 18h10;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;IMPRO GENSAKU;improvisation;MJC Jacques Prévert;Le Mans;à partir de 19h30;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;ORCHESTRA & JAM;orchestra;MJC Jacques Prévert;Le Mans;à partir de 21h30;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;SPECTACLE BOTANIE de KARL LUDOVIC;spectacle;MJC Jacques Prévert;Le Mans;à partir de 23h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;KARTEL DES GENS BIEN;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;YPSILON;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;MAP;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;YARDBEAT;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;DJ SONIC (Radio FG);DJ set;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;B.CHAIX;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;WILLY GATOR;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;MR BEE;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;SAILOR PALMER;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;PTIDAV;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;DOUBLE FIRE;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
Sa;02/07/2005;K.POERA;concert;MJC Jacques Prévert;Le Mans;de 18h00 à 04h00;libre;à l'initiative du Comité de soutien à la MJC Prévert
```
