jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
Ve;08/07;Cabaret de Quat'sous;théâtre musical;Cie Comme la Lune, L'Inventaire;Le Mans;21h;6€ à 9€;résa obligatoire
Ve;08/07;Festival Les Affranchis;théâtre de rue;La Flèche;Le Mans;-;gratuit;-
Sa;02/07;-;-;MJC Prévér;Le Mans;-;-;témoignage et instrument de musique
Sa;02/07/2005;EXPOSITION 100 VISAGES POUR SAUVER PREVERT;exposition;MJC Jacques Prévert;Le Mans;18h00;1€;à partir de 15h00
Sa;02/07/2005;GENSAKU ORCHESTRA;impro;MJC Jacques Prévert;Le Mans;19h00;1€;à partir de 19h00
Sa;02/07/2005;JAM;impro;MJC Jacques Prévert;Le Mans;19h00;1€;à partir de 19h00
Sa;02/07/2005;BOTANIE de KARL LUDOVIC;spectacle;MJC Jacques Prévert;Le Mans;21h00;1€;à partir de 21h00
Sa;02/07/2005;KARTEL DES GENS BIEN;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;YPSILON;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;MAP;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;YARDBEAT;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;DJ SONIC;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;B.CHAIX;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;WILLY GATOR;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;MR BEE;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;SAILOR PALMER;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;PTIDAV;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;DOUBLE FIRE;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;K.POERA;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;02/07/2005;happening & guest;concert;MJC Jacques Prévert;Le Mans;22h30;1€;à partir de 22h30
Sa;06/06;Tout'chatout trio;jonglerie burlesque;L'Epicerie du Pré;Le Mans;18h;0€;
Ma;09/06;La Marche de Koltès;théâtre;Théâtre Paul Scarron;Le Mans;20h30;6€;
Me;10/06;Des pieds et des mains;spectacle petite enfance;Espace Culturel Scelia;Sargé;16h et 17h;3€;
Me;10/06;A gauche, au fond du labo...;théâtre;Théâtre de l'Athalia;Caveau 105;21h;12€;
Ve;12/06;J'y vais ou j'y vais pas;spectacle humour;Le Patis;Le Mans;21h;8/12,5€;
Ve;12/06;Song d'une nuit d'été;théâtre;Cie de l'Antonnière;MJC Plaine du Ronceray;17h;8€;
Sa;13/06;Soirée cabaret-repas;cirque + humour;à Fresnay sur Sarthe;Fresnay sur Sarthe;20h30;5 à 8€;
Ma;16/06;Leïla;théâtre;Atelier-théâtre adulte;Malle de Pandora;MJC Ronceray;20h30;5€;
