date|event

0|▫ Comédie Le Mans // ** Https://www.16-19.fr**,    

0|▫ La piraterie // ** Https://www.lacorderaide.com/agenda**,    

0|▫ Dans l'action avec les exclus des subventions pays de la Loire // ** Https://convergences72.fr/**,    

0|▫ Les Inspirantes // ** Du 9 au 31 janvier - https://www.quinconces-espal.com/les-inspirantes_25**,    

0|▫ Malices au pays *(le festival jeune public du pays vallée de loir)* // **Du 28 janvier au 16 fevrier - https://pays-valleeduloir.fr/fileadmin/Ressources/Publication/Malices_final_WEB.jpg**,    

2|▫ ** Initiation swing**, Cité du cirque,  18h30, 0€

3|▫ **VIRÉE À DEUX**, Bistro Broc Café, Changé,  20h30, au chapeau

3|▫ **JIM FLOYD** *(dj set cold low tempo)*, Le Lézard,  22h, 0€

3|▫ **"Tourne ma neige"** Perenne Compagnie, Bibliotheque, Savigné-l'Évêque,  16h, 1 à 2€

4|▫ **LES HABITS DU DIMANCHE** *(folk)*, Bistro Broc Café, Changé,  20h30, au chapeau

4|▫ The reggae Zoo #2 *(roots, rub a dub, dancehall)* // **JUDI-K OLD CAPITAL + RUFF LINE + BROKEN STICK + YARD BEAT**, Le Zoo,  21h, 0€

4|▫ La fièvre du samedi matin // **"Invitation de Bertrand Gourdy"** Ensemble Offrandes *(mus. contemporaine)*, La Fonderie,  11h, 0€

7|▫ **Le C'est pas vrai Comedy Club** *(stand-up)*, The Lodge,  20h, 0€

8|▫ **JIMMY JAM** *(session jam + concert)*, Brasserie Septante Deux,  20h, 0€

8|▫ ** Boeuf bal folk**, Blue Zinc,  20h30, au chapeau

8|▫ **CARTE BLANCHE AU TRIO VANNIER** *(ch. fr.)*, Le Zoo,  21h, 0€

8|▫ **"Soirée Florent Pagny"** Anthony, Bistro Broc Café, Changé,  20h30, au chapeau

9|▫ **BLOKEISH TONE** *(blues rock)*, La Chicane,  19h, 0€

9|▫ **CLARENCE** *(dream pop, shoegaze/bordeaux)*, Brasserie Septante Deux,  20h30, prix libre

9|▫ **COLLECTIF RACYNE** *(dj set electro)*, Blue Zinc,  21h, au chapeau

9|▫ **"Gotainer ramène sa phrase"** théâtre musical spectaculaire, Salle Coppélia, La Flèche,  20h30, 7 à 20€

10|▫ **GASTON F**, Bistro Broc Café, Changé,  20h30, au chapeau

10|▫ **INEIGE ** *(rock)*** + HUBBLE** *(rock)*, Blue Zinc,  20h30, au chapeau

10|▫ **35 HERTZ FEATURING BUNZEN B2B KNAILLE** *(house uk garage)*, Le Barouf,  21h, 0€

10|▫ Blues Spirit // ** Jam du nouvel an**, Le Zoo,  21h, 0€

10|▫ La Perche Productions // **"Pierre Thevenoux est marrant... normalement"** Pierre Thevenoux  *(one man show)*, Les Saulnières ,  21h, 30€

11|▫ ** Session irlandaise**, Bar la rotonde, Mamers,  11h, tnc

11|▫ **TRIO PHILIPPE DUCHEMIN** *(jazz)*, Boire du bon, Saint-Pavace,  20h, 15€

11|▫ **LULU JAZZ BAND** *(jazz swing)*, Le Lapin Blanc,  20h, 0€

11|▫ **ZOUJ** *(folk funk sexy soul)*, Bistro Broc Café, Changé,  20h30, au chapeau

11|▫ **YERAO** *(métal)*** + ASLEEP WITH HOPE** *(métal)*, Blue Zinc,  20h30, au chapeau

11|▫ **THÉO MARCLAY / NUIT INCOLORE** *(musique)*, Scène J.Le Theule, Sablé-sur-Sarthe,  20h30, 13 à 25€

11|▫ **BONOME TÊTARD ** *(ch. fr.)*, Le Zoo,  21h, 0€

11|▫ **"Bouvard et Pécuchet"**  *(lecture)*, Théâtre du Passeur,  18h30, 8€

11|▫ Théâtre de l’Acthalia // **"Kessel, la liberté à tout prix"** Franck Desmedt *(th./avignon off)*, Théâtre Paul Scarron,  20h, 10 à 18€

12|▫ **SNOOP DOG** *(ouaf ouaf)*, Le Bar à Chats,  11h12, 69€

12|▫ Théâtre de l’Acthalia // **"Kessel, la liberté à tout prix"** Franck Desmedt *(th./avignon off)*, Théâtre Paul Scarron,  16h, 10 à 18€

12|▫ **"Bouvard et Pécuchet"**  *(lecture)*, Théâtre du Passeur,  17h, 8€

14|▫ ** Scène ouverte bruno et jacky**, Bistro Broc Café, Changé,  20h30, au chapeau

14|▫ **JAM JAZZ** *(session jam)*, Brasserie Septante Deux,  20h30, 0€

14|▫ **"De l'or au bout des doigts"** Fanny Bouffort *(th. d'objets +7 ans)*, Salle Jean Carmet,  18h30, 2.5 à 6€

15|▫ Tempo // ** Scène ouverte + jam**, Blue Zinc,  20h, au chapeau 

15|▫ **"Histoire à danser"** Cie Cet Eté *(jeune public)*, Le Rabelais, Changé,  10h, 4 à 6€

15|▫ Scènes Complices  // **"Révoltes ou tentavies de l'échec"** Cie les filles du renard pâle *(cirque)*, Cité du cirque,  19h, 10 à 15€

16|▫ **ALIEN TEARS** *(solo post punk cold/tours)*, Brasserie Septante Deux,  20h30, prix libre

16|▫ ** Musique irlandaise**, Blue Zinc,  21h, au chapeau

16|▫ **"Gisele Halimi, une farouche liberté"**  *(th.)*, Centre Culturel Athéna, La Ferté-Bernard,  20h, 8 à 22€

16|▫ Scènes Complices  // **" Révoltes ou tentavies de l'échec"** Cie les filles du renard pâle *(cirque)*, Cité du cirque,  20h, 10 à 15€

16|▫ **"Le Moche"** Collectif la Capsule *(th.)*, Théâtre de Chaoué, Allonnes,  20h, prix libre 

16|▫ Théâtre de l’Acthalia // **"Un parfum de vérité "** Création Acthalia *(th.)*, Théâtre Paul Scarron,  20h30, 12 à 15€

16|▫ **Le Snam Comedy club** *(humour)*, Blue Zinc,  20h30, au chapeau

16|▫ **"Le jeu de l'amour et du hasard"** Collectif Pièce Détachée *(th.)*, Théâtre de l’Écluse,  20h30, 10€ résa au 07 81 84 35 62

16|▫ **"Inconstance"** Constance *(humour)*, Salle Jean Carmet, Allonnes,  20h30, 16 à 22€

17|▫ **JOHN MAINE** *(rock cover)*, Le Lapin Blanc,  20h, 0€

