date|event

0|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Comédie Le Mans // <strong> Https://www.16-19.fr</strong></span><br>&nbsp <br>&nbsp </p>

0|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">La piraterie // <strong> Https://www.lacorderaide.com/agenda</strong></span><br>&nbsp <br>&nbsp </p>

0|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Dans l'action avec les exclus des subventions pays de la Loire // <strong> Https://convergences72.fr/</strong></span><br>&nbsp <br>&nbsp </p>

0|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Les Inspirantes // <strong> Du 9 au 31 janvier - https://www.quinconces-espal.com/les-inspirantes_25</strong></span><br>&nbsp <br>&nbsp </p>

0|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Malices au pays <em>(le festival jeune public du pays vallée de loir)</em> // <strong>Du 28 janvier au 16 fevrier - https://pays-valleeduloir.fr/fileadmin/Ressources/Publication/Malices_final_WEB.jpg</strong></span><br>&nbsp <br>&nbsp </p>

2|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Initiation swing</strong></span><br>&nbspCité du cirque <br>&nbsp18h30, 0€</p>

3|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>VIRÉE À DEUX</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

3|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>JIM FLOYD</strong> <em>(dj set cold low tempo)</em></span><br>&nbspLe Lézard <br>&nbsp22h, 0€</p>

3|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Tourne ma neige"</strong> Perenne Compagnie</span><br>&nbspBibliotheque Savigné-l'Évêque, <br>&nbsp16h, 1 à 2€</p>

4|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>LES HABITS DU DIMANCHE</strong> <em>(folk)</em></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

4|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">The reggae Zoo #2 <em>(roots, rub a dub, dancehall)</em> // <strong>JUDI-K OLD CAPITAL + RUFF LINE + BROKEN STICK + YARD BEAT</strong></span><br>&nbspLe Zoo <br>&nbsp21h, 0€</p>

4|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">La fièvre du samedi matin // <strong>"Invitation de Bertrand Gourdy"</strong> Ensemble Offrandes <em>(mus. contemporaine)</em></span><br>&nbspLa Fonderie <br>&nbsp11h, 0€</p>

7|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>Le C'est pas vrai Comedy Club</strong> <em>(stand-up)</em></span><br>&nbspThe Lodge <br>&nbsp20h, 0€</p>

8|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>JIMMY JAM</strong> <em>(session jam + concert)</em></span><br>&nbspBrasserie Septante Deux <br>&nbsp20h, 0€</p>

8|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Boeuf bal folk</strong></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

8|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>CARTE BLANCHE AU TRIO VANNIER</strong> <em>(ch. fr.)</em></span><br>&nbspLe Zoo <br>&nbsp21h, 0€</p>

8|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Soirée Florent Pagny"</strong> Anthony</span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

9|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>BLOKEISH TONE</strong> <em>(blues rock)</em></span><br>&nbspLa Chicane <br>&nbsp19h, 0€</p>

